source,target,type,voltage_kv,capacity_mva,length_km,reactance_pu,resistance_pu
IN-C00023-SS,IN-C00146-SS,sub_transmission,132,315,1.69,0.002705,0.000492
IN-C00023-SS,IN-C00241-SS,sub_transmission,132,315,2.74,0.004391,0.000672
IN-AND-HUB,IN-C00023-SS,state_transmission_400kv,400,800,219.63,0.109813,0.021557
IN-C00024-SS,IN-C00190-SS,sub_transmission,132,315,3.13,0.005002,0.000978
IN-C00024-SS,IN-C00165-SS,sub_transmission,132,315,3.65,0.005841,0.001492
IN-AND-HUB,IN-C00024-SS,state_transmission_400kv,400,800,183.75,0.091875,0.017062
IN-C00025-SS,IN-C00068-SS,sub_transmission,132,200,1.39,0.002226,0.000428
IN-C00025-SS,IN-C00136-SS,sub_transmission,132,200,2.27,0.003629,0.00073
IN-AND-HUB,IN-C00025-SS,state_transmission_400kv,400,500,239.17,0.119587,0.02665
IN-C00026-SS,IN-C00106-SS,sub_transmission,132,200,1.61,0.002578,0.000764
IN-C00026-SS,IN-C00159-SS,sub_transmission,132,200,2.72,0.004353,0.00106
IN-AND-HUB,IN-C00026-SS,state_transmission_400kv,400,500,276.33,0.138165,0.036828
IN-C00027-SS,IN-C00203-SS,sub_transmission,132,200,3.35,0.005363,0.001339
IN-C00027-SS,IN-C00200-SS,sub_transmission,132,200,4.36,0.006972,0.001846
IN-AND-HUB,IN-C00027-SS,state_transmission_400kv,400,500,339.03,0.169513,0.037286
IN-C00028-SS,IN-C00260-SS,sub_transmission,132,200,7.63,0.012207,0.003346
IN-AND-HUB,IN-C00028-SS,state_transmission_400kv,400,500,351.69,0.175846,0.027307
IN-C00029-SS,IN-C00246-SS,sub_transmission,132,160,3.94,0.006299,0.001663
IN-C00029-SS,IN-C00520-SS,sub_transmission,132,160,4.85,0.007764,0.001964
IN-AND-HUB,IN-C00029-SS,state_transmission_400kv,400,315,395.86,0.197928,0.040602
IN-C00030-SS,IN-C00219-SS,sub_transmission,132,160,2.3,0.003672,0.000447
IN-C00030-SS,IN-C00228-SS,sub_transmission,132,160,3.43,0.005496,0.001077
IN-AND-HUB,IN-C00030-SS,state_transmission_400kv,400,315,111.72,0.05586,0.008055
IN-C00031-SS,IN-C00879-SS,sub_transmission,132,160,14.06,0.022501,0.006318
IN-C00031-SS,IN-C00902-SS,sub_transmission,132,160,24.62,0.039393,0.009199
IN-AND-HUB,IN-C00031-SS,state_transmission_400kv,400,315,221.65,0.110826,0.023951
IN-C00032-SS,IN-C00582-SS,sub_transmission,132,160,9.06,0.014496,0.002563
IN-C00032-SS,IN-C00646-SS,sub_transmission,132,160,14.04,0.02247,0.004665
IN-AND-HUB,IN-C00032-SS,state_transmission_400kv,400,315,65.52,0.032759,0.005411
IN-C00033-SS,IN-C00139-SS,sub_transmission,132,160,7.62,0.012189,0.003346
IN-C00033-SS,IN-C00109-SS,sub_transmission,132,160,16.5,0.026406,0.003396
IN-AND-HUB,IN-C00033-SS,state_transmission_400kv,400,315,75.09,0.037543,0.005174
IN-C00034-SS,IN-C00513-SS,sub_transmission,132,100,10.81,0.017299,0.002585
IN-C00034-SS,IN-C00751-SS,sub_transmission,132,100,18.79,0.030069,0.004774
IN-AND-HUB,IN-C00034-SS,state_transmission_400kv,400,200,347.41,0.173706,0.028796
IN-C00035-SS,IN-C00790-SS,sub_transmission,132,100,2.19,0.003502,0.000949
IN-C00035-SS,IN-C00381-SS,sub_transmission,132,100,7.6,0.012166,0.001671
IN-AND-HUB,IN-C00035-SS,state_transmission_400kv,400,200,337.7,0.168852,0.042893
IN-C00036-SS,IN-C00177-SS,sub_transmission,132,100,1.28,0.00204,0.00034
IN-C00036-SS,IN-C00211-SS,sub_transmission,132,100,2.07,0.003319,0.000614
IN-AND-HUB,IN-C00036-SS,state_transmission_400kv,400,200,245.41,0.122703,0.027037
IN-C00037-SS,IN-C00747-SS,sub_transmission,132,100,4.33,0.006936,0.001844
IN-C00037-SS,IN-C00866-SS,sub_transmission,132,100,6.23,0.009972,0.001814
IN-AND-HUB,IN-C00037-SS,state_transmission_400kv,400,200,42.0,0.021002,0.004077
IN-C00038-SS,IN-C00229-SS,sub_transmission,132,100,2.13,0.0034,0.000623
IN-C00038-SS,IN-C00237-SS,sub_transmission,132,100,4.7,0.007519,0.001822
IN-AND-HUB,IN-C00038-SS,state_transmission_400kv,400,200,334.18,0.167088,0.038264
IN-C00039-SS,IN-C00891-SS,sub_transmission,132,100,9.0,0.014394,0.003222
IN-C00039-SS,IN-C00411-SS,sub_transmission,132,100,11.47,0.018358,0.00435
IN-AND-HUB,IN-C00039-SS,state_transmission_400kv,400,200,397.01,0.198503,0.043059
IN-C00040-SS,IN-C00881-SS,sub_transmission,132,100,5.71,0.009135,0.002707
IN-C00040-SS,IN-C00427-SS,sub_transmission,132,100,13.74,0.021981,0.003764
IN-AND-HUB,IN-C00040-SS,state_transmission_400kv,400,200,130.39,0.065194,0.011638
IN-C00041-SS,IN-C00223-SS,sub_transmission,132,100,1.89,0.003031,0.000642
IN-C00041-SS,IN-C00965-SS,sub_transmission,132,100,1.97,0.003159,0.00082
IN-AND-HUB,IN-C00041-SS,state_transmission_400kv,400,200,448.97,0.224485,0.044997
IN-C00042-SS,IN-C00687-SS,sub_transmission,132,100,14.18,0.022686,0.003042
IN-C00042-SS,IN-C00869-SS,sub_transmission,132,100,25.38,0.040602,0.009357
IN-AND-HUB,IN-C00042-SS,state_transmission_400kv,400,200,346.48,0.173238,0.03525
IN-C00043-SS,IN-C00917-SS,sub_transmission,132,100,10.8,0.017287,0.005051
IN-C00043-SS,IN-C00634-SS,sub_transmission,132,100,16.37,0.026198,0.007238
IN-C00044-SS,IN-C00356-SS,sub_transmission,132,100,8.66,0.013859,0.003261
IN-C00044-SS,IN-C00695-SS,sub_transmission,132,100,10.84,0.017344,0.00498
IN-C00045-SS,IN-C01017-SS,sub_transmission,132,100,0.6,0.0016,0.000313
IN-C00045-SS,IN-C00564-SS,sub_transmission,132,100,3.93,0.00629,0.001448
IN-C00046-SS,IN-C01014-SS,sub_transmission,132,63,5.48,0.008771,0.001692
IN-C00046-SS,IN-C00669-SS,sub_transmission,132,63,6.44,0.010297,0.002917
IN-C00047-SS,IN-C00457-SS,sub_transmission,132,63,2.63,0.004208,0.000565
IN-C00047-SS,IN-C00590-SS,sub_transmission,132,63,12.39,0.019828,0.003606
IN-C00048-SS,IN-C00242-SS,sub_transmission,132,63,5.1,0.008154,0.001439
IN-C00048-SS,IN-C00268-SS,sub_transmission,132,63,5.19,0.008307,0.001973
IN-C00049-SS,IN-C00597-SS,sub_transmission,132,63,3.08,0.004924,0.001221
IN-C00049-SS,IN-C00212-SS,sub_transmission,132,63,6.88,0.011005,0.00252
IN-C00050-SS,IN-C00805-SS,sub_transmission,132,63,9.41,0.01506,0.002879
IN-C00050-SS,IN-C00689-SS,sub_transmission,132,63,12.21,0.019538,0.005466
IN-C00051-SS,IN-C00513-SS,sub_transmission,132,63,24.44,0.039103,0.010189
IN-C00051-SS,IN-C00193-SS,sub_transmission,132,63,27.17,0.04347,0.012562
IN-C00052-SS,IN-C00440-SS,sub_transmission,132,63,3.91,0.006252,0.001592
IN-C00052-SS,IN-C00511-SS,sub_transmission,132,63,5.75,0.009195,0.001966
IN-C00053-SS,IN-C00235-SS,sub_transmission,132,63,2.09,0.003348,0.000673
IN-C00053-SS,IN-C00275-SS,sub_transmission,132,63,3.55,0.005688,0.000854
IN-C00054-SS,IN-C00544-SS,sub_transmission,132,63,3.35,0.005367,0.001469
IN-C00054-SS,IN-C00743-SS,sub_transmission,132,63,4.02,0.006426,0.000916
IN-C00055-SS,IN-C00555-SS,sub_transmission,132,63,5.6,0.008964,0.001454
IN-C00055-SS,IN-C00281-SS,sub_transmission,132,63,8.59,0.013739,0.002271
IN-C00056-SS,IN-C00948-SS,sub_transmission,132,63,5.57,0.008905,0.002261
IN-C00056-SS,IN-C00256-SS,sub_transmission,132,63,6.23,0.009975,0.002543
IN-C00057-SS,IN-C00074-SS,sub_transmission,132,63,9.77,0.015625,0.002467
IN-C00057-SS,IN-C00201-SS,sub_transmission,132,63,12.48,0.019968,0.003823
IN-C00058-SS,IN-C00969-SS,sub_transmission,132,63,2.21,0.003541,0.000486
IN-C00058-SS,IN-C00864-SS,sub_transmission,132,63,4.75,0.007595,0.002192
IN-C00059-SS,IN-C00429-SS,sub_transmission,132,63,5.95,0.009521,0.001953
IN-C00059-SS,IN-C00064-SS,sub_transmission,132,63,10.57,0.016914,0.002194
IN-C00060-SS,IN-C00703-SS,sub_transmission,132,63,13.78,0.022043,0.005704
IN-C00060-SS,IN-C00791-SS,sub_transmission,132,63,14.42,0.023074,0.004945
IN-C00061-SS,IN-C00662-SS,sub_transmission,132,63,2.33,0.003733,0.001117
IN-C00061-SS,IN-C00613-SS,sub_transmission,132,63,16.42,0.026265,0.003643
IN-C00062-SS,IN-C01025-SS,sub_transmission,132,63,2.48,0.003965,0.000917
IN-C00062-SS,IN-C00936-SS,sub_transmission,132,63,9.07,0.014513,0.001962
IN-C00063-SS,IN-C00282-SS,sub_transmission,132,63,5.12,0.008197,0.002358
IN-C00063-SS,IN-C00922-SS,sub_transmission,132,63,11.9,0.019033,0.00362
IN-C00064-SS,IN-C00225-SS,sub_transmission,132,63,5.64,0.009021,0.001455
IN-C00065-SS,IN-C00077-SS,sub_transmission,132,63,1.61,0.002574,0.000651
IN-C00065-SS,IN-C00222-SS,sub_transmission,132,63,12.01,0.019216,0.003839
IN-C00066-SS,IN-C00477-SS,sub_transmission,132,63,8.33,0.01332,0.001902
IN-C00066-SS,IN-C00301-SS,sub_transmission,132,63,9.7,0.015522,0.003334
IN-C00067-SS,IN-C00268-SS,sub_transmission,132,63,3.46,0.005528,0.000833
IN-C00067-SS,IN-C00242-SS,sub_transmission,132,63,4.23,0.006761,0.000854
IN-C00068-SS,IN-C00136-SS,sub_transmission,132,63,2.87,0.004598,0.000847
IN-C00069-SS,IN-C00575-SS,sub_transmission,132,63,19.63,0.031404,0.008942
IN-C00069-SS,IN-C00606-SS,sub_transmission,132,63,23.32,0.037307,0.01028
IN-C00070-SS,IN-C00422-SS,sub_transmission,132,63,10.0,0.016003,0.003266
IN-C00070-SS,IN-C00407-SS,sub_transmission,132,63,14.3,0.022873,0.00633
IN-C00071-SS,IN-C00717-SS,sub_transmission,132,63,3.36,0.005372,0.001549
IN-C00071-SS,IN-C00380-SS,sub_transmission,132,63,4.14,0.006631,0.001451
IN-C00072-SS,IN-C00318-SS,sub_transmission,132,63,7.87,0.012587,0.001817
IN-C00072-SS,IN-C00432-SS,sub_transmission,132,63,14.63,0.023413,0.006807
IN-C00073-SS,IN-C00080-SS,sub_transmission,132,63,0.69,0.0016,0.000347
IN-C00073-SS,IN-C00936-SS,sub_transmission,132,63,11.51,0.01842,0.004169
IN-C00074-SS,IN-C00435-SS,sub_transmission,132,63,6.96,0.011141,0.002252
IN-C00074-SS,IN-C00843-SS,sub_transmission,132,63,9.26,0.014819,0.003776
IN-C00075-SS,IN-C00279-SS,sub_transmission,132,63,5.57,0.008913,0.002477
IN-C00075-SS,IN-C00587-SS,sub_transmission,132,63,11.35,0.018153,0.0036
IN-C00076-SS,IN-C00468-SS,sub_transmission,132,63,11.98,0.019166,0.004507
IN-C00076-SS,IN-C00821-SS,sub_transmission,132,63,14.36,0.022975,0.004964
IN-C00077-SS,IN-C00222-SS,sub_transmission,132,63,13.09,0.02094,0.005939
IN-C00078-SS,IN-C00682-SS,sub_transmission,132,63,3.77,0.006038,0.001248
IN-C00078-SS,IN-C00577-SS,sub_transmission,132,63,9.39,0.015028,0.002418
IN-C00079-SS,IN-C00538-SS,sub_transmission,132,63,6.11,0.009775,0.001331
IN-C00079-SS,IN-C00973-SS,sub_transmission,132,63,8.1,0.012963,0.002274
IN-C00080-SS,IN-C00936-SS,sub_transmission,132,63,11.04,0.017661,0.00343
IN-C00081-SS,IN-C00220-SS,sub_transmission,132,63,4.45,0.007123,0.001054
IN-C00081-SS,IN-C00099-SS,sub_transmission,132,63,4.63,0.007405,0.000903
IN-C00082-SS,IN-C00928-SS,sub_transmission,132,63,1.45,0.002325,0.000498
IN-C00082-SS,IN-C00466-SS,sub_transmission,132,63,4.53,0.00724,0.001857
IN-C00083-SS,IN-C00285-SS,sub_transmission,132,63,6.19,0.009904,0.001431
IN-C00083-SS,IN-C00740-SS,sub_transmission,132,63,15.25,0.024404,0.004188
IN-C00084-SS,IN-C00723-SS,sub_transmission,132,63,8.42,0.013474,0.002915
IN-C00084-SS,IN-C00110-SS,sub_transmission,132,63,10.98,0.017571,0.004284
IN-C00085-SS,IN-C00421-SS,sub_transmission,132,63,21.53,0.034445,0.007183
IN-C00085-SS,IN-C00110-SS,sub_transmission,132,63,22.79,0.036467,0.009335
IN-C00086-SS,IN-C00259-SS,sub_transmission,132,63,2.9,0.004644,0.000808
IN-C00086-SS,IN-C00484-SS,sub_transmission,132,63,15.67,0.025071,0.006465
IN-C00087-SS,IN-C00220-SS,sub_transmission,132,63,9.57,0.015305,0.004035
IN-C00088-SS,IN-C00660-SS,sub_transmission,132,63,6.6,0.010567,0.002403
IN-C00088-SS,IN-C00935-SS,sub_transmission,132,63,7.0,0.011195,0.002949
IN-C00089-SS,IN-C00683-SS,sub_transmission,132,63,3.19,0.005109,0.001117
IN-C00089-SS,IN-C00896-SS,sub_transmission,132,63,3.34,0.005341,0.000822
IN-C00090-SS,IN-C00884-SS,sub_transmission,132,63,3.09,0.004936,0.001376
IN-C00090-SS,IN-C00711-SS,sub_transmission,132,63,3.6,0.005764,0.001145
IN-C00091-SS,IN-C00964-SS,sub_transmission,132,63,7.87,0.012593,0.002078
IN-C00091-SS,IN-C00650-SS,sub_transmission,132,63,12.56,0.020103,0.004999
IN-C00092-SS,IN-C00360-SS,sub_transmission,132,63,3.75,0.006001,0.001418
IN-C00092-SS,IN-C01012-SS,sub_transmission,132,63,5.41,0.008655,0.002329
IN-C00093-SS,IN-C00113-SS,sub_transmission,132,63,0.37,0.0016,0.000256
IN-C00093-SS,IN-C00759-SS,sub_transmission,132,63,20.34,0.032547,0.00437
IN-C00094-SS,IN-C00148-SS,sub_transmission,132,63,2.55,0.00408,0.000949
IN-C00094-SS,IN-C00968-SS,sub_transmission,132,63,3.79,0.006066,0.001292
IN-C00095-SS,IN-C00209-SS,sub_transmission,132,63,4.76,0.00761,0.002009
IN-C00095-SS,IN-C00540-SS,sub_transmission,132,63,8.11,0.012978,0.00299
IN-C00096-SS,IN-C00679-SS,sub_transmission,132,63,7.2,0.011517,0.002821
IN-C00096-SS,IN-C00990-SS,sub_transmission,132,63,8.81,0.01409,0.00238
IN-C00097-SS,IN-C00154-SS,sub_transmission,132,63,9.46,0.015144,0.003585
IN-C00097-SS,IN-C00186-SS,sub_transmission,132,63,10.72,0.01715,0.0037
IN-C00098-SS,IN-C00651-SS,sub_transmission,132,63,8.36,0.013371,0.002251
IN-C00098-SS,IN-C00849-SS,sub_transmission,132,63,9.11,0.014575,0.002242
IN-C00099-SS,IN-C00220-SS,sub_transmission,132,63,3.55,0.005683,0.000752
IN-C00100-SS,IN-C00155-SS,sub_transmission,132,63,2.88,0.004615,0.000667
IN-C00100-SS,IN-C00130-SS,sub_transmission,132,63,2.95,0.004714,0.000659
IN-C00101-SS,IN-C00932-SS,sub_transmission,132,63,12.85,0.020562,0.004153
IN-C00101-SS,IN-C00687-SS,sub_transmission,132,63,16.64,0.026622,0.005364
IN-C00102-SS,IN-C00236-SS,sub_transmission,132,63,1.82,0.002913,0.000717
IN-C00102-SS,IN-C00227-SS,sub_transmission,132,63,2.81,0.004501,0.000939
IN-C00103-SS,IN-C00176-SS,sub_transmission,132,63,0.63,0.0016,0.000284
IN-C00103-SS,IN-C00413-SS,sub_transmission,132,63,0.98,0.0016,0.000236
IN-C00104-SS,IN-C00492-SS,sub_transmission,132,63,19.3,0.030882,0.009096
IN-C00104-SS,IN-C00532-SS,sub_transmission,132,63,24.2,0.038726,0.004801
IN-C00105-SS,IN-C00190-SS,sub_transmission,132,63,5.13,0.008206,0.002421
IN-C00105-SS,IN-C00592-SS,sub_transmission,132,63,5.98,0.009561,0.001633
IN-C00106-SS,IN-C00159-SS,sub_transmission,132,63,4.33,0.006929,0.000987
IN-C00107-SS,IN-C01043-SS,sub_transmission,132,63,2.07,0.003309,0.000658
IN-C00107-SS,IN-C00592-SS,sub_transmission,132,63,11.73,0.018771,0.00228
IN-C00108-SS,IN-C00754-SS,sub_transmission,132,63,4.57,0.007312,0.000996
IN-C00108-SS,IN-C00231-SS,sub_transmission,132,63,9.43,0.015085,0.00185
IN-C00109-SS,IN-C00139-SS,sub_transmission,132,63,12.3,0.019672,0.00313
IN-C00110-SS,IN-C00723-SS,sub_transmission,132,63,13.39,0.021418,0.00419
IN-C00111-SS,IN-C00838-SS,sub_transmission,132,63,2.36,0.003782,0.000989
IN-C00111-SS,IN-C00595-SS,sub_transmission,132,63,6.92,0.011077,0.002323
IN-C00112-SS,IN-C00934-SS,sub_transmission,132,63,12.95,0.020716,0.003871
IN-C00112-SS,IN-C00266-SS,sub_transmission,132,63,13.07,0.020908,0.005132
IN-C00113-SS,IN-C00759-SS,sub_transmission,132,63,20.07,0.032114,0.004037
IN-C00114-SS,IN-C00482-SS,sub_transmission,132,63,0.26,0.0016,0.000215
IN-C00114-SS,IN-C00427-SS,sub_transmission,132,63,2.11,0.003369,0.000859
IN-C00115-SS,IN-C00592-SS,sub_transmission,132,63,3.48,0.005568,0.000815
IN-C00116-SS,IN-C00476-SS,sub_transmission,132,63,5.25,0.008394,0.00141
IN-C00116-SS,IN-C00580-SS,sub_transmission,132,63,5.76,0.009214,0.001756
IN-C00117-SS,IN-C00608-SS,sub_transmission,132,63,9.44,0.015105,0.003289
IN-C00117-SS,IN-C00156-SS,sub_transmission,132,63,17.1,0.027357,0.004177
IN-C00118-SS,IN-C00141-SS,sub_transmission,132,63,5.08,0.008123,0.002285
IN-C00118-SS,IN-C00212-SS,sub_transmission,132,63,5.8,0.009284,0.001532
IN-C00119-SS,IN-C00511-SS,sub_transmission,132,63,0.78,0.0016,0.000302
IN-C00119-SS,IN-C00440-SS,sub_transmission,132,63,3.72,0.00595,0.000728
IN-C00120-SS,IN-C00726-SS,sub_transmission,132,63,2.36,0.003776,0.001116
IN-C00120-SS,IN-C00759-SS,sub_transmission,132,63,13.31,0.021295,0.005295
IN-C00121-SS,IN-C00232-SS,sub_transmission,132,63,0.55,0.0016,0.000303
IN-C00121-SS,IN-C00629-SS,sub_transmission,132,63,9.63,0.015415,0.004555
IN-C00122-SS,IN-C00152-SS,sub_transmission,132,63,3.6,0.005761,0.000948
IN-C00122-SS,IN-C00180-SS,sub_transmission,132,63,3.76,0.006011,0.001797
IN-C00123-SS,IN-C00158-SS,sub_transmission,132,63,0.09,0.0016,0.000249
IN-C00123-SS,IN-C00798-SS,sub_transmission,132,63,14.92,0.023877,0.006026
IN-C00124-SS,IN-C00688-SS,sub_transmission,132,63,6.25,0.009998,0.001369
IN-C00124-SS,IN-C00405-SS,sub_transmission,132,63,9.52,0.015224,0.003652
IN-C00125-SS,IN-C00245-SS,sub_transmission,132,63,12.44,0.019903,0.003135
IN-C00125-SS,IN-C00183-SS,sub_transmission,132,63,21.74,0.034791,0.006612
IN-C00126-SS,IN-C00548-SS,sub_transmission,132,63,7.54,0.012059,0.003533
IN-C00127-SS,IN-C01028-SS,sub_transmission,132,63,8.02,0.012826,0.003701
IN-C00127-SS,IN-C00633-SS,sub_transmission,132,63,10.42,0.016679,0.002478
IN-C00128-SS,IN-C00448-SS,sub_transmission,132,63,3.91,0.006259,0.001572
IN-C00128-SS,IN-C01034-SS,sub_transmission,132,63,9.1,0.014554,0.003697
IN-C00129-SS,IN-C00492-SS,sub_transmission,132,63,25.65,0.041038,0.008984
IN-C00129-SS,IN-C00364-SS,sub_transmission,132,63,27.34,0.043737,0.00621
IN-C00130-SS,IN-C00860-SS,sub_transmission,132,63,0.42,0.0016,0.000331
IN-C00131-SS,IN-C00378-SS,sub_transmission,132,63,3.84,0.006139,0.001067
IN-C00131-SS,IN-C00379-SS,sub_transmission,132,63,4.17,0.006671,0.001233
IN-C00132-SS,IN-C00204-SS,sub_transmission,132,63,1.95,0.003121,0.000404
IN-C00132-SS,IN-C00910-SS,sub_transmission,132,63,3.77,0.006036,0.001449
IN-C00133-SS,IN-C00277-SS,sub_transmission,132,63,11.82,0.018905,0.005581
IN-C00133-SS,IN-C00444-SS,sub_transmission,132,63,17.57,0.028113,0.004568
IN-C00134-SS,IN-C00211-SS,sub_transmission,132,63,11.06,0.017699,0.003507
IN-C00134-SS,IN-C00177-SS,sub_transmission,132,63,11.29,0.01807,0.002217
IN-C00135-SS,IN-C00337-SS,sub_transmission,132,63,10.47,0.016751,0.004405
IN-C00135-SS,IN-C00432-SS,sub_transmission,132,63,20.96,0.03353,0.007552
IN-C00137-SS,IN-C00720-SS,sub_transmission,132,63,5.74,0.009188,0.001757
IN-C00137-SS,IN-C00874-SS,sub_transmission,132,63,5.97,0.009553,0.001564
IN-C00138-SS,IN-C00444-SS,sub_transmission,132,63,4.11,0.006582,0.001938
IN-C00138-SS,IN-C00782-SS,sub_transmission,132,63,14.72,0.023546,0.005288
IN-C00140-SS,IN-C00203-SS,sub_transmission,132,63,5.04,0.008062,0.00197
IN-C00140-SS,IN-C00452-SS,sub_transmission,132,63,5.92,0.009467,0.002309
IN-C00141-SS,IN-C00212-SS,sub_transmission,132,63,3.92,0.006275,0.000928
IN-C00141-SS,IN-C00597-SS,sub_transmission,132,63,4.6,0.00736,0.001904
IN-C00142-SS,IN-C00665-SS,sub_transmission,132,63,3.24,0.005187,0.000855
IN-C00142-SS,IN-C00950-SS,sub_transmission,132,63,3.97,0.006359,0.001335
IN-C00143-SS,IN-C00618-SS,sub_transmission,132,63,4.1,0.00656,0.001597
IN-C00143-SS,IN-C00334-SS,sub_transmission,132,63,8.04,0.012861,0.002327
IN-C00144-SS,IN-C00267-SS,sub_transmission,132,63,14.23,0.022775,0.006708
IN-C00144-SS,IN-C00644-SS,sub_transmission,132,63,17.34,0.027745,0.007123
IN-C00145-SS,IN-C00694-SS,sub_transmission,132,63,7.8,0.012476,0.001632
IN-C00145-SS,IN-C00516-SS,sub_transmission,132,63,10.16,0.016258,0.002991
IN-C00146-SS,IN-C00241-SS,sub_transmission,132,63,3.41,0.00545,0.000805
IN-C00147-SS,IN-C00921-SS,sub_transmission,132,63,8.14,0.013024,0.00282
IN-C00147-SS,IN-C00359-SS,sub_transmission,132,63,11.48,0.018362,0.002558
IN-C00148-SS,IN-C00968-SS,sub_transmission,132,63,2.17,0.003466,0.00072
IN-C00149-SS,IN-C00341-SS,sub_transmission,132,63,3.27,0.005232,0.000926
IN-C00149-SS,IN-C00471-SS,sub_transmission,132,63,6.47,0.01036,0.002284
IN-C00150-SS,IN-C01029-SS,sub_transmission,132,63,8.78,0.014049,0.003316
IN-C00151-SS,IN-C00625-SS,sub_transmission,132,63,8.67,0.013867,0.002531
IN-C00151-SS,IN-C00663-SS,sub_transmission,132,63,9.75,0.015592,0.004374
IN-C00152-SS,IN-C00180-SS,sub_transmission,132,63,5.44,0.008709,0.002194
