id,type,city,state,region,lat,lon,voltage_kv,label,capacity_mva,age_years,base_load_pct,voltage_pu,ambient_temp_c,demand_mw,gen_mw,population_served
IN-C00032-SS,substation,Ongole,Andhra Pradesh,SR,15.50357,80.04454,220,IN-C00032-SS,200,36,33.5,1.012,35.8,31.25,0.0,208344
IN-C00033-SS,substation,Machilīpatnam,Andhra Pradesh,SR,16.18747,81.13888,220,IN-C00033-SS,200,1,64.9,1.034,38.2,28.92,0.0,192827
IN-C00034-SS,substation,Adoni,Andhra Pradesh,SR,15.62788,77.27495,220,IN-C00034-SS,160,11,44.6,0.999,37.8,27.69,0.0,184625
IN-C00035-SS,substation,Madanapalle,Andhra Pradesh,SR,13.5503,78.50288,220,IN-C00035-SS,160,4,35.9,0.96,33.1,27.03,0.0,180180
IN-C00036-SS,substation,Proddatūr,Andhra Pradesh,SR,14.7502,78.54813,220,IN-C00036-SS,160,30,40.3,1.016,36.3,26.67,0.0,177797
IN-C00037-SS,substation,Thenali,Andhra Pradesh,SR,16.24253,80.63982,220,IN-C00037-SS,160,36,53.8,0.999,34.2,24.74,0.0,164937
IN-C00038-SS,substation,Chittoor,Andhra Pradesh,SR,13.21055,79.0956,220,IN-C00038-SS,160,14,64.9,1.006,33.7,24.11,0.0,160722
IN-C00039-SS,substation,Hindupur,Andhra Pradesh,SR,13.82807,77.49143,220,IN-C00039-SS,160,21,32.1,1.007,34.0,22.75,0.0,151677
IN-C00040-SS,substation,Bhimavaram,Andhra Pradesh,SR,16.54078,81.52322,220,IN-C00040-SS,160,34,35.7,1.037,33.8,22.04,0.0,146961
IN-C00041-SS,substation,Srikakulam,Andhra Pradesh,SR,18.2989,83.89751,220,IN-C00041-SS,160,12,32.5,0.965,39.5,20.69,0.0,137944
IN-C00042-SS,substation,Guntakal,Andhra Pradesh,SR,15.17112,77.36244,220,IN-C00042-SS,160,26,34.3,1.031,33.7,18.94,0.0,126270
IN-C00043-SS,substation,Dharmavaram,Andhra Pradesh,SR,14.41435,77.72035,220,IN-C00043-SS,160,3,52.3,0.994,35.1,18.28,0.0,121874
IN-C00044-SS,substation,Gudivāda,Andhra Pradesh,SR,16.43547,80.99555,220,IN-C00044-SS,160,34,41.4,0.981,37.3,17.73,0.0,118167
IN-C00045-SS,substation,Narasaraopet,Andhra Pradesh,SR,16.23488,80.04927,220,IN-C00045-SS,160,21,38.6,0.992,37.1,17.62,0.0,117489
IN-C00046-SS,substation,Tadepalligudem,Andhra Pradesh,SR,16.81467,81.52717,220,IN-C00046-SS,100,20,46.5,1.034,39.1,16.9,0.0,112655
IN-C00047-SS,substation,Tadpatri,Andhra Pradesh,SR,14.90832,78.01031,220,IN-C00047-SS,100,1,46.5,1.04,38.0,16.23,0.0,108171
IN-C00048-SS,substation,Mangalagiri,Andhra Pradesh,SR,16.43083,80.56815,220,IN-C00048-SS,100,5,49.4,1.0,34.0,16.08,0.0,107197
IN-C00049-SS,substation,Amaravati,Andhra Pradesh,SR,16.514,80.516,220,IN-C00049-SS,100,23,61.7,1.03,35.5,15.45,0.0,103000
IN-C00050-SS,substation,Chilakalūrupet,Andhra Pradesh,SR,16.08987,80.16705,220,IN-C00050-SS,100,11,45.8,1.003,34.8,15.21,0.0,101398
IN-C00051-SS,substation,Emmiganūr,Andhra Pradesh,SR,15.77203,77.48345,132,IN-C00051-SS,100,34,30.3,1.025,34.5,14.27,0.0,95149
IN-C00052-SS,substation,Chīrāla,Andhra Pradesh,SR,15.82385,80.35219,132,IN-C00052-SS,100,7,63.8,0.971,33.5,13.94,0.0,92942
IN-C00053-SS,substation,Rayachoti,Andhra Pradesh,SR,14.05723,78.75056,132,IN-C00053-SS,100,7,56.7,0.972,32.9,13.69,0.0,91234
IN-C00054-SS,substation,Kāvali,Andhra Pradesh,SR,14.9163,79.99449,132,IN-C00054-SS,100,14,55.8,0.976,35.8,13.51,0.0,90099
IN-C00055-SS,substation,Kadiri,Andhra Pradesh,SR,14.11168,78.15982,132,IN-C00055-SS,100,17,48.2,0.98,36.7,13.41,0.0,89429
IN-C00056-SS,substation,Anakapalle,Andhra Pradesh,SR,17.69134,83.00395,132,IN-C00056-SS,100,4,33.3,0.994,35.7,12.98,0.0,86519
IN-C00057-SS,substation,Palakollu,Andhra Pradesh,SR,16.5167,81.73,132,IN-C00057-SS,100,1,42.0,0.97,39.2,12.18,0.0,81199
IN-C00058-SS,substation,Srikalahasti,Andhra Pradesh,SR,13.75514,79.70143,132,IN-C00058-SS,100,11,56.7,1.004,33.5,12.01,0.0,80056
IN-C00059-SS,substation,Tanuku,Andhra Pradesh,SR,16.75438,81.68143,132,IN-C00059-SS,100,1,34.0,1.036,37.6,11.69,0.0,77962
IN-C00060-SS,substation,Gūdūr,Andhra Pradesh,SR,14.15093,79.8521,132,IN-C00060-SS,100,10,49.6,1.027,34.8,11.23,0.0,74851
IN-C00061-SS,substation,Mārkāpur,Andhra Pradesh,SR,15.73534,79.26848,132,IN-C00061-SS,63,10,45.5,0.963,34.9,10.66,0.0,71092
IN-C00062-SS,substation,Bāpatla,Andhra Pradesh,SR,15.90422,80.46743,132,IN-C00062-SS,63,3,62.4,0.977,34.3,10.62,0.0,70777
IN-C00063-SS,substation,Badvel,Andhra Pradesh,SR,14.7451,79.06288,132,IN-C00063-SS,63,7,42.7,1.005,37.1,10.59,0.0,70626
IN-C00064-SS,substation,Attili,Andhra Pradesh,SR,16.7,81.6,132,IN-C00064-SS,63,10,63.3,0.979,34.4,10.23,0.0,68196
IN-C00065-SS,substation,Palāsa,Andhra Pradesh,SR,18.77257,84.41012,132,IN-C00065-SS,63,12,61.7,0.962,39.0,9.87,0.0,65833
IN-C00066-SS,substation,Pulivendla,Andhra Pradesh,SR,14.42139,78.22502,132,IN-C00066-SS,63,22,58.2,0.993,35.6,9.86,0.0,65706
IN-C00067-SS,substation,Tādepalle,Andhra Pradesh,SR,16.48333,80.6,132,IN-C00067-SS,63,16,39.6,1.023,33.9,9.62,0.0,64149
IN-C00068-SS,substation,Chinnachowk,Andhra Pradesh,SR,14.47516,78.8354,132,IN-C00068-SS,63,3,60.9,0.978,36.5,9.61,0.0,64053
IN-C00069-SS,substation,Pidugurālla,Andhra Pradesh,SR,16.47926,79.88632,132,IN-C00069-SS,63,30,42.6,1.026,38.5,9.47,0.0,63103
IN-C00070-SS,substation,Vinukonda,Andhra Pradesh,SR,16.0531,79.73964,132,IN-C00070-SS,63,15,30.9,0.975,34.9,9.38,0.0,62550
IN-C00071-SS,substation,Nagari,Andhra Pradesh,SR,13.32139,79.58557,132,IN-C00071-SS,63,5,64.8,0.982,34.4,9.34,0.0,62253
IN-C00072-SS,substation,Rāyadrug,Andhra Pradesh,SR,14.69971,76.85241,132,IN-C00072-SS,63,26,54.5,1.027,33.8,9.26,0.0,61749
IN-C00073-SS,substation,Ponnur,Andhra Pradesh,SR,16.07114,80.54944,132,IN-C00073-SS,63,2,34.2,1.038,34.1,35.95,0.0,59913
IN-C00074-SS,substation,Narasapur,Andhra Pradesh,SR,16.43425,81.69845,132,IN-C00074-SS,63,17,31.4,1.008,35.3,35.58,0.0,59306
IN-C00075-SS,substation,Dhone,Andhra Pradesh,SR,15.3952,77.8715,132,IN-C00075-SS,63,21,45.7,1.039,33.1,35.56,0.0,59272
IN-C00076-SS,substation,Nūzvīd,Andhra Pradesh,SR,16.78854,80.84593,132,IN-C00076-SS,63,37,36.8,0.964,36.1,35.15,0.0,58590
IN-C00077-SS,substation,Kāsībugga,Andhra Pradesh,SR,18.75927,84.41613,132,IN-C00077-SS,63,34,63.3,1.003,38.9,34.5,0.0,57507
IN-C00078-SS,substation,Mācherla,Andhra Pradesh,SR,16.47635,79.43533,132,IN-C00078-SS,63,13,43.1,0.966,37.3,34.37,0.0,57290
IN-C00079-SS,substation,Kandukūr,Andhra Pradesh,SR,15.21542,79.9039,132,IN-C00079-SS,63,22,52.4,1.013,33.0,34.35,0.0,57246
IN-C00080-SS,substation,Ponnūru,Andhra Pradesh,SR,16.06547,80.55203,132,IN-C00080-SS,63,20,48.3,1.013,34.9,34.3,0.0,57170
IN-C00081-SS,substation,Sāmalkot,Andhra Pradesh,SR,17.05675,82.17639,132,IN-C00081-SS,63,19,50.0,0.975,37.7,34.12,0.0,56864
IN-C00082-SS,substation,Bobbili,Andhra Pradesh,SR,18.57366,83.35925,132,IN-C00082-SS,63,25,54.4,1.032,38.2,34.09,0.0,56819
IN-C00083-SS,substation,Sattenapalle,Andhra Pradesh,SR,16.39381,80.15221,132,IN-C00083-SS,63,20,44.6,1.027,35.0,34.03,0.0,56721
IN-C00084-SS,substation,Mandapeta,Andhra Pradesh,SR,16.86254,81.92921,132,IN-C00084-SS,63,14,45.5,1.006,37.5,33.64,0.0,56063
IN-C00085-SS,substation,Yanam,Andhra Pradesh,SR,16.73308,82.21364,132,IN-C00085-SS,63,30,45.9,1.014,36.5,33.38,0.0,55626
IN-C00086-SS,substation,Bhīmunipatnam,Andhra Pradesh,SR,17.89017,83.45203,132,IN-C00086-SS,63,11,53.7,0.983,38.1,33.05,0.0,55082
IN-C00087-SS,substation,Pithāpuram,Andhra Pradesh,SR,17.1168,82.25284,132,IN-C00087-SS,63,22,33.4,1.036,35.1,32.92,0.0,54859
IN-C00088-SS,substation,Punganūru,Andhra Pradesh,SR,13.36672,78.57186,132,IN-C00088-SS,63,20,38.1,0.976,30.7,32.85,0.0,54746
IN-C00089-SS,substation,Puttūr,Andhra Pradesh,SR,13.44189,79.55314,132,IN-C00089-SS,63,16,65.4,1.009,35.3,32.46,0.0,54092
IN-C00090-SS,substation,Rāzampeta,Andhra Pradesh,SR,14.19544,79.15896,132,IN-C00090-SS,63,30,44.9,1.01,32.5,32.43,0.0,54050
IN-C00091-SS,substation,Palmaner,Andhra Pradesh,SR,13.2,78.74725,132,IN-C00091-SS,63,25,47.8,0.98,34.3,32.42,0.0,54035
IN-C00092-SS,substation,Pārvatipuram,Andhra Pradesh,SR,18.78392,83.42569,132,IN-C00092-SS,63,1,62.1,1.029,39.9,32.31,0.0,53844
IN-C00093-SS,substation,Jaggaiahpet,Andhra Pradesh,SR,16.89155,80.09551,132,IN-C00093-SS,63,28,37.9,1.024,37.7,32.12,0.0,53530
IN-C00094-SS,substation,Tuni,Andhra Pradesh,SR,17.35905,82.54607,132,IN-C00094-SS,63,30,31.8,0.98,39.0,32.05,0.0,53425
IN-C00095-SS,substation,Amalāpuram,Andhra Pradesh,SR,16.57868,82.00609,132,IN-C00095-SS,63,30,34.8,0.997,36.5,31.94,0.0,53231
IN-C00096-SS,substation,Venkatagiri,Andhra Pradesh,SR,13.96005,79.58032,132,IN-C00096-SS,63,36,51.4,1.036,36.5,31.61,0.0,52688
IN-C00097-SS,substation,Repalle,Andhra Pradesh,SR,16.0184,80.82958,132,IN-C00097-SS,63,33,45.4,1.033,35.6,30.52,0.0,50866
IN-C00098-SS,substation,Sālūr,Andhra Pradesh,SR,18.51716,83.20548,132,IN-C00098-SS,63,11,56.8,0.998,36.0,30.12,0.0,50206
IN-C00099-SS,substation,Peddāpuram,Andhra Pradesh,SR,17.07701,82.13836,132,IN-C00099-SS,63,16,60.2,0.982,38.4,29.69,0.0,49477
IN-C00100-SS,substation,Kānūru,Andhra Pradesh,SR,16.49853,80.69141,132,IN-C00100-SS,63,32,52.6,0.982,33.8,29.4,0.0,49006
IN-C00101-SS,substation,Gooty,Andhra Pradesh,SR,15.11836,77.63776,132,IN-C00101-SS,63,19,38.4,0.987,37.6,29.19,0.0,48658
IN-C00102-SS,substation,Jammalamadugu,Andhra Pradesh,SR,14.84677,78.38314,132,IN-C00102-SS,40,6,35.0,0.979,36.1,27.64,0.0,46069
IN-C00103-SS,substation,Nāyudupet,Andhra Pradesh,SR,13.90742,79.89465,132,IN-C00103-SS,40,14,32.3,0.993,34.4,27.46,0.0,45769
IN-C00104-SS,substation,Nandikotkūr,Andhra Pradesh,SR,15.85668,78.26569,132,IN-C00104-SS,40,27,32.2,1.027,35.2,27.21,0.0,45343
IN-C00105-SS,substation,Dowleswaram,Andhra Pradesh,SR,16.94761,81.77987,132,IN-C00105-SS,40,38,64.1,0.962,38.9,26.78,0.0,44637
IN-C00106-SS,substation,Akkarampalle,Andhra Pradesh,SR,13.65,79.42,132,IN-C00106-SS,40,37,43.7,0.96,33.0,26.53,0.0,44219
IN-C00107-SS,substation,Nidadavole,Andhra Pradesh,SR,16.90572,81.67222,132,IN-C00107-SS,40,25,60.7,1.036,36.1,26.5,0.0,44173
IN-C00108-SS,substation,Polavaram,Andhra Pradesh,SR,17.24754,81.64372,132,IN-C00108-SS,40,35,58.8,1.032,36.7,26.23,0.0,43710
IN-C00109-SS,substation,Kanuru,Andhra Pradesh,SR,16.28584,81.25464,132,IN-C00109-SS,40,18,45.7,0.962,35.2,26.22,0.0,43696
IN-C00110-SS,substation,Rāmachandrapuram,Andhra Pradesh,SR,16.83636,82.02871,132,IN-C00110-SS,40,26,56.1,1.027,39.0,26.19,0.0,43657
IN-C00111-SS,substation,Rāzām,Andhra Pradesh,SR,18.44909,83.65957,132,IN-C00111-SS,40,35,31.0,0.992,37.8,25.32,0.0,42197
IN-C00112-SS,substation,Pīleru,Andhra Pradesh,SR,13.65584,78.93854,132,IN-C00112-SS,40,2,33.0,0.994,36.1,24.89,0.0,41489
IN-C00113-SS,substation,Jaggayyapeta,Andhra Pradesh,SR,16.8938,80.09807,132,IN-C00113-SS,40,12,31.8,0.99,34.8,24.71,0.0,41180
IN-C00114-SS,substation,Akivīdu,Andhra Pradesh,SR,16.58225,81.38112,132,IN-C00114-SS,40,21,42.2,1.03,35.0,24.25,0.0,40413
IN-C00115-SS,substation,Kovvūr,Andhra Pradesh,SR,17.0162,81.72934,132,IN-C00115-SS,40,27,39.1,0.967,33.8,24.23,0.0,40379
IN-C00116-SS,substation,Amudālavalasa,Andhra Pradesh,SR,18.41025,83.90295,132,IN-C00116-SS,40,35,31.9,1.036,35.8,23.88,0.0,39799
IN-C00117-SS,substation,Betamcherla,Andhra Pradesh,SR,15.45144,78.14797,132,IN-C00117-SS,40,5,58.1,1.012,37.0,23.4,0.0,38994
IN-C00118-SS,substation,Kondapalle,Andhra Pradesh,SR,16.61989,80.54244,132,IN-C00118-SS,40,16,37.2,0.962,34.3,23.23,0.0,38714
IN-C00119-SS,substation,Vetapālem,Andhra Pradesh,SR,15.78502,80.30663,132,IN-C00119-SS,40,9,47.0,0.969,38.4,23.2,0.0,38671
IN-C00120-SS,substation,Nandigāma,Andhra Pradesh,SR,16.7717,80.28596,132,IN-C00120-SS,40,30,55.2,1.021,34.5,22.93,0.0,38219
IN-C00121-SS,substation,Sūlūru,Andhra Pradesh,SR,13.7,80.01667,132,IN-C00121-SS,40,8,58.0,0.973,32.8,22.84,0.0,38065
IN-C00122-SS,substation,Tirupati NMA,Andhra Pradesh,SR,13.63229,79.48568,132,IN-C00122-SS,40,38,30.9,0.985,34.9,22.78,0.0,37968
IN-C00123-SS,substation,Kanigiri U,Andhra Pradesh,SR,15.40637,79.50702,132,IN-C00123-SS,40,25,44.3,1.017,32.9,22.45,0.0,37420
IN-C00124-SS,substation,Vuyyūru,Andhra Pradesh,SR,16.36307,80.84406,132,IN-C00124-SS,40,16,33.7,1.022,38.3,22.05,0.0,36755
IN-C00125-SS,substation,Ichchāpuram,Andhra Pradesh,SR,19.11393,84.68721,132,IN-C00125-SS,40,8,58.7,1.005,34.9,21.9,0.0,36493
IN-C00126-SS,substation,Kovūr,Andhra Pradesh,SR,14.5005,79.98518,132,IN-C00126-SS,40,35,45.4,0.99,34.7,21.36,0.0,35600
IN-C00127-SS,substation,Uravakonda,Andhra Pradesh,SR,14.94348,77.25494,132,IN-C00127-SS,40,22,30.5,0.994,35.0,21.34,0.0,35565
IN-C00128-SS,substation,Giddalūr,Andhra Pradesh,SR,15.37439,78.92609,132,IN-C00128-SS,40,28,64.6,1.011,37.4,21.09,0.0,35150
IN-C00129-SS,substation,Atmakūr,Andhra Pradesh,SR,15.88109,78.58704,132,IN-C00129-SS,40,10,45.7,1.019,38.6,21.08,0.0,35137
IN-C00130-SS,substation,Yanamalakuduru,Andhra Pradesh,SR,16.48531,80.66746,132,IN-C00130-SS,40,18,52.2,1.034,37.9,20.51,0.0,34177
IN-C00131-SS,substation,Nagalapuram,Andhra Pradesh,SR,13.38836,79.79623,132,IN-C00131-SS,40,30,45.7,1.018,32.2,20.42,0.0,34026
IN-C00132-SS,substation,Narsīpatnam,Andhra Pradesh,SR,17.66709,82.61245,132,IN-C00132-SS,40,16,59.9,0.967,39.3,20.25,0.0,33757
IN-C00133-SS,substation,Darsi,Andhra Pradesh,SR,15.76978,79.67939,132,IN-C00133-SS,40,16,57.0,1.006,36.8,20.05,0.0,33418
IN-C00134-SS,substation,Erraguntla,Andhra Pradesh,SR,14.63853,78.53974,132,IN-C00134-SS,40,22,31.0,1.028,32.9,19.54,0.0,32574
IN-C00135-SS,substation,Kalyandurg,Andhra Pradesh,SR,14.54519,77.10552,132,IN-C00135-SS,40,14,42.8,0.981,33.4,19.4,0.0,32328
IN-C00136-SS,substation,Chemmumiahpet,Andhra Pradesh,SR,14.46289,78.81191,132,IN-C00136-SS,40,18,50.0,1.001,32.8,18.85,0.0,31416
IN-C00137-SS,substation,Rāmāpuram,Andhra Pradesh,SR,13.10091,79.1841,132,IN-C00137-SS,40,16,55.9,0.999,34.9,18.7,0.0,31169
IN-C00138-SS,substation,Podili,Andhra Pradesh,SR,15.60639,79.61489,132,IN-C00138-SS,40,31,53.3,0.999,37.4,18.69,0.0,31145
IN-C00139-SS,substation,Pedana,Andhra Pradesh,SR,16.25582,81.14378,132,IN-C00139-SS,40,6,40.6,0.992,34.6,18.43,0.0,30721
IN-C00140-SS,substation,Kakkalapalle,Andhra Pradesh,SR,14.64152,77.56684,132,IN-C00140-SS,40,38,43.3,1.004,33.8,18.08,0.0,30128
IN-C00141-SS,substation,Ibrāhīmpatnam,Andhra Pradesh,SR,16.58303,80.51432,132,IN-C00141-SS,40,36,41.9,1.016,35.0,17.66,0.0,29432
IN-C00142-SS,substation,Pālkonda,Andhra Pradesh,SR,18.60374,83.75568,132,IN-C00142-SS,40,17,38.3,1.018,36.4,17.63,0.0,29378
IN-C00143-SS,substation,Chodavaram,Andhra Pradesh,SR,17.82884,82.93526,132,IN-C00143-SS,25,35,64.2,1.015,35.3,17.4,0.0,29000
IN-C00144-SS,substation,Tekkali,Andhra Pradesh,SR,18.6057,84.23546,132,IN-C00144-SS,25,31,40.0,1.007,39.1,17.18,0.0,28631
IN-C00145-SS,substation,Addanki,Andhra Pradesh,SR,15.81061,79.97338,132,IN-C00145-SS,25,19,65.3,1.027,34.6,17.13,0.0,28547
IN-C00146-SS,substation,Ramanayyapeta,Andhra Pradesh,SR,16.94516,82.2385,132,IN-C00146-SS,25,24,36.5,0.961,36.8,17.02,0.0,28369
IN-C00147-SS,substation,Elamanchili,Andhra Pradesh,SR,17.54907,82.85749,132,IN-C00147-SS,25,18,31.6,0.964,35.7,16.36,0.0,27265
IN-C00148-SS,substation,Payakaraopeta,Andhra Pradesh,SR,17.36784,82.56826,132,IN-C00148-SS,25,9,53.0,1.02,34.5,16.2,0.0,27001
IN-C00149-SS,substation,Vepagunta,Andhra Pradesh,SR,17.77844,83.21577,132,IN-C00149-SS,25,1,50.7,0.998,36.7,16.13,0.0,26881
IN-C00150-SS,substation,Māmidālapādu,Andhra Pradesh,SR,15.85409,78.01481,132,IN-C00150-SS,25,12,64.8,0.98,38.0,16.02,0.0,26694
IN-C00151-SS,substation,Narasannapeta,Andhra Pradesh,SR,18.41428,84.04463,132,IN-C00151-SS,25,8,59.6,0.992,34.9,15.77,0.0,26280
IN-C00152-SS,substation,Renigunta,Andhra Pradesh,SR,13.65143,79.51256,132,IN-C00152-SS,25,4,35.5,1.025,36.5,15.62,0.0,26031
IN-C00153-SS,substation,Chīpurupalle,Andhra Pradesh,SR,18.31142,83.56846,132,IN-C00153-SS,25,6,65.8,0.969,39.0,15.54,0.0,25898
IN-C00154-SS,substation,Avanigadda,Andhra Pradesh,SR,16.02148,80.91808,132,IN-C00154-SS,25,15,57.9,0.99,38.4,15.46,0.0,25761
IN-C00155-SS,substation,Poranki,Andhra Pradesh,SR,16.47771,80.70755,132,IN-C00155-SS,25,20,61.0,1.039,35.1,15.33,0.0,25545
IN-C00156-SS,substation,Banganapalle,Andhra Pradesh,SR,15.31771,78.22669,132,IN-C00156-SS,25,4,51.9,1.019,38.1,15.19,0.0,25325
IN-C00157-SS,substation,Rampachodavaram,Andhra Pradesh,SR,17.44088,81.77558,132,IN-C00157-SS,25,14,52.5,0.981,34.4,15.04,0.0,25074
