city_id,city,state,lat,lon,population,feature_code,geonameid
IN-C00041,Srikakulam,Andhra Pradesh,18.2989,83.89751,137944,PPL,1255647
IN-C00042,Guntakal,Andhra Pradesh,15.17112,77.36244,126270,PPL,1270670
IN-C00043,Dharmavaram,Andhra Pradesh,14.41435,77.72035,121874,PPL,1272842
IN-C00044,Gudivāda,Andhra Pradesh,16.43547,80.99555,118167,PPL,1270801
IN-C00045,Narasaraopet,Andhra Pradesh,16.23488,80.04927,117489,PPL,1261848
IN-C00046,Tadepalligudem,Andhra Pradesh,16.81467,81.52717,112655,PPL,1255264
IN-C00047,Tadpatri,Andhra Pradesh,14.90832,78.01031,108171,PPL,1255254
IN-C00048,Mangalagiri,Andhra Pradesh,16.43083,80.56815,107197,PPL,1263797
IN-C00049,Amaravati,Andhra Pradesh,16.514,80.516,103000,PPL,12261477
IN-C00050,Chilakalūrupet,Andhra Pradesh,16.08987,80.16705,101398,PPL,1274213
IN-C00051,Emmiganūr,Andhra Pradesh,15.77203,77.48345,95149,PPL,1272045
IN-C00052,Chīrāla,Andhra Pradesh,15.82385,80.35219,92942,PPL,1274106
IN-C00053,Rayachoti,Andhra Pradesh,14.05723,78.75056,91234,PPL,1258291
IN-C00054,Kāvali,Andhra Pradesh,14.9163,79.99449,90099,PPL,1267394
IN-C00055,Kadiri,Andhra Pradesh,14.11168,78.15982,89429,PPL,1268673
IN-C00056,Anakapalle,Andhra Pradesh,17.69134,83.00395,86519,PPL,1278688
IN-C00057,Palakollu,Andhra Pradesh,16.5167,81.73,81199,PPLA3,1260792
IN-C00058,Srikalahasti,Andhra Pradesh,13.75514,79.70143,80056,PPL,9408449
IN-C00059,Tanuku,Andhra Pradesh,16.75438,81.68143,77962,PPL,1254953
IN-C00060,Gūdūr,Andhra Pradesh,14.15093,79.8521,74851,PPL,1270791
IN-C00061,Mārkāpur,Andhra Pradesh,15.73534,79.26848,71092,PPL,1263504
IN-C00062,Bāpatla,Andhra Pradesh,15.90422,80.46743,70777,PPL,1277183
IN-C00063,Badvel,Andhra Pradesh,14.7451,79.06288,70626,PPL,1277949
IN-C00064,Attili,Andhra Pradesh,16.7,81.6,68196,PPL,1278178
IN-C00065,Palāsa,Andhra Pradesh,18.77257,84.41012,65833,PPL,1260771
IN-C00066,Pulivendla,Andhra Pradesh,14.42139,78.22502,65706,PPL,1259264
IN-C00067,Tādepalle,Andhra Pradesh,16.48333,80.6,64149,PPL,1255265
IN-C00068,Chinnachowk,Andhra Pradesh,14.47516,78.8354,64053,PPL,7302830
IN-C00069,Pidugurālla,Andhra Pradesh,16.47926,79.88632,63103,PPL,1259704
IN-C00070,Vinukonda,Andhra Pradesh,16.0531,79.73964,62550,PPL,1253150
IN-C00071,Nagari,Andhra Pradesh,13.32139,79.58557,62253,PPL,1262240
IN-C00072,Rāyadrug,Andhra Pradesh,14.69971,76.85241,61749,PPL,1258290
IN-C00073,Ponnur,Andhra Pradesh,16.07114,80.54944,59913,PPL,7302844
IN-C00074,Narasapur,Andhra Pradesh,16.43425,81.69845,59306,PPL,1261852
IN-C00075,Dhone,Andhra Pradesh,15.3952,77.8715,59272,PPL,1272722
IN-C00076,Nūzvīd,Andhra Pradesh,16.78854,80.84593,58590,PPL,1261110
IN-C00077,Kāsībugga,Andhra Pradesh,18.75927,84.41613,57507,PPL,1267573
IN-C00078,Mācherla,Andhra Pradesh,16.47635,79.43533,57290,PPL,1264647
IN-C00079,Kandukūr,Andhra Pradesh,15.21542,79.9039,57246,PPL,1268111
IN-C00080,Ponnūru,Andhra Pradesh,16.06547,80.55203,57170,PPL,1259408
IN-C00081,Sāmalkot,Andhra Pradesh,17.05675,82.17639,56864,PPL,1257565
IN-C00082,Bobbili,Andhra Pradesh,18.57366,83.35925,56819,PPL,1275406
IN-C00083,Sattenapalle,Andhra Pradesh,16.39381,80.15221,56721,PPL,1257001
IN-C00084,Mandapeta,Andhra Pradesh,16.86254,81.92921,56063,PPL,1263898
IN-C00085,Yanam,Andhra Pradesh,16.73308,82.21364,55626,PPL,1252795
IN-C00086,Bhīmunipatnam,Andhra Pradesh,17.89017,83.45203,55082,PPL,1275930
IN-C00087,Pithāpuram,Andhra Pradesh,17.1168,82.25284,54859,PPL,1259508
IN-C00088,Punganūru,Andhra Pradesh,13.36672,78.57186,54746,PPL,1259228
IN-C00089,Puttūr,Andhra Pradesh,13.44189,79.55314,54092,PPL,1259123
IN-C00090,Rāzampeta,Andhra Pradesh,14.19544,79.15896,54050,PPL,1258922
IN-C00091,Palmaner,Andhra Pradesh,13.2,78.74725,54035,PPL,1260674
IN-C00092,Pārvatipuram,Andhra Pradesh,18.78392,83.42569,53844,PPL,1260222
IN-C00093,Jaggaiahpet,Andhra Pradesh,16.89155,80.09551,53530,PPL,13156777
IN-C00094,Tuni,Andhra Pradesh,17.35905,82.54607,53425,PPL,1254054
IN-C00095,Amalāpuram,Andhra Pradesh,16.57868,82.00609,53231,PPL,1278935
IN-C00096,Venkatagiri,Andhra Pradesh,13.96005,79.58032,52688,PPL,1253251
IN-C00097,Repalle,Andhra Pradesh,16.0184,80.82958,50866,PPL,1258201
IN-C00098,Sālūr,Andhra Pradesh,18.51716,83.20548,50206,PPL,1257587
IN-C00099,Peddāpuram,Andhra Pradesh,17.07701,82.13836,49477,PPL,1259954
IN-C00100,Kānūru,Andhra Pradesh,16.49853,80.69141,49006,PPL,10778953
IN-C00101,Gooty,Andhra Pradesh,15.11836,77.63776,48658,PPL,1270974
IN-C00102,Jammalamadugu,Andhra Pradesh,14.84677,78.38314,46069,PPL,1269323
IN-C00103,Nāyudupet,Andhra Pradesh,13.90742,79.89465,45769,PPL,1261567
IN-C00104,Nandikotkūr,Andhra Pradesh,15.85668,78.26569,45343,PPL,1261957
IN-C00105,Dowleswaram,Andhra Pradesh,16.94761,81.77987,44637,PPL,13156776
IN-C00106,Akkarampalle,Andhra Pradesh,13.65,79.42,44219,PPL,7302805
IN-C00107,Nidadavole,Andhra Pradesh,16.90572,81.67222,44173,PPL,1261446
IN-C00108,Polavaram,Andhra Pradesh,17.24754,81.64372,43710,PPL,1259444
IN-C00109,Kanuru,Andhra Pradesh,16.28584,81.25464,43696,PPL,7302825
IN-C00110,Rāmachandrapuram,Andhra Pradesh,16.83636,82.02871,43657,PPL,1258756
IN-C00111,Rāzām,Andhra Pradesh,18.44909,83.65957,42197,PPL,1258270
IN-C00112,Pīleru,Andhra Pradesh,13.65584,78.93854,41489,PPL,1259689
IN-C00113,Jaggayyapeta,Andhra Pradesh,16.8938,80.09807,41180,PPL,1269570
IN-C00114,Akivīdu,Andhra Pradesh,16.58225,81.38112,40413,PPL,1279123
IN-C00115,Kovvūr,Andhra Pradesh,17.0162,81.72934,40379,PPL,1265886
IN-C00116,Amudālavalasa,Andhra Pradesh,18.41025,83.90295,39799,PPL,1278698
IN-C00117,Betamcherla,Andhra Pradesh,15.45144,78.14797,38994,PPL,1276416
IN-C00118,Kondapalle,Andhra Pradesh,16.61989,80.54244,38714,PPL,1266209
IN-C00119,Vetapālem,Andhra Pradesh,15.78502,80.30663,38671,PPL,1253220
IN-C00120,Nandigāma,Andhra Pradesh,16.7717,80.28596,38219,PPL,1261960
IN-C00121,Sūlūru,Andhra Pradesh,13.7,80.01667,38065,PPL,1255483
IN-C00122,Tirupati NMA,Andhra Pradesh,13.63229,79.48568,37968,PPL,13156775
IN-C00123,Kanigiri U,Andhra Pradesh,15.40637,79.50702,37420,PPL,13156774
IN-C00124,Vuyyūru,Andhra Pradesh,16.36307,80.84406,36755,PPL,1253077
IN-C00125,Ichchāpuram,Andhra Pradesh,19.11393,84.68721,36493,PPL,1269827
IN-C00126,Kovūr,Andhra Pradesh,14.5005,79.98518,35600,PPL,1265888
IN-C00127,Uravakonda,Andhra Pradesh,14.94348,77.25494,35565,PPL,1253698
IN-C00128,Giddalūr,Andhra Pradesh,15.37439,78.92609,35150,PPL,1271213
IN-C00129,Atmakūr,Andhra Pradesh,15.88109,78.58704,35137,PPL,1278201
IN-C00130,Yanamalakuduru,Andhra Pradesh,16.48531,80.66746,34177,PPL,7302853
IN-C00131,Nagalapuram,Andhra Pradesh,13.38836,79.79623,34026,PPL,1262270
IN-C00132,Narsīpatnam,Andhra Pradesh,17.66709,82.61245,33757,PPL,1261748
IN-C00133,Darsi,Andhra Pradesh,15.76978,79.67939,33418,PPL,1273448
IN-C00134,Erraguntla,Andhra Pradesh,14.63853,78.53974,32574,PPL,1272008
IN-C00135,Kalyandurg,Andhra Pradesh,14.54519,77.10552,32328,PPL,7302838
IN-C00136,Chemmumiahpet,Andhra Pradesh,14.46289,78.81191,31416,PPL,7302808
IN-C00137,Rāmāpuram,Andhra Pradesh,13.10091,79.1841,31169,PPL,1258726
IN-C00138,Podili,Andhra Pradesh,15.60639,79.61489,31145,PPL,1259478
IN-C00139,Pedana,Andhra Pradesh,16.25582,81.14378,30721,PPL,1259986
IN-C00140,Kakkalapalle,Andhra Pradesh,14.64152,77.56684,30128,PPL,10849508
IN-C00141,Ibrāhīmpatnam,Andhra Pradesh,16.58303,80.51432,29432,PPL,10778122
IN-C00142,Pālkonda,Andhra Pradesh,18.60374,83.75568,29378,PPL,1260702
IN-C00143,Chodavaram,Andhra Pradesh,17.82884,82.93526,29000,PPL,1274020
IN-C00144,Tekkali,Andhra Pradesh,18.6057,84.23546,28631,PPL,1254794
IN-C00145,Addanki,Andhra Pradesh,15.81061,79.97338,28547,PPL,1279356
IN-C00146,Ramanayyapeta,Andhra Pradesh,16.94516,82.2385,28369,PPL,7302846
IN-C00147,Elamanchili,Andhra Pradesh,17.54907,82.85749,27265,PPL,1272084
IN-C00148,Payakaraopeta,Andhra Pradesh,17.36784,82.56826,27001,PPL,7302842
IN-C00149,Vepagunta,Andhra Pradesh,17.77844,83.21577,26881,PPL,1253242
IN-C00150,Māmidālapādu,Andhra Pradesh,15.85409,78.01481,26694,PPL,11253678
IN-C00151,Narasannapeta,Andhra Pradesh,18.41428,84.04463,26280,PPL,1261853
IN-C00152,Renigunta,Andhra Pradesh,13.65143,79.51256,26031,PPL,1258213
IN-C00153,Chīpurupalle,Andhra Pradesh,18.31142,83.56846,25898,PPL,1274116
IN-C00154,Avanigadda,Andhra Pradesh,16.02148,80.91808,25761,PPL,1278122
IN-C00155,Poranki,Andhra Pradesh,16.47771,80.70755,25545,PPL,10778956
IN-C00156,Banganapalle,Andhra Pradesh,15.31771,78.22669,25325,PPL,1277330
IN-C00157,Rampachodavaram,Andhra Pradesh,17.44088,81.77558,25074,PPL,1274021
IN-C00158,Kanigiri,Andhra Pradesh,15.40555,79.50694,25045,PPL,1268059
IN-C00159,Avilala,Andhra Pradesh,13.61106,79.4208,24839,PPL,13156773
IN-C00160,Pākāla,Andhra Pradesh,13.44903,79.11493,24680,PPL,1260830
IN-C00161,Gorantla,Andhra Pradesh,13.98411,77.77224,24586,PPL,1270923
IN-C00162,Srīsailain,Andhra Pradesh,16.07217,78.86816,24142,PPL,1255621
IN-C00163,Suryaraopeta,Andhra Pradesh,16.99961,82.22317,24112,PPL,13156772
IN-C00164,Penugonda,Andhra Pradesh,16.65363,81.7455,23654,PPL,1259907
IN-C00165,Katheru,Andhra Pradesh,17.03795,81.77597,23572,PPL,7302834
IN-C00166,Tiruchanur,Andhra Pradesh,13.60727,79.44864,22963,PPL,13156771
IN-C00167,Gopavaram,Andhra Pradesh,14.78412,78.5729,22936,PPL,11271185
IN-C00168,Cumbum,Andhra Pradesh,15.58171,79.11059,22653,PPL,1273795
IN-C00169,Kuppam,Andhra Pradesh,12.74931,78.34189,21963,PPL,1265555
IN-C00170,Srisailam Project RFC Township,Andhra Pradesh,16.07331,78.87412,21452,PPL,13156770
IN-C00171,Vinnamāla,Andhra Pradesh,13.90738,79.90855,20924,PPL,11424018
IN-C00172,Kaikalūr,Andhra Pradesh,16.55154,81.214,20763,PPL,1268627
IN-C00173,Nellimarla,Andhra Pradesh,18.15619,83.44727,20498,PPL,1261531
IN-C00174,Penukonda,Andhra Pradesh,14.08286,77.59473,20220,PPL,1259905
IN-C00175,Pāmūru,Andhra Pradesh,15.09633,79.41174,20000,PPL,1260615
IN-C00176,L.A.Sagaram,Andhra Pradesh,13.90341,79.89055,19904,PPL,13156769
IN-C00177,Rameswaram,Andhra Pradesh,14.74006,78.54259,19483,PPL,13156768
IN-C00178,Gannavaram,Andhra Pradesh,16.54092,80.80213,19410,PPL,1271613
IN-C00179,Singarāyakonda,Andhra Pradesh,15.23046,80.02794,19400,PPL,1256176
IN-C00180,Mangalam,Andhra Pradesh,13.65754,79.46258,19318,PPL,13156767
IN-C00181,Somandepalle,Andhra Pradesh,14.00774,77.60846,18895,PPL,10849677
IN-C00182,Sriramnagar,Andhra Pradesh,18.28329,83.53422,18893,PPL,13156766
IN-C00183,Sompeta,Andhra Pradesh,18.94419,84.58449,18778,PPL,1255816
IN-C00184,Nadim Tiruvuru,Andhra Pradesh,17.11209,80.6088,18567,PPL,13156765
IN-C00185,Tirumala,Andhra Pradesh,13.68333,79.35,18013,PPL,1254373
IN-C00186,Bhattiprolu,Andhra Pradesh,16.1026,80.78074,18001,PPL,1276054
IN-C00187,Vadlapūdi,Andhra Pradesh,14.31119,79.8043,17881,PPL,1253578
IN-C00188,Tādigadapa,Andhra Pradesh,16.47129,80.69695,17462,PPL,10778957
IN-C00189,Phirangipuram,Andhra Pradesh,16.29078,80.26233,17335,PPL,1259773
IN-C00190,Hukumpeta,Andhra Pradesh,16.98874,81.8017,16985,PPL,13156764
IN-C00191,Challapalle,Andhra Pradesh,16.11756,80.93139,16841,PPL,1274861
IN-C00192,Gokavaram,Andhra Pradesh,17.25823,81.84985,16389,PPL,1271062
IN-C00193,Kosigi,Andhra Pradesh,15.8551,77.24463,15455,PPL,1266070
IN-C00194,Morampudi,Andhra Pradesh,16.98005,81.83715,15346,PPL,13156763
IN-C00195,Mādugula,Andhra Pradesh,17.91589,82.81578,14741,PPL,1264525
IN-C00196,Kāmalāpuram,Andhra Pradesh,14.5983,78.66948,14677,PPL,1268277
IN-C00197,Kankipādu,Andhra Pradesh,16.4353,80.76715,14616,PPL,1268024
IN-C00198,Kottavalasa,Andhra Pradesh,17.89044,83.1907,14321,PPL,1265913
IN-C00199,Bhānumukkala,Andhra Pradesh,15.31189,78.22772,14307,PPL,11268912
IN-C00200,Nārāyanapuram,Andhra Pradesh,14.70404,77.578,14227,PPL,10849382
IN-C00201,Rāzole,Andhra Pradesh,16.47608,81.83912,14204,PPL,1258269
IN-C00202,Prasadampadu,Andhra Pradesh,16.61224,80.68443,13941,PPL,13156762
IN-C00203,Pāpampeta,Andhra Pradesh,14.68553,77.578,13850,PPL,10849562
IN-C00204,Peddaboddepalle,Andhra Pradesh,17.66064,82.62957,12781,PPL,10770306
IN-C00205,Pondūru,Andhra Pradesh,18.34957,83.75649,12640,PPL,10787782
IN-C00206,Thummalamenta,Andhra Pradesh,15.02765,78.02347,12373,PPL,13156761
IN-C00207,Nāgireddipalli,Andhra Pradesh,14.27005,79.10131,12318,PPL,1262196
IN-C00208,Etikoppāka,Andhra Pradesh,17.5,82.73333,12000,PPL,1271985
IN-C00209,Bandarulanka,Andhra Pradesh,16.58282,81.96167,11470,PPL,13156760
IN-C00210,Nārāyanavanam,Andhra Pradesh,13.42565,79.58881,11432,PPL,1261832
IN-C00211,Modameedipalle,Andhra Pradesh,14.73595,78.56058,11397,PPL,13156759
IN-C00212,Guntupalle,Andhra Pradesh,16.56794,80.54758,11187,PPL,10778128
IN-C00213,Perur,Andhra Pradesh,13.61883,79.38255,11127,PPL,13156758
IN-C00214,Bhuja Bhuja Nellore,Andhra Pradesh,14.39468,79.9399,10927,PPL,11419015
IN-C00215,Gudlavalleru,Andhra Pradesh,16.35,81.05,10902,PPL,1270798
IN-C00216,Narasingāpuram,Andhra Pradesh,13.60759,79.31652,10875,PPL,1261844
IN-C00217,Pavuluru,Andhra Pradesh,15.85292,80.16468,10524,PPL,7303913
IN-C00218,Yenumalapalle,Andhra Pradesh,14.14424,77.81685,10482,PPL,13156757
IN-C00219,Gavaravaram,Andhra Pradesh,16.71632,81.08308,10029,PPL,13156756
IN-C00220,vadlamuru,Andhra Pradesh,17.09545,82.16565,10000,PPL,7180617
IN-C00221,Muddanūru,Andhra Pradesh,14.68718,78.39309,9775,PPL,1262671
IN-C00222,Mandasa,Andhra Pradesh,18.8683,84.46296,9287,PPL,1263888
IN-C00223,Balaga,Andhra Pradesh,18.31545,83.89326,9071,PPL,10787928
IN-C00224,Puttaparthi,Andhra Pradesh,14.1652,77.8117,9000,PPL,6621344
IN-C00225,Pippara,Andhra Pradesh,16.71667,81.55,8581,PPL,1259562
IN-C00226,Korukollu,Andhra Pradesh,16.5,81.25,8543,PPL,1266094
IN-C00227,Dommaranandyāla,Andhra Pradesh,14.86411,78.36408,8337,PPL,11269054
IN-C00228,Sanivārapupeta,Andhra Pradesh,16.73047,81.07769,8142,PPL,10767340
IN-C00229,Mangasamudram,Andhra Pradesh,13.2291,79.09087,8113,PPL,11420598
IN-C00230,Chintapalle,Andhra Pradesh,17.87117,82.35108,7888,PPL,1274127
IN-C00231,Seethanagaram,Andhra Pradesh,17.1767,81.6925,7816,PPL,12261432
IN-C00232,Yerrabalem,Andhra Pradesh,13.7046,80.0186,7803,PPL,13156755
IN-C00233,Nakkāpalle,Andhra Pradesh,17.40792,82.71663,7603,PPL,10770623
IN-C00234,Mūlaguntapādu,Andhra Pradesh,15.26405,80.01956,7145,PPL,10789082
IN-C00235,Chennamukkapalle,Andhra Pradesh,14.05954,78.76981,7065,PPL,13156754
IN-C00236,Moragudi,Andhra Pradesh,14.86259,78.37878,6812,PPL,11269055
IN-C00237,Murakambattu,Andhra Pradesh,13.24631,79.11874,6812,PPL,13156753
IN-C00238,Kantabamsuguda,Andhra Pradesh,18.32264,82.88259,6714,PPL,13156752
IN-C00239,Veparāla,Andhra Pradesh,14.85718,78.34806,6712,PPL,11269032
IN-C00240,Hiramandalam,Andhra Pradesh,18.67085,83.95054,6603,PPL,1270057
IN-C00241,Chidiga,Andhra Pradesh,16.96295,82.21243,6365,PPL,13156751
IN-C00242,Vaddeswaram,Andhra Pradesh,16.44734,80.61273,6275,PPL,13156750
IN-C00243,Cherlopalle,Andhra Pradesh,13.61366,79.36523,6143,PPL,11184819
IN-C00244,Tada Khandrika,Andhra Pradesh,13.58855,80.03368,6123,PPL,13156749
IN-C00245,Pātrapur,Andhra Pradesh,19.13198,84.57036,6059,PPL,1260067
IN-C00246,Kanapaka,Andhra Pradesh,18.11457,83.37431,5960,PPL,13156748
IN-C00247,Chintalavalasa,Andhra Pradesh,18.06701,83.40907,5921,PPL,10784527
IN-C00248,Jarjapupeta,Andhra Pradesh,18.18071,83.44025,5761,PPL,13156747
IN-C00249,Gajapatinagaram,Andhra Pradesh,18.27936,83.33647,5687,PPL,1271791
IN-C00250,Dwāraka Tirumala,Andhra Pradesh,16.95427,81.25585,5543,PPL,10767998
IN-C00251,Malicherla,Andhra Pradesh,18.07098,83.40023,5229,PPL,10784526
IN-C00252,Mangampeta,Andhra Pradesh,14.01578,79.3137,5175,PPL,11416577
IN-C00253,Diguvametta,Andhra Pradesh,15.39507,78.8293,5166,PPL,1272587
IN-C00254,Survepalle Bit ? II,Andhra Pradesh,14.26937,79.96197,5129,PPL,13645558
IN-C00255,Arempudi,Andhra Pradesh,17.26963,82.37514,5073,PPL,13156746
IN-C00256,Bowluvada,Andhra Pradesh,17.74546,82.98858,5001,PPL,13156745
IN-C00257,Tummikāpalle,Andhra Pradesh,17.91346,83.179,4911,PPL,10788551
IN-C00258,Upper Sileru Project Site Camp,Andhra Pradesh,18.05848,82.03254,4632,PPL,13156744
IN-C00259,Mulakuddu,Andhra Pradesh,17.91609,83.4488,4513,PPL,13156743
IN-C00260,Yārāda,Andhra Pradesh,17.65872,83.27419,3406,PPL,1252783
IN-C00261,Lebur Bit ? I,Andhra Pradesh,14.50407,80.08263,3148,PPL,13645557
IN-C00262,Pallevāda,Andhra Pradesh,16.5779,81.29463,2955,PPL,1260688
IN-C00263,Chavutapālem,Andhra Pradesh,14.30796,79.89218,2650,PPL,1274464
IN-C00264,Epuru Bit - I - B,Andhra Pradesh,14.26937,80.05773,2544,PPL,13645559
IN-C00265,pedda nakkalapalem,Andhra Pradesh,15.8668,80.16202,2500,PPL,7303915
IN-C00266,Reddivaripalle,Andhra Pradesh,13.6031,79.0466,2324,PPL,12261431
IN-C00267,Ganguvāda,Andhra Pradesh,18.66667,84.11667,2065,PPL,1271630
IN-C00268,Kolanukonda,Andhra Pradesh,16.45392,80.61046,1947,PPL,1266307
IN-C00269,Akasahebpet,Andhra Pradesh,17.50455,82.56597,1500,PPL,10770254
IN-C00270,kotta palem,Andhra Pradesh,15.85747,80.16492,500,PPL,7303914
IN-C00271,Abagaladoddi,Andhra Pradesh,12.85631,78.39893,0,PPL,11344599
IN-C00272,Abalasingi,Andhra Pradesh,18.64789,83.87435,0,PPL,10787378
IN-C00273,Abbanapalli,Andhra Pradesh,14.29311,79.26685,0,PPL,11416249
IN-C00274,Abbaramvāndlapalli,Andhra Pradesh,13.75422,79.00928,0,PPL,11419473
IN-C00275,Abbavaram,Andhra Pradesh,14.07605,78.7772,0,PPL,11277368
IN-C00276,Abbavāndlapalle,Andhra Pradesh,14.28242,77.82542,0,PPL,10850182
IN-C00277,Abbayapālem,Andhra Pradesh,15.8266,79.58607,0,PPL,11375683
IN-C00278,Abbineniguntapālem,Andhra Pradesh,16.1394,80.32856,0,PPL,10773592
IN-C00279,Abbireddipalle,Andhra Pradesh,15.44395,77.85952,0,PPL,10906931
IN-C00280,Abbireddivāripalli,Andhra Pradesh,13.75973,79.02432,0,PPL,11419469
IN-C00281,Abbivānipalle,Andhra Pradesh,14.0782,78.23157,0,PPL,11275523
IN-C00282,Abbusāhibpeta,Andhra Pradesh,14.70026,79.07384,0,PPL,11412176
IN-C00283,Abbābhotlapalli,Andhra Pradesh,13.68144,79.68253,0,PPL,11422595
IN-C00284,Abbāsāhebupeta,Andhra Pradesh,14.7902,79.65011,0,PPL,11417937
IN-C00285,Abbūru,Andhra Pradesh,16.44801,80.16544,0,PPL,10770456
IN-C00286,Abdullāpuram,Andhra Pradesh,15.0026,78.10565,0,PPL,11268946
IN-C00287,Achainpalle,Andhra Pradesh,13.9976,77.29584,0,PPL,10851248
IN-C00288,Achamma,Andhra Pradesh,13.40442,79.16819,0,PPL,11420215
IN-C00289,Achampet,Andhra Pradesh,16.62876,80.12055,0,PPL,1279389
IN-C00290,Achannapalli,Andhra Pradesh,14.19287,79.08734,0,PPL,11415710
IN-C00291,Achannapālem,Andhra Pradesh,18.25864,83.93919,0,PPL,10788167
IN-C00292,Achanta,Andhra Pradesh,16.6027,81.80651,0,PPL,12519614
IN-C00293,Achchaba,Andhra Pradesh,18.68894,83.73798,0,PPL,10785789
IN-C00294,Achchamanāyadukhandrika,Andhra Pradesh,13.34567,79.85807,0,PPL,11424511
IN-C00295,Achchammakota,Andhra Pradesh,13.68109,78.29441,0,PPL,11321851
IN-C00296,Achchampalle,Andhra Pradesh,14.34652,77.30125,0,PPL,10849199
IN-C00297,Achchampeta,Andhra Pradesh,17.32494,82.24755,0,PPL,10767832
IN-C00298,Achchampālem,Andhra Pradesh,17.02474,80.89331,0,PPL,10769771
IN-C00299,Achchannapālem,Andhra Pradesh,16.95923,81.42577,0,PPL,10768092
IN-C00300,Achchava,Andhra Pradesh,18.99183,83.51946,0,PPL,10785052
IN-C00301,Achchavelli,Andhra Pradesh,14.47672,78.29468,0,PPL,11373117
IN-C00302,Achchayapeta,Andhra Pradesh,18.46552,83.38097,0,PPL,10784337
IN-C00303,Achchayyapeta,Andhra Pradesh,17.44502,82.07721,0,PPL,10767717
IN-C00304,Achchayyapālem,Andhra Pradesh,17.2156,81.38828,0,PPL,10791541
IN-C00305,Achchemmapālem,Andhra Pradesh,16.14954,80.01449,0,PPL,10771818
IN-C00306,Achcherla,Andhra Pradesh,17.65618,82.85492,0,PPL,10771520
