scenario_id,scenario_type,initiating_node,initiating_city,initiating_state,cascade_risk_pct,stress_multiplier,load_multiplier,weather_factor,population_affected,assessment_timestamp,frequency_hz,power_factor,ambient_temp_c,rainfall_mm_hr,wind_kph,lightning_risk,humidity_pct,breaker_state,protection_event,fault_type,restoration_action
IND-S00021,normal_operation,IN-C19729-FD032,Kolkata,West Bengal,0.0,1.0965,1.0065,0.9833,0,2026-08-30 22:55:00+00:00,49.977,0.99,32.6,0.26,22.1,0.126,57.8,CLOSED,No protection operation,demand stress,No restoration required
IND-S00022,line_outage,IN-C09287-FD032,Nashik,Maharashtra,0.14,2.4192,1.1715,1.0284,1486053,2026-08-19 00:50:00+00:00,49.85,0.975,33.8,1.13,19.5,0.153,74.1,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00023,line_outage,IN-C00021-FD021,Nellore,Andhra Pradesh,0.12,2.2742,1.2688,1.0084,547621,2026-08-21 06:35:00+00:00,49.822,0.954,34.9,0.26,18.5,0.176,62.6,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00024,transformer_overload,IN-C11581-FD011,Gangāpur,Rajasthan,0.0,4.908,1.2306,1.0086,0,2026-08-14 03:00:00+00:00,49.65,0.956,33.6,1.21,17.0,0.139,68.2,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00025,cascade_emergency,IN-C03790-FD012,Faridabad,Haryana,11.3,4.1871,1.4665,1.0982,20031820,2026-08-28 07:50:00+00:00,49.65,0.97,29.8,2.13,24.9,0.344,60.9,CLOSED,No protection operation,demand stress,No restoration required
IND-S00026,transformer_overload,IN-C19729-FD011,Kolkata,West Bengal,0.0,3.1637,1.1545,1.0205,0,2026-08-13 13:35:00+00:00,49.738,0.986,35.0,2.14,22.3,0.164,63.6,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00027,transformer_overload,IN-C00025-GEN09,Kadapa,Andhra Pradesh,0.05,3.7404,1.2977,1.0713,0,2026-08-03 17:20:00+00:00,49.722,0.959,37.9,2.61,18.1,0.432,63.2,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00028,heatwave,IN-C15570-FD011,Mau,Uttar Pradesh,9.0,3.2869,1.3057,1.1242,11667263,2026-08-26 01:05:00+00:00,49.745,0.98,36.1,2.97,20.9,0.522,69.3,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00029,high_demand,IN-C07047-GEN03,Kochi,Kerala,8.68,1.6417,1.474,1.041,875623,2026-08-29 19:50:00+00:00,49.919,0.953,31.7,1.35,21.2,0.401,61.9,CLOSED,No protection operation,demand stress,No restoration required
IND-S00030,cascade_emergency,IN-C03790-GEN01,Faridabad,Haryana,11.46,4.6138,1.5493,1.0699,20689829,2026-08-21 14:10:00+00:00,49.65,0.946,34.1,2.07,20.7,0.5,61.4,CLOSED,No protection operation,demand stress,No restoration required
IND-S00031,transformer_overload,IN-C12348-GEN09,Erode,Tamil Nadu,0.01,5.8873,1.1502,1.0115,0,2026-08-05 21:40:00+00:00,49.65,0.99,33.0,1.24,20.5,0.442,63.7,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00032,transformer_overload,IN-C03059-FD011,Najafgarh,Delhi,0.18,4.7106,1.0365,1.0405,1365000,2026-08-03 18:55:00+00:00,49.65,0.988,35.7,1.63,21.2,0.162,78.4,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00033,high_demand,IN-C10424-FD011,Nowrangapur,Odisha,8.9,1.7997,1.4912,1.0772,1220946,2026-08-03 13:40:00+00:00,49.922,0.964,41.0,1.85,17.5,0.468,67.2,CLOSED,No protection operation,demand stress,No restoration required
IND-S00034,transformer_overload,IN-C03110-SS,Raja Pur Khurd,Delhi,0.0,5.7103,1.1193,1.0241,0,2026-08-08 00:35:00+00:00,49.65,0.974,31.2,0.5,11.4,0.077,84.7,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00035,high_demand,IN-C19729-FD021,Kolkata,West Bengal,9.02,1.9297,1.5274,1.022,5807089,2026-08-09 09:20:00+00:00,49.909,0.957,36.8,0.97,13.7,0.113,84.6,CLOSED,No protection operation,demand stress,No restoration required
IND-S00036,high_demand,IN-C11595-SS,Karauli,Rajasthan,0.0,1.6588,1.2921,1.0535,0,2026-08-27 04:10:00+00:00,49.924,0.977,30.4,1.96,20.1,0.369,69.7,CLOSED,No protection operation,demand stress,No restoration required
IND-S00037,high_demand,IN-C15557-GEN12,Loni,Uttar Pradesh,9.26,2.7065,1.3902,1.0828,11963895,2026-08-13 22:45:00+00:00,49.821,0.97,40.1,1.68,18.8,0.509,63.1,CLOSED,No protection operation,demand stress,No restoration required
IND-S00038,normal_operation,IN-C02526-FD011,Bhilai,Chhattisgarh,0.0,1.1659,1.0094,0.9893,0,2026-08-13 08:15:00+00:00,49.977,0.973,28.9,1.58,23.8,0.0,61.6,CLOSED,No protection operation,demand stress,No restoration required
IND-S00039,high_demand,IN-C11169-SS,Makhu,Punjab,8.66,2.8016,1.4309,1.053,29458,2026-08-17 05:10:00+00:00,49.786,0.969,42.3,2.39,20.2,0.322,60.2,CLOSED,No protection operation,demand stress,No restoration required
IND-S00040,line_outage,IN-C11563-FD021,Bikaner,Rajasthan,0.13,2.3277,1.1362,1.0149,644406,2026-08-18 18:55:00+00:00,49.835,0.99,31.2,0.44,14.8,0.335,64.9,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00041,heatwave,IN-C02613-SS,Pāndātarai,Chhattisgarh,8.46,1.6331,1.3283,1.1005,0,2026-08-18 15:20:00+00:00,49.941,0.961,35.0,2.33,17.8,0.279,51.9,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00042,transformer_overload,IN-C03058-GEN01,Delhi,Delhi,0.77,5.6839,1.0497,1.0228,11378111,2026-08-25 08:50:00+00:00,49.65,0.99,34.4,0.65,19.2,0.0,40.8,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00043,normal_operation,IN-C00021-FD011,Nellore,Andhra Pradesh,0.0,1.0111,0.8849,0.9821,0,2026-08-09 10:20:00+00:00,50.011,0.99,32.1,0.72,19.6,0.213,64.6,CLOSED,No protection operation,demand stress,No restoration required
IND-S00044,high_demand,IN-C12341-SS,Coimbatore,Tamil Nadu,8.46,2.0904,1.3454,1.0604,219591,2026-08-28 13:20:00+00:00,49.857,0.956,36.7,1.36,13.1,0.267,62.1,CLOSED,No protection operation,demand stress,No restoration required
IND-S00045,cascade_emergency,IN-C16809-SS,Aichana,Uttar Pradesh,8.47,4.2174,1.3544,1.0808,0,2026-08-03 14:15:00+00:00,49.657,0.961,36.1,2.0,21.0,0.453,70.9,CLOSED,No protection operation,demand stress,No restoration required
IND-S00046,line_outage,IN-AND-HUB-GEN,Andhra Pradesh Hub Generation,Andhra Pradesh,0.0,1.6857,1.1571,1.0061,0,2026-08-13 01:25:00+00:00,49.894,0.956,30.0,0.72,17.5,0.454,67.3,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00047,normal_operation,IN-C15754-SS,Kithor,Uttar Pradesh,0.0,1.1805,1.0459,1.0121,0,2026-08-24 09:30:00+00:00,49.997,0.978,31.2,3.44,18.0,0.157,56.8,CLOSED,No protection operation,demand stress,No restoration required
IND-S00048,heatwave,IN-C12316-SS,Atātia,Rajasthan,0.0,3.058,1.1904,1.155,0,2026-08-23 18:55:00+00:00,49.765,0.987,38.3,3.54,24.5,0.308,74.5,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00049,line_outage,IN-C07857-SS,Indore,Madhya Pradesh,0.0,2.0314,1.0799,1.0084,0,2026-08-14 04:10:00+00:00,49.889,0.99,38.1,0.54,20.7,0.229,62.9,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00050,line_outage,IN-C05530-GEN01,Bengaluru,Karnataka,0.0,1.6933,1.2057,1.0178,0,2026-08-01 01:20:00+00:00,49.929,0.949,34.8,2.36,20.2,0.247,56.0,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00051,line_outage,IN-C05531-GEN02,Hubballi,Karnataka,0.01,1.8961,1.2546,1.0392,0,2026-08-04 20:45:00+00:00,49.864,0.979,34.0,2.35,16.7,0.255,66.9,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00052,heatwave,IN-C03280-GEN01,Ahmedabad,Gujarat,9.84,2.8896,1.4082,1.0985,18304534,2026-08-16 09:35:00+00:00,49.78,0.967,42.9,2.47,17.8,0.107,72.3,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00053,high_demand,IN-C01382-GEN09,Begusarai,Bihar,0.12,2.5886,1.2753,1.0949,0,2026-08-06 09:10:00+00:00,49.809,0.967,36.8,1.75,24.7,0.59,58.7,CLOSED,No protection operation,demand stress,No restoration required
IND-S00054,cascade_emergency,IN-C14844-FD021,Hyderabad,Telangana,34.15,6.9684,1.5348,1.1534,76111148,2026-08-21 21:00:00+00:00,49.65,0.964,35.0,3.82,12.0,0.395,73.0,CLOSED,No protection operation,demand stress,No restoration required
IND-S00055,cascade_emergency,IN-C04533-SS,Tsrār Sharīf,Jammu and Kashmir,8.54,6.9504,1.3285,1.1301,0,2026-08-09 12:20:00+00:00,49.65,0.97,31.1,3.68,20.8,0.452,82.5,CLOSED,No protection operation,demand stress,No restoration required
IND-S00056,high_demand,IN-C10341-GEN01,Aizawl,Mizoram,9.44,2.199,1.4068,1.0811,12039357,2026-08-18 16:25:00+00:00,49.841,0.976,44.0,2.67,28.2,0.454,68.7,CLOSED,No protection operation,demand stress,No restoration required
IND-S00057,line_outage,IN-C11030-FD011,Kāraikāl,Puducherry,0.08,2.4106,1.0359,1.007,86838,2026-08-24 13:00:00+00:00,49.845,0.988,35.9,2.17,22.1,0.102,46.7,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00058,high_demand,IN-C05535-GEN06,Belagavi,Karnataka,8.62,2.8475,1.4788,1.0416,0,2026-08-23 14:40:00+00:00,49.821,0.957,33.9,3.96,12.3,0.38,59.8,CLOSED,No protection operation,demand stress,No restoration required
IND-S00059,line_outage,IN-C05534-FD011,Mangaluru,Karnataka,0.0,1.4049,1.0443,1.0562,0,2026-08-08 19:50:00+00:00,49.951,0.99,35.9,1.43,20.1,0.28,76.0,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00060,high_demand,IN-UTT-HUB-GEN,Uttarakhand Hub Generation,Uttarakhand,8.46,2.6705,1.3938,1.0501,0,2026-08-27 21:45:00+00:00,49.791,0.976,39.1,2.19,15.7,0.319,70.1,CLOSED,No protection operation,demand stress,No restoration required
IND-S00061,heatwave,IN-C19853-SS,Āmlāgora,West Bengal,11.49,1.737,1.4052,1.1692,15521504,2026-08-10 22:45:00+00:00,49.962,0.962,40.3,3.42,13.5,0.465,51.0,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00062,high_demand,IN-C12387-SS,Pollachi,Tamil Nadu,8.54,1.5185,1.3863,1.086,0,2026-08-06 13:55:00+00:00,49.95,0.969,42.2,1.98,24.2,0.231,78.4,CLOSED,No protection operation,demand stress,No restoration required
IND-S00063,transformer_overload,IN-C09491-SS,Indāpur,Maharashtra,0.0,3.7693,1.0906,1.0735,0,2026-08-20 12:05:00+00:00,49.693,0.963,37.4,2.1,17.4,0.27,53.1,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00064,normal_operation,IN-C19733-GEN05,Āsansol,West Bengal,0.02,1.1758,0.9068,1.0135,500,2026-08-02 00:55:00+00:00,50.0,0.99,40.4,1.13,19.6,0.139,51.4,CLOSED,No protection operation,demand stress,No restoration required
IND-S00065,normal_operation,IN-WES-HUB-GEN,West Bengal Hub Generation,West Bengal,0.0,1.1331,0.98,0.9836,0,2026-08-31 02:55:00+00:00,49.991,0.99,35.3,0.33,17.3,0.269,48.7,CLOSED,No protection operation,demand stress,No restoration required
IND-S00066,cascade_emergency,IN-C00036-FD011,Proddatūr,Andhra Pradesh,8.85,5.2041,1.3429,1.151,344234,2026-08-25 19:30:00+00:00,49.65,0.976,32.3,3.08,27.5,0.419,61.1,CLOSED,No protection operation,demand stress,No restoration required
IND-S00067,normal_operation,IN-C11164-SS,Husainpur,Punjab,0.0,1.1603,0.8977,1.014,0,2026-08-08 18:45:00+00:00,50.0,0.99,29.7,1.5,27.1,0.172,68.7,CLOSED,No protection operation,demand stress,No restoration required
IND-S00068,normal_operation,IN-C14844-FD022,Hyderabad,Telangana,0.0,1.1856,1.0044,1.0079,0,2026-08-08 02:15:00+00:00,49.986,0.966,35.2,0.16,15.1,0.202,66.9,CLOSED,No protection operation,demand stress,No restoration required
IND-S00069,cascade_emergency,IN-C00021-GEN05,Nellore,Andhra Pradesh,8.67,5.0089,1.3375,1.1156,723305,2026-08-20 02:25:00+00:00,49.65,0.947,38.3,2.31,22.3,0.313,73.5,CLOSED,No protection operation,demand stress,No restoration required
IND-S00070,transformer_overload,IN-C12347-FD011,Salem,Tamil Nadu,0.0,2.7722,1.0812,1.0568,0,2026-08-20 04:15:00+00:00,49.819,0.985,36.8,2.09,23.0,0.393,71.7,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00071,high_demand,IN-C01220-SS,Donkamokam,Assam,0.0,2.4245,1.2627,1.0907,0,2026-08-02 10:35:00+00:00,49.841,0.988,37.7,1.97,26.6,0.357,58.6,CLOSED,No protection operation,demand stress,No restoration required
IND-S00072,transformer_overload,IN-C01378-GEN05,Bihār Sharīf,Bihar,0.0,2.7341,1.294,1.0367,0,2026-08-01 16:05:00+00:00,49.774,0.955,40.9,1.86,20.2,0.334,70.5,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00073,heatwave,IN-C11647-SS,Rāwatsār,Rajasthan,8.44,2.6448,1.1935,1.2124,0,2026-08-20 05:05:00+00:00,49.822,0.975,33.6,4.62,16.6,0.617,61.5,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00074,high_demand,IN-C12780-SS,Arumanai,Tamil Nadu,8.69,2.4738,1.5322,1.0319,0,2026-08-08 01:30:00+00:00,49.845,0.962,31.5,1.8,25.4,0.436,70.5,CLOSED,No protection operation,demand stress,No restoration required
IND-S00075,line_outage,IN-C07857-FD032,Indore,Madhya Pradesh,0.09,1.8164,1.0358,1.008,0,2026-08-04 01:50:00+00:00,49.921,0.988,32.4,0.86,13.7,0.166,65.0,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00076,high_demand,IN-C07861-FD021,Ujjain,Madhya Pradesh,0.26,2.1132,1.3153,1.0671,161808,2026-08-04 18:55:00+00:00,49.885,0.961,38.4,1.54,20.6,0.206,63.5,CLOSED,No protection operation,demand stress,No restoration required
IND-S00077,normal_operation,IN-C07877-FD011,Vidisha,Madhya Pradesh,0.0,1.0948,0.8951,1.0029,0,2026-08-19 01:40:00+00:00,49.992,0.985,34.2,0.53,16.4,0.37,49.5,CLOSED,No protection operation,demand stress,No restoration required
IND-S00078,high_demand,IN-C12891-SS,Suchindram,Tamil Nadu,8.6,2.4719,1.4457,1.0453,230955,2026-08-02 17:55:00+00:00,49.819,0.957,32.7,2.16,14.4,0.435,72.3,CLOSED,No protection operation,demand stress,No restoration required
IND-S00079,heatwave,IN-C09289-GEN08,Kalyān,Maharashtra,9.5,2.3628,1.3378,1.1305,15240176,2026-08-26 11:25:00+00:00,49.849,0.97,31.5,3.17,24.8,0.516,33.3,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00080,cascade_emergency,IN-C15552-GEN07,Prayagraj,Uttar Pradesh,10.55,6.5182,1.4561,1.154,21029265,2026-08-20 06:25:00+00:00,49.65,0.948,39.4,3.25,21.5,0.649,75.9,CLOSED,No protection operation,demand stress,No restoration required
IND-S00081,line_outage,IN-C02530-GEN06,Rāj-Nāndgaon,Chhattisgarh,0.0,1.2937,1.2526,1.0033,0,2026-08-05 14:45:00+00:00,49.993,0.973,36.1,0.34,20.2,0.195,60.0,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00082,transformer_overload,IN-C03280-FD031,Ahmedabad,Gujarat,0.35,3.2556,1.2228,1.0012,6357693,2026-08-23 16:35:00+00:00,49.749,0.977,31.8,0.11,18.3,0.014,58.5,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00083,cascade_emergency,IN-C18858-SS,Asanda,Uttar Pradesh,8.65,5.8613,1.3461,1.1281,158075,2026-08-19 00:35:00+00:00,49.65,0.97,32.8,2.78,15.2,0.458,49.8,CLOSED,No protection operation,demand stress,No restoration required
IND-S00084,heatwave,IN-C05531-FD011,Hubballi,Karnataka,8.82,2.8753,1.3616,1.1343,943788,2026-08-29 16:55:00+00:00,49.785,0.98,30.6,3.86,22.9,0.685,58.1,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00085,transformer_overload,IN-C09344-FD011,Shirpur,Maharashtra,0.0,2.655,1.0498,1.0669,0,2026-08-12 19:10:00+00:00,49.831,0.989,37.8,3.44,21.3,0.111,73.4,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00086,high_demand,IN-C15654-SS,Kosi,Uttar Pradesh,0.0,2.9855,1.2925,1.0559,0,2026-08-06 15:55:00+00:00,49.755,0.962,30.8,1.75,18.9,0.339,60.8,CLOSED,No protection operation,demand stress,No restoration required
IND-S00087,normal_operation,IN-C12340-GEN01,Chennai,Tamil Nadu,0.0,1.0868,0.9439,0.986,0,2026-08-16 14:45:00+00:00,49.991,0.97,35.3,0.85,20.8,0.365,59.0,CLOSED,No protection operation,demand stress,No restoration required
IND-S00088,transformer_overload,IN-C15547-GEN02,Lucknow,Uttar Pradesh,0.14,2.1786,1.0699,1.0234,2485069,2026-08-28 13:00:00+00:00,49.837,0.99,37.1,0.54,17.5,0.257,71.2,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00089,line_outage,IN-C10428-FD021,Rourkela,Odisha,0.09,1.8413,1.0252,1.0146,273317,2026-08-30 15:00:00+00:00,49.9,0.979,31.4,1.21,23.7,0.286,69.5,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00090,heatwave,IN-C01122-FD011,Jorhat,Assam,8.58,2.2332,1.3119,1.1274,126736,2026-08-05 16:35:00+00:00,49.84,0.971,31.5,2.49,17.1,0.271,62.3,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00091,heatwave,IN-C17143-SS,Akbarpurkot,Uttar Pradesh,10.44,2.5096,1.4229,1.1622,34997677,2026-08-07 05:20:00+00:00,49.811,0.979,35.0,4.41,25.0,0.556,60.2,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00092,line_outage,IN-C09291-FD031,Virār,Maharashtra,0.09,1.8908,1.0315,1.0239,500,2026-08-22 13:55:00+00:00,49.909,0.99,34.4,2.58,22.6,0.222,57.4,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00093,transformer_overload,IN-C00026-FD011,Tirupati,Andhra Pradesh,0.13,5.7098,1.1345,1.0246,295323,2026-08-26 04:50:00+00:00,49.65,0.97,38.6,1.89,21.3,0.266,57.9,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00094,high_demand,IN-C00113-SS,Jaggayyapeta,Andhra Pradesh,8.66,1.917,1.4609,1.0707,0,2026-08-01 04:10:00+00:00,49.867,0.974,29.2,2.39,20.0,0.215,47.4,CLOSED,No protection operation,demand stress,No restoration required
IND-S00095,high_demand,IN-C09283-FD032,Pune,Maharashtra,11.44,2.6421,1.521,1.0777,19930733,2026-08-01 23:45:00+00:00,49.83,0.947,32.7,1.78,18.6,0.368,58.8,CLOSED,No protection operation,demand stress,No restoration required
IND-S00096,heatwave,IN-C15547-FD032,Lucknow,Uttar Pradesh,8.82,1.7282,1.3697,1.1416,2472011,2026-08-31 18:10:00+00:00,49.902,0.973,36.8,3.45,22.6,0.422,56.8,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00097,cascade_emergency,IN-C19729-GEN01,Kolkata,West Bengal,12.19,5.4411,1.5201,1.1475,59397942,2026-08-04 22:30:00+00:00,49.65,0.975,35.5,4.25,22.7,0.222,71.0,CLOSED,No protection operation,demand stress,No restoration required
IND-S00098,line_outage,IN-C19730-GEN02,Howrah,West Bengal,0.24,1.8045,1.2934,1.0247,5807089,2026-08-06 05:25:00+00:00,49.929,0.953,46.4,0.6,13.7,0.266,56.9,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00099,cascade_emergency,IN-C14851-GEN08,Lal Bahadur Nagar,Telangana,8.74,4.1849,1.4118,1.0563,452103,2026-08-22 23:50:00+00:00,49.653,0.944,31.0,1.59,17.9,0.378,64.1,CLOSED,No protection operation,demand stress,No restoration required
IND-S00100,heatwave,IN-C14844-FD021,Hyderabad,Telangana,9.36,1.5979,1.2204,1.1671,18567826,2026-08-16 08:45:00+00:00,49.93,0.989,39.1,3.96,16.8,0.483,68.3,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00101,line_outage,IN-RAJ-HUB-GEN,Rajasthan Hub Generation,Rajasthan,0.0,1.2385,1.1204,1.0537,0,2026-08-16 18:25:00+00:00,49.923,0.975,40.5,2.65,18.4,0.219,68.6,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00102,high_demand,IN-C03801-FD011,Sirsa,Haryana,8.49,2.7792,1.3544,1.0883,0,2026-08-05 00:40:00+00:00,49.788,0.963,39.4,1.59,21.1,0.355,69.8,CLOSED,No protection operation,demand stress,No restoration required
IND-S00103,high_demand,IN-C08186-SS,Kothri Kalān,Madhya Pradesh,8.67,1.9122,1.516,1.035,0,2026-08-18 21:55:00+00:00,49.886,0.955,40.2,3.08,18.4,0.129,45.0,CLOSED,No protection operation,demand stress,No restoration required
IND-S00104,normal_operation,IN-C05541-GEN12,Rāichūr,Karnataka,0.0,1.1435,1.0115,1.0199,0,2026-08-21 16:05:00+00:00,49.966,0.976,38.0,1.69,20.5,0.392,68.4,CLOSED,No protection operation,demand stress,No restoration required
IND-S00105,transformer_overload,IN-C07859-FD012,Jabalpur,Madhya Pradesh,0.0,2.5473,1.1725,1.0798,0,2026-08-13 09:30:00+00:00,49.841,0.99,33.0,2.39,25.2,0.496,73.7,CLOSED,87T differential alarm,thermal overload,No restoration required
