scenario_id,scenario_type,grid_id,initiating_node,initiating_type,initiating_city,initiating_state,stress_multiplier,load_multiplier,weather_factor,n_line_outages,subgraph_nodes,n_steps,cascade_size,cascade_risk_pct,unserved_energy_frac,population_affected,powerflow_failures,n_failed_in_subgraph,cascade_path,cascade_path_steps,split
IND-S00012,high_demand,india_national_20k,IN-C12351-GEN12,generator,Thoothukudi,Tamil Nadu,2.4965,1.3719,1.0851,0,73,5,30,9.1,0.00086,530796,0,3,IN-SR-HUB|IN-NER-HUB|IN-C11034-SS|IN-C11047-SS|IN-TAM-HUB|IN-C12390-SS|IN-C12474-SS|IN-C14168-SS|IN-C14310-SS|IN-C01444-SS|IN-C10290-SS|IN-C10346-SS,0|1|1|1|1|1|1|1|1|2|2|2,train
IND-S00013,normal_operation,india_national_20k,IN-C01376-GEN03,generator,Bhāgalpur,Bihar,1.1445,0.9424,0.9865,0,38,1,0,0.0,0.0,0,0,0,,,val
IND-S00014,line_outage,india_national_20k,IN-C03175-FD011,feeder,Madgaon,Goa,2.1052,1.1338,1.0229,1,6,1,0,0.0,0.0,0,0,0,,,train
IND-S00015,transformer_overload,india_national_20k,IN-PUN-HUB-GEN,generator,Punjab Hub Generation,Punjab,3.4473,1.0263,1.0094,0,78,1,0,0.0,0.0,0,0,0,,,train
IND-S00016,cascade_emergency,india_national_20k,IN-C12777-SS,substation,Bargūr,Tamil Nadu,5.3293,1.5908,1.1512,5,3,7,1267,38.23,0.19735,77698907,0,0,IN-SR-HUB|IN-NER-HUB|IN-C11047-SS|IN-C07848-SS|IN-ER-HUB|IN-C07045-FD021|IN-C07045-TR02|IN-C07045-TR01|IN-C07045-FD011|IN-C07046-FD021|IN-C07046-TR02|IN-C07046-TR01,0|1|1|1|1|1|1|1|1|1|1|1,train
IND-S00017,line_outage,india_national_20k,IN-C03280-GEN01,generator,Ahmedabad,Gujarat,1.5977,1.1738,1.0106,4,28,2,2,0.15,0.00305,6357693,0,2,IN-GUJ-HUB|IN-C03280-SS,0|0,train
IND-S00018,high_demand,india_national_20k,IN-C10425-FD021,feeder,Bhubaneswar,Odisha,2.4748,1.2753,1.0533,0,8,2,3,0.18,0.00311,885363,0,3,IN-C10425-SS|IN-C10425-TR02|IN-C10425-FD021,0|0|0,train
IND-S00019,normal_operation,india_national_20k,IN-C09289-FD021,feeder,Kalyān,Maharashtra,1.066,0.8789,0.9841,0,10,1,0,0.0,0.0,0,0,0,,,train
IND-S00020,high_demand,india_national_20k,IN-C03280-FD021,feeder,Ahmedabad,Gujarat,2.8877,1.4243,1.0477,1,10,1,0,8.52,0.0,0,0,0,,,train
IND-S00021,normal_operation,india_national_20k,IN-C19729-FD032,feeder,Kolkata,West Bengal,1.0965,1.0065,0.9833,0,10,1,0,0.0,0.0,0,0,0,,,val
IND-S00022,line_outage,india_national_20k,IN-C09287-FD032,feeder,Nashik,Maharashtra,2.4192,1.1715,1.0284,3,10,2,3,0.14,0.00229,1486053,0,3,IN-C09287-SS|IN-C09287-TR03|IN-C09287-FD032,0|0|0,train
IND-S00023,line_outage,india_national_20k,IN-C00021-FD021,feeder,Nellore,Andhra Pradesh,2.2742,1.2688,1.0084,3,8,2,3,0.12,0.00179,547621,0,3,IN-C00021-SS|IN-C00021-TR02|IN-C00021-FD021,0|0|0,test
IND-S00024,transformer_overload,india_national_20k,IN-C11581-FD011,feeder,Gangāpur,Rajasthan,4.908,1.2306,1.0086,1,5,1,0,0.0,0.0,0,0,0,,,train
IND-S00025,cascade_emergency,india_national_20k,IN-C03790-FD012,feeder,Faridabad,Haryana,4.1871,1.4665,1.0982,2,10,7,112,11.3,0.01464,20031820,0,4,IN-HAR-HUB|IN-C03790-SS|IN-C03790-TR01|IN-C03790-FD012|IN-WR-HUB|IN-NER-HUB|IN-C01444-SS|IN-DEL-HUB|IN-C03059-SS|IN-JAM-HUB|IN-C04486-SS|IN-C04487-SS,0|0|0|0|1|1|2|2|2|2|2|2,train
IND-S00026,transformer_overload,india_national_20k,IN-C19729-FD011,feeder,Kolkata,West Bengal,3.1637,1.1545,1.0205,1,10,1,0,0.0,0.0,0,0,0,,,val
IND-S00027,transformer_overload,india_national_20k,IN-C00025-GEN09,generator,Kadapa,Andhra Pradesh,3.7404,1.2977,1.0713,1,40,1,0,0.05,0.0,0,0,0,,,test
IND-S00028,heatwave,india_national_20k,IN-C15570-FD011,feeder,Mau,Uttar Pradesh,3.2869,1.3057,1.1242,0,6,6,19,9.0,0.00493,11667263,0,4,IN-C15570-SS|IN-C15570-TR01|IN-C15570-FD011|IN-UTT-HUB|IN-TAM-HUB|IN-C12372-SS|IN-C12392-SS|IN-C19438-SS|IN-C19462-SS|IN-C19475-SS|IN-WR-HUB|IN-MAH-HUB,0|0|0|0|1|1|1|1|1|1|2|2,train
IND-S00029,high_demand,india_national_20k,IN-C07047-GEN03,generator,Kochi,Kerala,1.6417,1.474,1.041,1,29,2,3,8.68,0.00056,875623,0,3,IN-C07045-SS|IN-C07291-SS|IN-C07643-SS,0|0|0,train
IND-S00030,cascade_emergency,india_national_20k,IN-C03790-GEN01,generator,Faridabad,Haryana,4.6138,1.5493,1.0699,4,24,5,116,11.46,0.01391,20689829,0,2,IN-WR-HUB|IN-NER-HUB|IN-HAR-HUB|IN-C03790-SS|IN-C01444-SS|IN-CHH-HUB|IN-C02530-SS|IN-C02531-SS|IN-C02533-SS|IN-DEL-HUB|IN-C03059-SS|IN-JAM-HUB,0|0|0|0|1|1|1|1|1|1|1|1,train
IND-S00031,transformer_overload,india_national_20k,IN-C12348-GEN09,generator,Erode,Tamil Nadu,5.8873,1.1502,1.0115,1,73,1,0,0.01,0.0,0,0,0,,,train
IND-S00032,transformer_overload,india_national_20k,IN-C03059-FD011,feeder,Najafgarh,Delhi,4.7106,1.0365,1.0405,0,10,2,3,0.18,0.00333,1365000,0,3,IN-C03059-SS|IN-C03059-TR01|IN-C03059-FD011,0|0|0,train
IND-S00033,high_demand,india_national_20k,IN-C10424-FD011,feeder,Nowrangapur,Odisha,1.7997,1.4912,1.0772,0,10,2,4,8.9,0.00159,1220946,0,4,IN-ODI-HUB|IN-C10424-SS|IN-C10424-TR01|IN-C10424-FD011,0|0|0|0,train
IND-S00034,transformer_overload,india_national_20k,IN-C03110-SS,substation,Raja Pur Khurd,Delhi,5.7103,1.1193,1.0241,1,10,1,0,0.0,0.0,0,0,0,,,train
IND-S00035,high_demand,india_national_20k,IN-C19729-FD021,feeder,Kolkata,West Bengal,1.9297,1.5274,1.022,0,10,3,8,9.02,0.00634,5807089,0,5,IN-WES-HUB|IN-C19729-SS|IN-C19730-SS|IN-C19729-TR02|IN-C19729-FD021|IN-C19766-SS|IN-C19864-SS|IN-C19963-SS,0|0|0|0|0|1|1|1,val
IND-S00036,high_demand,india_national_20k,IN-C11595-SS,substation,Karauli,Rajasthan,1.6588,1.2921,1.0535,0,11,1,0,0.0,0.0,0,0,0,,,train
IND-S00037,high_demand,india_national_20k,IN-C15557-GEN12,generator,Loni,Uttar Pradesh,2.7065,1.3902,1.0828,1,117,4,34,9.26,0.00342,11963895,0,4,IN-NR-HUB|IN-WR-HUB|IN-NER-HUB|IN-UTT-HUB|IN-DEL-HUB|IN-C03058-SS|IN-C10290-SS|IN-C10346-SS|IN-C10353-SS|IN-C10360-SS|IN-C10362-SS|IN-C10384-SS,0|0|0|0|1|1|1|1|1|1|1|1,train
IND-S00038,normal_operation,india_national_20k,IN-C02526-FD011,feeder,Bhilai,Chhattisgarh,1.1659,1.0094,0.9893,0,8,1,0,0.0,0.0,0,0,0,,,train
IND-S00039,high_demand,india_national_20k,IN-C11169-SS,substation,Makhu,Punjab,2.8016,1.4309,1.053,0,6,2,6,8.66,0.00013,29458,0,5,IN-C11169-SS|IN-C11182-SS|IN-C11379-SS|IN-C11429-SS|IN-C11458-SS|IN-C11477-SS,0|0|0|0|0|0,train
IND-S00040,line_outage,india_national_20k,IN-C11563-FD021,feeder,Bikaner,Rajasthan,2.3277,1.1362,1.0149,2,8,2,3,0.13,0.00215,644406,0,3,IN-C11563-SS|IN-C11563-TR02|IN-C11563-FD021,0|0|0,train
IND-S00041,heatwave,india_national_20k,IN-C02613-SS,substation,Pāndātarai,Chhattisgarh,1.6331,1.3283,1.1005,2,3,1,0,8.46,0.0,0,0,0,,,train
IND-S00042,transformer_overload,india_national_20k,IN-C03058-GEN01,generator,Delhi,Delhi,5.6839,1.0497,1.0228,1,21,3,22,0.77,0.00735,11378111,0,3,IN-NR-HUB|IN-DEL-HUB|IN-C03058-SS|IN-C15600-SS|IN-C15605-SS|IN-C15628-SS|IN-C15672-SS|IN-C16266-SS|IN-C16924-SS|IN-C17022-SS|IN-C17187-SS|IN-C17213-SS,0|0|0|1|1|1|1|1|1|1|1|1,train
IND-S00043,normal_operation,india_national_20k,IN-C00021-FD011,feeder,Nellore,Andhra Pradesh,1.0111,0.8849,0.9821,0,8,1,0,0.0,0.0,0,0,0,,,test
IND-S00044,high_demand,india_national_20k,IN-C12341-SS,substation,Coimbatore,Tamil Nadu,2.0904,1.3454,1.0604,0,260,2,3,8.46,0.00019,219591,0,3,IN-TAM-HUB|IN-C12372-SS|IN-C12378-SS,0|0|0,train
IND-S00045,cascade_emergency,india_national_20k,IN-C16809-SS,substation,Aichana,Uttar Pradesh,4.2174,1.3544,1.0808,2,6,1,0,8.47,0.0,0,0,0,,,train
IND-S00046,line_outage,india_national_20k,IN-AND-HUB-GEN,generator,Andhra Pradesh Hub Generation,Andhra Pradesh,1.6857,1.1571,1.0061,3,148,1,0,0.0,0.0,0,0,0,,,test
IND-S00047,normal_operation,india_national_20k,IN-C15754-SS,substation,Kithor,Uttar Pradesh,1.1805,1.0459,1.0121,0,11,1,0,0.0,0.0,0,0,0,,,train
IND-S00048,heatwave,india_national_20k,IN-C12316-SS,substation,Atātia,Rajasthan,3.058,1.1904,1.155,2,6,1,0,0.0,0.0,0,0,0,,,train
IND-S00049,line_outage,india_national_20k,IN-C07857-SS,substation,Indore,Madhya Pradesh,2.0314,1.0799,1.0084,4,187,1,0,0.0,0.0,0,0,0,,,train
IND-S00050,line_outage,india_national_20k,IN-C05530-GEN01,generator,Bengaluru,Karnataka,1.6933,1.2057,1.0178,2,56,1,0,0.0,0.0,0,0,0,,,test
IND-S00051,line_outage,india_national_20k,IN-C05531-GEN02,generator,Hubballi,Karnataka,1.8961,1.2546,1.0392,4,49,1,0,0.01,0.0,0,0,0,,,test
IND-S00052,heatwave,india_national_20k,IN-C03280-GEN01,generator,Ahmedabad,Gujarat,2.8896,1.4082,1.0985,0,28,5,51,9.84,0.00789,18304534,0,3,IN-WR-HUB|IN-SR-HUB|IN-GUJ-HUB|IN-C03280-SS|IN-NER-HUB|IN-C11034-SS|IN-C11047-SS|IN-C01444-SS|IN-C10290-SS|IN-C10346-SS|IN-C10353-SS|IN-C10360-SS,0|0|0|0|1|1|1|2|2|2|2|2,train
IND-S00053,high_demand,india_national_20k,IN-C01382-GEN09,generator,Begusarai,Bihar,2.5886,1.2753,1.0949,1,38,1,0,0.12,0.0,0,0,0,,,val
IND-S00054,cascade_emergency,india_national_20k,IN-C14844-FD021,feeder,Hyderabad,Telangana,6.9684,1.5348,1.1534,1,10,6,1029,34.15,0.19995,76111148,0,6,IN-WR-HUB|IN-SR-HUB|IN-NER-HUB|IN-C11047-SS|IN-ER-HUB|IN-C07848-SS|IN-C10362-SS|IN-C08104-SS|IN-C07908-SS|IN-C09292-SS|IN-MAH-HUB|IN-C07892-SS,0|0|1|1|1|1|1|1|1|1|1|1,train
IND-S00055,cascade_emergency,india_national_20k,IN-C04533-SS,substation,Tsrār Sharīf,Jammu and Kashmir,6.9504,1.3285,1.1301,1,6,1,0,8.54,0.0,0,0,0,,,train
IND-S00056,high_demand,india_national_20k,IN-C10341-GEN01,generator,Aizawl,Mizoram,2.199,1.4068,1.0811,1,15,5,41,9.44,0.00377,12039357,0,6,IN-NER-HUB|IN-MIZ-HUB|IN-C10342-SS|IN-C10343-SS|IN-C10346-SS|IN-C10350-SS|IN-C10353-SS|IN-C10354-SS|IN-C10359-SS|IN-C10360-SS|IN-C10362-SS|IN-C10384-SS,0|0|0|0|0|0|0|0|0|0|0|0,train
IND-S00057,line_outage,india_national_20k,IN-C11030-FD011,feeder,Kāraikāl,Puducherry,2.4106,1.0359,1.007,4,6,2,3,0.08,0.00055,86838,0,3,IN-C11030-SS|IN-C11030-TR01|IN-C11030-FD011,0|0|0,train
IND-S00058,high_demand,india_national_20k,IN-C05535-GEN06,generator,Belagavi,Karnataka,2.8475,1.4788,1.0416,1,52,1,0,8.62,0.0,0,0,0,,,test
IND-S00059,line_outage,india_national_20k,IN-C05534-FD011,feeder,Mangaluru,Karnataka,1.4049,1.0443,1.0562,3,8,1,0,0.0,0.0,0,0,0,,,test
IND-S00060,high_demand,india_national_20k,IN-UTT-HUB-GEN,generator,Uttarakhand Hub Generation,Uttarakhand,2.6705,1.3938,1.0501,1,1,1,0,8.46,0.0,0,0,0,,,train
IND-S00061,heatwave,india_national_20k,IN-C19853-SS,substation,Āmlāgora,West Bengal,1.737,1.4052,1.1692,0,7,8,126,11.49,0.01034,15521504,0,4,IN-C19795-SS|IN-C19853-SS|IN-C19874-SS|IN-C19898-SS|IN-C19922-SS|IN-ER-HUB|IN-WES-HUB|IN-C19731-SS|IN-C19963-SS|IN-WR-HUB|IN-C01444-SS|IN-JHA-HUB,0|0|0|0|0|1|1|1|1|2|2|2,val
IND-S00062,high_demand,india_national_20k,IN-C12387-SS,substation,Pollachi,Tamil Nadu,1.5185,1.3863,1.086,0,260,1,0,8.54,0.0,0,0,0,,,train
IND-S00063,transformer_overload,india_national_20k,IN-C09491-SS,substation,Indāpur,Maharashtra,3.7693,1.0906,1.0735,1,3,1,0,0.0,0.0,0,0,0,,,train
IND-S00064,normal_operation,india_national_20k,IN-C19733-GEN05,generator,Āsansol,West Bengal,1.1758,0.9068,1.0135,0,22,2,1,0.02,0.0,500,0,0,IN-C19963-SS,0,val
IND-S00065,normal_operation,india_national_20k,IN-WES-HUB-GEN,generator,West Bengal Hub Generation,West Bengal,1.1331,0.98,0.9836,0,44,1,0,0.0,0.0,0,0,0,,,val
IND-S00066,cascade_emergency,india_national_20k,IN-C00036-FD011,feeder,Proddatūr,Andhra Pradesh,5.2041,1.3429,1.151,5,6,3,8,8.85,0.00239,344234,0,4,IN-AND-HUB|IN-C00036-SS|IN-C00036-TR01|IN-C00036-FD011|IN-C00037-SS|IN-C00715-SS|IN-C00747-SS|IN-C00866-SS,0|0|0|0|1|1|1|1,test
IND-S00067,normal_operation,india_national_20k,IN-C11164-SS,substation,Husainpur,Punjab,1.1603,0.8977,1.014,0,10,1,0,0.0,0.0,0,0,0,,,train
IND-S00068,normal_operation,india_national_20k,IN-C14844-FD022,feeder,Hyderabad,Telangana,1.1856,1.0044,1.0079,0,10,1,0,0.0,0.0,0,0,0,,,train
IND-S00069,cascade_emergency,india_national_20k,IN-C00021-GEN05,generator,Nellore,Andhra Pradesh,5.0089,1.3375,1.1156,3,40,3,7,8.67,0.00096,723305,0,3,IN-AND-HUB|IN-C00021-SS|IN-C14988-SS|IN-C00037-SS|IN-C00715-SS|IN-C00747-SS|IN-C00866-SS,0|0|0|1|1|1|1,test
IND-S00070,transformer_overload,india_national_20k,IN-C12347-FD011,feeder,Salem,Tamil Nadu,2.7722,1.0812,1.0568,1,8,1,0,0.0,0.0,0,0,0,,,train
IND-S00071,high_demand,india_national_20k,IN-C01220-SS,substation,Donkamokam,Assam,2.4245,1.2627,1.0907,1,8,1,0,0.0,0.0,0,0,0,,,val
IND-S00072,transformer_overload,india_national_20k,IN-C01378-GEN05,generator,Bihār Sharīf,Bihar,2.7341,1.294,1.0367,1,38,1,0,0.0,0.0,0,0,0,,,val
IND-S00073,heatwave,india_national_20k,IN-C11647-SS,substation,Rāwatsār,Rajasthan,2.6448,1.1935,1.2124,1,4,1,0,8.44,0.0,0,0,0,,,train
IND-S00074,high_demand,india_national_20k,IN-C12780-SS,substation,Arumanai,Tamil Nadu,2.4738,1.5322,1.0319,0,5,1,0,8.69,0.0,0,0,0,,,train
IND-S00075,line_outage,india_national_20k,IN-C07857-FD032,feeder,Indore,Madhya Pradesh,1.8164,1.0358,1.008,4,10,2,2,0.09,0.00142,0,0,2,IN-C07857-TR03|IN-C07857-FD032,0|0,train
IND-S00076,high_demand,india_national_20k,IN-C07861-FD021,feeder,Ujjain,Madhya Pradesh,2.1132,1.3153,1.0671,1,8,2,5,0.26,0.0002,161808,0,0,IN-C07885-SS|IN-C07944-SS|IN-C08085-SS|IN-C08275-SS|IN-C09141-SS,0|0|0|0|0,train
IND-S00077,normal_operation,india_national_20k,IN-C07877-FD011,feeder,Vidisha,Madhya Pradesh,1.0948,0.8951,1.0029,0,6,1,0,0.0,0.0,0,0,0,,,train
IND-S00078,high_demand,india_national_20k,IN-C12891-SS,substation,Suchindram,Tamil Nadu,2.4719,1.4457,1.0453,0,9,2,2,8.6,0.00016,230955,0,2,IN-C12362-SS|IN-C13273-SS,0|0,train
IND-S00079,heatwave,india_national_20k,IN-C09289-GEN08,generator,Kalyān,Maharashtra,2.3628,1.3378,1.1305,2,41,5,41,9.5,0.00593,15240176,0,6,IN-WR-HUB|IN-SR-HUB|IN-MAH-HUB|IN-C09289-SS|IN-C09290-SS|IN-C09301-SS|IN-C09312-SS|IN-NER-HUB|IN-C11034-SS|IN-C11047-SS|IN-C01444-SS|IN-C10290-SS,0|0|0|0|0|0|0|1|1|1|2|2,train
IND-S00080,cascade_emergency,india_national_20k,IN-C15552-GEN07,generator,Prayagraj,Uttar Pradesh,6.5182,1.4561,1.154,2,119,6,70,10.55,0.01043,21029265,0,5,IN-NR-HUB|IN-WR-HUB|IN-SR-HUB|IN-ER-HUB|IN-NER-HUB|IN-C10346-SS|IN-C10362-SS|IN-C15552-SS|IN-UTT-HUB|IN-WES-HUB|IN-C01444-SS|IN-CHH-HUB,0|0|0|0|0|0|0|0|0|0|1|1,train
IND-S00081,line_outage,india_national_20k,IN-C02530-GEN06,generator,Rāj-Nāndgaon,Chhattisgarh,1.2937,1.2526,1.0033,1,23,1,0,0.0,0.0,0,0,0,,,train
IND-S00082,transformer_overload,india_national_20k,IN-C03280-FD031,feeder,Ahmedabad,Gujarat,3.2556,1.2228,1.0012,0,10,2,4,0.35,0.00777,6357693,0,4,IN-GUJ-HUB|IN-C03280-SS|IN-C03280-TR03|IN-C03280-FD031,0|0|0|0,train
IND-S00083,cascade_emergency,india_national_20k,IN-C18858-SS,substation,Asanda,Uttar Pradesh,5.8613,1.3461,1.1281,4,5,3,5,8.65,0.00025,158075,0,0,IN-C07247-SS|IN-C07261-SS|IN-C07354-SS|IN-C07063-SS|IN-C07401-SS,0|0|0|1|1,train
IND-S00084,heatwave,india_national_20k,IN-C05531-FD011,feeder,Hubballi,Karnataka,2.8753,1.3616,1.1343,2,8,2,3,8.82,0.00375,943788,0,3,IN-C05531-SS|IN-C05531-TR01|IN-C05531-FD011,0|0|0,test
IND-S00085,transformer_overload,india_national_20k,IN-C09344-FD011,feeder,Shirpur,Maharashtra,2.655,1.0498,1.0669,1,5,1,0,0.0,0.0,0,0,0,,,train
IND-S00086,high_demand,india_national_20k,IN-C15654-SS,substation,Kosi,Uttar Pradesh,2.9855,1.2925,1.0559,1,6,1,0,0.0,0.0,0,0,0,,,train
IND-S00087,normal_operation,india_national_20k,IN-C12340-GEN01,generator,Chennai,Tamil Nadu,1.0868,0.9439,0.986,0,78,1,0,0.0,0.0,0,0,0,,,train
IND-S00088,transformer_overload,india_national_20k,IN-C15547-GEN02,generator,Lucknow,Uttar Pradesh,2.1786,1.0699,1.0234,0,120,3,3,0.14,0.00218,2485069,0,2,IN-C15547-SS|IN-UTT-HUB|IN-C19462-SS,0|0|1,train
IND-S00089,line_outage,india_national_20k,IN-C10428-FD021,feeder,Rourkela,Odisha,1.8413,1.0252,1.0146,4,8,2,3,0.09,0.00076,273317,0,3,IN-C10428-SS|IN-C10428-TR02|IN-C10428-FD021,0|0|0,train
IND-S00090,heatwave,india_national_20k,IN-C01122-FD011,feeder,Jorhat,Assam,2.2332,1.3119,1.1274,2,7,2,3,8.58,0.00074,126736,0,3,IN-C01122-SS|IN-C01122-TR01|IN-C01122-FD011,0|0|0,val
IND-S00091,heatwave,india_national_20k,IN-C17143-SS,substation,Akbarpurkot,Uttar Pradesh,2.5096,1.4229,1.1622,0,8,5,64,10.44,0.01202,34997677,0,5,IN-C15607-SS|IN-C15744-SS|IN-C16024-SS|IN-C16738-SS|IN-C17120-SS|IN-C17143-SS|IN-C17333-SS|IN-C17507-SS|IN-C17935-SS|IN-C18276-SS|IN-C18295-SS|IN-C18296-SS,0|0|0|0|0|0|0|0|0|0|0|0,train
IND-S00092,line_outage,india_national_20k,IN-C09291-FD031,feeder,Virār,Maharashtra,1.8908,1.0315,1.0239,4,10,2,3,0.09,0.00091,500,0,2,IN-C09291-TR03|IN-C09291-FD031|IN-C13943-SS,0|0|0,train
IND-S00093,transformer_overload,india_national_20k,IN-C00026-FD011,feeder,Tirupati,Andhra Pradesh,5.7098,1.1345,1.0246,0,8,2,3,0.13,0.00216,295323,0,3,IN-C00026-SS|IN-C00026-TR01|IN-C00026-FD011,0|0|0,test
IND-S00094,high_demand,india_national_20k,IN-C00113-SS,substation,Jaggayyapeta,Andhra Pradesh,1.917,1.4609,1.0707,1,6,1,0,8.66,0.0,0,0,0,,,test
IND-S00095,high_demand,india_national_20k,IN-C09283-FD032,feeder,Pune,Maharashtra,2.6421,1.521,1.0777,0,10,7,115,11.44,0.01549,19930733,0,4,IN-WR-HUB|IN-MAH-HUB|IN-C09283-SS|IN-C09283-TR03|IN-C09283-FD032|IN-ER-HUB|IN-NER-HUB|IN-CHH-HUB|IN-C02530-SS|IN-C02531-SS|IN-C02533-SS|IN-C01444-SS,0|0|0|0|0|1|1|1|1|1|1|2,train
IND-S00096,heatwave,india_national_20k,IN-C15547-FD032,feeder,Lucknow,Uttar Pradesh,1.7282,1.3697,1.1416,2,10,2,3,8.82,0.00314,2472011,0,3,IN-C15547-SS|IN-C15547-TR03|IN-C15547-FD032,0|0|0,train
IND-S00097,cascade_emergency,india_national_20k,IN-C19729-GEN01,generator,Kolkata,West Bengal,5.4411,1.5201,1.1475,4,26,6,121,12.19,0.02993,59397942,0,3,IN-SR-HUB|IN-KER-HUB|IN-C07054-SS|IN-C10346-SS|IN-C10353-SS|IN-C10360-SS|IN-C10362-SS|IN-C10384-SS|IN-TAM-HUB|IN-C12390-SS|IN-C15523-SS|IN-C15600-SS,0|0|0|0|0|0|0|0|0|0|0|0,val
IND-S00098,line_outage,india_national_20k,IN-C19730-GEN02,generator,Howrah,West Bengal,1.8045,1.2934,1.0247,4,27,3,6,0.24,0.00338,5807089,0,3,IN-WES-HUB|IN-C19729-SS|IN-C19730-SS|IN-C19766-SS|IN-C19864-SS|IN-C19963-SS,0|0|0|1|1|1,val
IND-S00099,cascade_emergency,india_national_20k,IN-C14851-GEN08,generator,Lal Bahadur Nagar,Telangana,4.1849,1.4118,1.0563,5,28,4,11,8.74,0.00064,452103,0,2,IN-C07344-SS|IN-C07352-SS|IN-TEL-HUB|IN-C14851-SS|IN-C14935-SS|IN-C14985-SS|IN-C15208-SS|IN-C15271-SS|IN-C15478-SS|IN-C14865-SS|IN-C14916-SS,0|0|0|0|1|1|1|1|1|2|2,train
IND-S00100,heatwave,india_national_20k,IN-C14844-FD021,feeder,Hyderabad,Telangana,1.5979,1.2204,1.1671,2,10,6,38,9.36,0.00826,18567826,0,4,IN-C14844-SS|IN-C14844-TR02|IN-C14844-FD021|IN-WR-HUB|IN-SR-HUB|IN-TEL-HUB|IN-NER-HUB|IN-C11034-SS|IN-C11047-SS|IN-C15208-SS|IN-C15271-SS|IN-C15478-SS,0|0|0|1|1|1|2|2|2|2|2|2,train
