scenario_id,initiating_city,initiating_state,cascade_risk_pct,topology_structure,transformers_before,transformers_after,reserve_margin_pct,n_minus_1_secure,estimated_loss_reduction_pct,estimated_capex_reduction_pct,dispatch_action
IND-S00000,Murwāra,Madhya Pradesh,8.52,ring-main,15,13,22.5,False,4.24,11.16,Reconfigure ties; balance 13 transformer banks
IND-S00100,Hyderabad,Telangana,9.36,parallel-bank,15,13,24.5,True,2.68,10.76,Reconfigure ties; balance 13 transformer banks
IND-S00101,Rajasthan Hub Generation,Rajasthan,0.0,sectionalized-ring,15,13,25.6,True,1.34,10.63,Reconfigure ties; balance 13 transformer banks
IND-S00102,Sirsa,Haryana,8.49,ring-main,15,13,26.5,False,3.82,10.32,Reconfigure ties; balance 13 transformer banks
IND-S00103,Kothri Kalān,Madhya Pradesh,8.67,double-bus,15,13,23.2,True,3.58,12.24,Reconfigure ties; balance 13 transformer banks
IND-S00104,Rāichūr,Karnataka,0.0,meshed-N-1,15,13,31.4,True,4.04,12.22,Reconfigure ties; balance 13 transformer banks
IND-S00105,Jabalpur,Madhya Pradesh,0.0,radial-spur,15,13,19.3,False,4.48,11.61,Reconfigure ties; balance 13 transformer banks
IND-S00106,Manāsa,Madhya Pradesh,8.42,parallel-bank,15,13,19.6,True,3.38,12.18,Reconfigure ties; balance 13 transformer banks
IND-S00107,Ahmedabad,Gujarat,0.0,sectionalized-ring,15,13,16.3,True,3.64,12.57,Reconfigure ties; balance 13 transformer banks
IND-S00108,Betūl,Madhya Pradesh,0.12,ring-main,15,13,15.9,False,3.51,12.28,Reconfigure ties; balance 13 transformer banks
IND-S00109,Rabkavi,Karnataka,0.0,double-bus,15,13,23.8,True,2.94,12.18,Reconfigure ties; balance 13 transformer banks
IND-S00110,Udaipur,Rajasthan,0.11,meshed-N-1,15,13,20.2,True,2.57,13.33,Reconfigure ties; balance 13 transformer banks
IND-S00111,Deoghar,Jharkhand,32.56,radial-spur,15,13,19.9,False,4.51,12.31,Reconfigure ties; balance 13 transformer banks
IND-S00112,Pune,Maharashtra,0.26,parallel-bank,15,13,26.4,True,5.89,12.2,Reconfigure ties; balance 13 transformer banks
IND-S00113,Chandigarh Hub Generation,Chandigarh,8.81,sectionalized-ring,15,13,20.1,True,3.64,12.1,Reconfigure ties; balance 13 transformer banks
IND-S00114,Howrah,West Bengal,0.0,ring-main,15,13,21.7,False,5.03,9.98,Reconfigure ties; balance 13 transformer banks
IND-S00115,Vaijāpur,Maharashtra,0.0,double-bus,15,13,21.0,True,3.5,11.17,Reconfigure ties; balance 13 transformer banks
IND-S00116,Minicoy,Lakshadweep,0.0,meshed-N-1,15,13,18.9,True,4.36,12.02,Reconfigure ties; balance 13 transformer banks
IND-S00117,Khilchipur,Madhya Pradesh,0.0,radial-spur,15,13,21.5,False,6.99,12.3,Reconfigure ties; balance 13 transformer banks
IND-S00118,Rasapūdipalem,Andhra Pradesh,9.16,parallel-bank,15,13,21.6,True,4.84,11.81,Reconfigure ties; balance 13 transformer banks
IND-S00119,Kolār,Karnataka,0.12,sectionalized-ring,15,13,25.2,True,4.25,12.03,Reconfigure ties; balance 13 transformer banks
IND-S00120,Gorakhpur,Uttar Pradesh,0.01,ring-main,15,13,26.0,False,3.11,11.11,Reconfigure ties; balance 13 transformer banks
IND-S00121,Anantapur,Andhra Pradesh,0.0,double-bus,15,13,25.7,True,4.78,13.32,Reconfigure ties; balance 13 transformer banks
IND-S00122,Korba,Chhattisgarh,0.0,meshed-N-1,15,13,12.9,True,3.62,11.63,Reconfigure ties; balance 13 transformer banks
IND-S00123,Abhūpura,Uttar Pradesh,8.78,radial-spur,15,13,23.5,False,3.01,12.09,Reconfigure ties; balance 13 transformer banks
IND-S00124,Salem,Tamil Nadu,0.0,parallel-bank,15,13,25.3,True,6.33,12.07,Reconfigure ties; balance 13 transformer banks
IND-S00125,Kolkata,West Bengal,8.9,sectionalized-ring,15,13,19.2,True,2.91,11.32,Reconfigure ties; balance 13 transformer banks
IND-S00126,Puducherry Hub Generation,Puducherry,8.4,ring-main,15,13,16.7,False,2.91,11.59,Reconfigure ties; balance 13 transformer banks
IND-S00127,Visakhapatnam,Andhra Pradesh,0.07,double-bus,15,13,20.9,True,3.94,11.35,Reconfigure ties; balance 13 transformer banks
IND-S00128,Puri,Odisha,8.63,meshed-N-1,15,13,12.0,True,3.69,11.36,Reconfigure ties; balance 13 transformer banks
IND-S00129,Siliguri,West Bengal,0.0,radial-spur,15,13,23.1,False,2.41,11.85,Reconfigure ties; balance 13 transformer banks
IND-S00130,Delhi,Delhi,11.46,parallel-bank,15,13,23.1,True,3.1,11.34,Reconfigure ties; balance 13 transformer banks
IND-S00131,Andhra Pradesh Hub Generation,Andhra Pradesh,0.0,sectionalized-ring,15,13,26.7,True,3.92,11.42,Reconfigure ties; balance 13 transformer banks
IND-S00132,Bhadrak,Odisha,0.0,ring-main,15,13,20.9,False,6.81,10.6,Reconfigure ties; balance 13 transformer banks
IND-S00133,Dombivali,Maharashtra,10.35,double-bus,15,13,24.7,True,4.14,11.83,Reconfigure ties; balance 13 transformer banks
IND-S00134,Coimbatore,Tamil Nadu,9.09,meshed-N-1,15,13,22.9,True,2.61,12.13,Reconfigure ties; balance 13 transformer banks
IND-S00135,Badlapur,Maharashtra,8.38,radial-spur,15,13,19.5,False,2.76,11.44,Reconfigure ties; balance 13 transformer banks
IND-S00136,Tirunelveli,Tamil Nadu,0.01,parallel-bank,15,13,29.4,True,5.16,12.36,Reconfigure ties; balance 13 transformer banks
IND-S00137,Mumbai,Maharashtra,1.32,sectionalized-ring,15,13,24.2,True,2.95,11.84,Reconfigure ties; balance 13 transformer banks
IND-S00138,Tiruchirappalli,Tamil Nadu,8.43,ring-main,15,13,18.3,False,4.08,11.48,Reconfigure ties; balance 13 transformer banks
IND-S00139,Lucknow,Uttar Pradesh,9.38,double-bus,15,13,26.0,True,6.2,11.05,Reconfigure ties; balance 13 transformer banks
IND-S00140,Coimbatore,Tamil Nadu,0.24,meshed-N-1,15,13,22.3,True,3.72,10.73,Reconfigure ties; balance 13 transformer banks
IND-S00141,Jalandhar,Punjab,0.03,radial-spur,15,13,17.2,False,2.57,11.83,Reconfigure ties; balance 13 transformer banks
IND-S00142,Vadnagar,Gujarat,0.0,parallel-bank,15,13,18.7,True,6.22,10.84,Reconfigure ties; balance 13 transformer banks
IND-S00143,Ānaiyūr,Tamil Nadu,0.0,sectionalized-ring,15,13,18.2,True,3.91,11.87,Reconfigure ties; balance 13 transformer banks
IND-S00144,Nandurbar,Maharashtra,0.0,ring-main,15,13,24.3,False,3.02,11.27,Reconfigure ties; balance 13 transformer banks
IND-S00145,Ajmer,Rajasthan,8.67,double-bus,15,13,14.5,True,3.64,12.42,Reconfigure ties; balance 13 transformer banks
IND-S00146,Kolkata,West Bengal,12.1,meshed-N-1,15,13,20.8,True,3.35,11.59,Reconfigure ties; balance 13 transformer banks
IND-S00147,Pimpri-Chinchwad,Maharashtra,1.37,radial-spur,15,13,24.7,False,4.43,12.41,Reconfigure ties; balance 13 transformer banks
IND-S00148,Bhubaneswar,Odisha,9.33,parallel-bank,15,13,22.7,True,4.52,10.95,Reconfigure ties; balance 13 transformer banks
IND-S00149,Fyzābād,Uttar Pradesh,0.0,sectionalized-ring,15,13,20.4,True,1.82,11.54,Reconfigure ties; balance 13 transformer banks
IND-S00150,Latur,Maharashtra,0.0,ring-main,15,13,19.1,False,4.11,11.85,Reconfigure ties; balance 13 transformer banks
IND-S00151,Pune,Maharashtra,0.37,double-bus,15,13,29.9,True,2.08,11.9,Reconfigure ties; balance 13 transformer banks
IND-S00152,Fīrozābād,Uttar Pradesh,10.31,meshed-N-1,15,13,28.1,True,3.91,12.34,Reconfigure ties; balance 13 transformer banks
IND-S00153,Delhi,Delhi,0.5,radial-spur,15,13,23.6,False,3.54,11.44,Reconfigure ties; balance 13 transformer banks
IND-S00154,Vadodara,Gujarat,0.09,parallel-bank,15,13,26.9,True,1.2,12.76,Reconfigure ties; balance 13 transformer banks
IND-S00155,Bhadrāvati,Karnataka,11.01,sectionalized-ring,15,13,24.0,True,5.16,12.07,Reconfigure ties; balance 13 transformer banks
IND-S00156,Sivakasi,Tamil Nadu,8.56,ring-main,15,13,19.9,False,4.3,13.17,Reconfigure ties; balance 13 transformer banks
IND-S00157,Jilādiguda,Telangana,0.0,double-bus,15,13,26.7,True,4.89,11.47,Reconfigure ties; balance 13 transformer banks
IND-S00158,Siliguri,West Bengal,0.0,meshed-N-1,15,13,18.5,True,3.79,11.7,Reconfigure ties; balance 13 transformer banks
IND-S00159,Madgaon,Goa,0.0,radial-spur,15,13,23.0,False,3.48,11.51,Reconfigure ties; balance 13 transformer banks
IND-S00160,Madurai,Tamil Nadu,0.17,parallel-bank,15,13,15.8,True,2.3,11.51,Reconfigure ties; balance 13 transformer banks
IND-S00161,Karnataka Hub Generation,Karnataka,12.11,sectionalized-ring,15,13,22.4,True,3.15,10.96,Reconfigure ties; balance 13 transformer banks
IND-S00162,Siliguri,West Bengal,8.51,ring-main,15,13,21.3,False,4.57,12.22,Reconfigure ties; balance 13 transformer banks
IND-S00163,Indore,Madhya Pradesh,8.68,double-bus,15,13,21.3,True,4.69,11.05,Reconfigure ties; balance 13 transformer banks
IND-S00164,Pithampur,Madhya Pradesh,8.97,meshed-N-1,15,13,19.2,True,4.47,12.3,Reconfigure ties; balance 13 transformer banks
IND-S00165,Bharatpur,Rajasthan,0.0,radial-spur,15,13,23.9,False,3.71,12.31,Reconfigure ties; balance 13 transformer banks
IND-S00166,Kanpur,Uttar Pradesh,9.17,parallel-bank,15,13,14.1,True,3.64,11.43,Reconfigure ties; balance 13 transformer banks
IND-S00167,Burāri,Delhi,0.0,sectionalized-ring,15,13,33.8,True,4.22,10.5,Reconfigure ties; balance 13 transformer banks
IND-S00168,Adigaratti,Tamil Nadu,8.52,ring-main,15,13,17.7,False,4.01,11.69,Reconfigure ties; balance 13 transformer banks
IND-S00169,Gadag-Betageri,Karnataka,8.48,double-bus,15,13,24.6,True,4.5,12.16,Reconfigure ties; balance 13 transformer banks
IND-S00170,Varanasi,Uttar Pradesh,0.03,meshed-N-1,15,13,16.5,True,4.17,10.95,Reconfigure ties; balance 13 transformer banks
IND-S00171,Chitradurga,Karnataka,10.75,radial-spur,15,13,20.9,False,3.81,12.17,Reconfigure ties; balance 13 transformer banks
IND-S00172,Neyveli,Tamil Nadu,12.37,parallel-bank,15,13,18.4,True,2.92,11.87,Reconfigure ties; balance 13 transformer banks
IND-S00173,Brahmapur,Odisha,0.12,sectionalized-ring,15,13,21.6,True,6.37,12.15,Reconfigure ties; balance 13 transformer banks
IND-S00174,Betamcherla,Andhra Pradesh,0.17,ring-main,15,13,18.4,False,3.73,11.88,Reconfigure ties; balance 13 transformer banks
IND-S00175,Durg,Chhattisgarh,8.77,double-bus,15,13,23.3,True,4.09,11.59,Reconfigure ties; balance 13 transformer banks
IND-S00176,Shājāpur,Madhya Pradesh,0.0,meshed-N-1,15,13,23.9,True,4.53,11.51,Reconfigure ties; balance 13 transformer banks
IND-S00177,Rāmgundam,Telangana,0.12,radial-spur,15,13,21.1,False,3.53,11.6,Reconfigure ties; balance 13 transformer banks
IND-S00178,Varanasi,Uttar Pradesh,0.0,parallel-bank,15,13,24.3,True,2.55,11.89,Reconfigure ties; balance 13 transformer banks
IND-S00179,Aruppukkottai,Tamil Nadu,0.0,sectionalized-ring,15,13,23.7,True,3.96,11.41,Reconfigure ties; balance 13 transformer banks
IND-S00180,Madurai,Tamil Nadu,0.0,ring-main,15,13,25.0,False,2.83,12.63,Reconfigure ties; balance 13 transformer banks
IND-S00181,Itanagar,Arunachal Pradesh,0.0,double-bus,15,13,19.8,True,3.0,11.4,Reconfigure ties; balance 13 transformer banks
IND-S00182,Gudiyatham,Tamil Nadu,0.13,meshed-N-1,15,13,19.3,True,3.16,11.53,Reconfigure ties; balance 13 transformer banks
IND-S00183,Munger,Bihar,8.93,radial-spur,15,13,27.9,False,3.27,11.3,Reconfigure ties; balance 13 transformer banks
IND-S00184,Port Blair,Andaman and Nicobar,0.0,parallel-bank,15,13,14.3,True,4.34,10.69,Reconfigure ties; balance 13 transformer banks
IND-S00185,Ramagundam,Telangana,8.38,sectionalized-ring,15,13,19.0,True,4.02,11.77,Reconfigure ties; balance 13 transformer banks
IND-S00186,Nizāmābād,Telangana,8.5,ring-main,15,13,21.1,False,3.74,11.07,Reconfigure ties; balance 13 transformer banks
IND-S00187,Nallūr,Tamil Nadu,0.11,double-bus,15,13,14.6,True,3.6,12.01,Reconfigure ties; balance 13 transformer banks
IND-S00188,Rājkot,Gujarat,0.11,meshed-N-1,15,13,23.9,True,4.5,13.36,Reconfigure ties; balance 13 transformer banks
IND-S00189,Surat,Gujarat,0.0,radial-spur,15,13,31.4,False,3.73,11.07,Reconfigure ties; balance 13 transformer banks
IND-S00190,Sāngli,Maharashtra,8.99,parallel-bank,15,13,20.0,True,2.71,10.21,Reconfigure ties; balance 13 transformer banks
IND-S00191,Nadiād,Gujarat,10.99,sectionalized-ring,15,13,20.8,True,3.26,12.91,Reconfigure ties; balance 13 transformer banks
IND-S00192,Agartala,Tripura,0.09,ring-main,15,13,19.9,False,5.19,11.15,Reconfigure ties; balance 13 transformer banks
IND-S00193,Soyībug,Jammu and Kashmir,0.0,double-bus,15,13,22.4,True,3.85,11.7,Reconfigure ties; balance 13 transformer banks
IND-S00194,Mangaluru,Karnataka,8.63,meshed-N-1,15,13,21.0,True,3.25,11.89,Reconfigure ties; balance 13 transformer banks
IND-S00195,Bhavnagar,Gujarat,0.0,radial-spur,15,13,17.9,False,2.56,12.41,Reconfigure ties; balance 13 transformer banks
