scenario_id,initiating_node,timestamp,offset_minutes,load_pct,voltage_pu,frequency_hz,temperature_c,power_factor,breaker_state
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:10:00+00:00,-5,77.33,0.9931,49.936,58.86,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:15:00+00:00,0,81.38,0.9893,49.95,58.53,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:20:00+00:00,5,83.3,0.9843,49.951,58.93,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:25:00+00:00,10,71.98,1.0053,49.941,55.79,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:30:00+00:00,15,75.37,1.0046,49.945,56.3,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:35:00+00:00,20,73.52,0.9985,49.943,56.08,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:40:00+00:00,25,73.77,0.9916,49.936,56.12,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:45:00+00:00,30,76.65,0.9994,49.948,57.0,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:50:00+00:00,35,76.72,0.9935,49.939,58.13,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:55:00+00:00,40,76.71,0.9942,49.945,59.15,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 07:00:00+00:00,45,80.8,0.9921,49.943,59.39,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 07:05:00+00:00,50,74.58,0.998,49.943,56.54,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 07:10:00+00:00,55,77.43,0.9876,49.941,56.63,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 07:15:00+00:00,60,73.62,1.0109,49.938,58.23,0.963,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 22:50:00+00:00,-55,123.92,0.9222,49.649,71.62,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 22:55:00+00:00,-50,127.55,0.9218,49.65,74.35,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:00:00+00:00,-45,125.37,0.9254,49.647,73.64,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:05:00+00:00,-40,124.17,0.918,49.647,73.26,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:10:00+00:00,-35,126.34,0.9193,49.652,74.62,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:15:00+00:00,-30,124.62,0.9196,49.641,72.81,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:20:00+00:00,-25,128.08,0.915,49.641,74.73,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:25:00+00:00,-20,125.47,0.9214,49.65,74.9,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:30:00+00:00,-15,128.63,0.9146,49.651,74.89,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:35:00+00:00,-10,120.28,0.9281,49.652,70.45,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:40:00+00:00,-5,123.3,0.9259,49.642,73.45,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:45:00+00:00,0,118.73,0.9275,49.645,72.11,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:50:00+00:00,5,128.23,0.9162,49.644,73.6,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-09 23:55:00+00:00,10,131.95,0.915,49.646,75.85,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:00:00+00:00,15,126.86,0.9156,49.647,71.99,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:05:00+00:00,20,127.31,0.9216,49.643,73.47,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:10:00+00:00,25,128.05,0.9266,49.644,74.82,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:15:00+00:00,30,128.98,0.9197,49.651,73.81,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:20:00+00:00,35,123.84,0.9325,49.643,71.69,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:25:00+00:00,40,124.81,0.9203,49.647,71.68,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:30:00+00:00,45,130.63,0.9218,49.638,74.18,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:35:00+00:00,50,129.89,0.9217,49.642,74.25,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:40:00+00:00,55,125.79,0.9215,49.644,72.43,0.964,CLOSED
IND-S00002,IN-C09284-SS,2026-08-10 00:45:00+00:00,60,131.49,0.9152,49.64,74.36,0.964,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:15:00+00:00,-55,135.0,0.9074,49.649,77.9,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:20:00+00:00,-50,135.0,0.9038,49.644,79.81,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:25:00+00:00,-45,135.0,0.9137,49.65,78.8,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:30:00+00:00,-40,135.0,0.9095,49.654,78.49,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:35:00+00:00,-35,135.0,0.9136,49.65,78.9,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:40:00+00:00,-30,135.0,0.9096,49.649,77.5,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:45:00+00:00,-25,135.0,0.902,49.647,79.4,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:50:00+00:00,-20,135.0,0.909,49.647,76.79,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 15:55:00+00:00,-15,135.0,0.909,49.643,79.24,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:00:00+00:00,-10,135.0,0.9024,49.645,79.78,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:05:00+00:00,-5,135.0,0.9127,49.647,79.64,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:10:00+00:00,0,135.0,0.9039,49.645,76.85,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:15:00+00:00,5,135.0,0.9104,49.64,81.99,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:20:00+00:00,10,135.0,0.91,49.637,78.47,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:25:00+00:00,15,135.0,0.9099,49.645,79.05,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:30:00+00:00,20,135.0,0.9084,49.648,77.37,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:35:00+00:00,25,135.0,0.9007,49.644,78.38,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:40:00+00:00,30,135.0,0.9075,49.643,77.04,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:45:00+00:00,35,135.0,0.9145,49.641,79.19,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:50:00+00:00,40,135.0,0.9146,49.648,77.89,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 16:55:00+00:00,45,135.0,0.9094,49.647,79.3,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 17:00:00+00:00,50,135.0,0.9075,49.642,79.52,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 17:05:00+00:00,55,135.0,0.916,49.637,78.92,0.99,CLOSED
IND-S00003,IN-C15576-FD011,2026-08-01 17:10:00+00:00,60,135.0,0.9079,49.641,78.89,0.99,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 20:50:00+00:00,-55,87.94,0.9734,49.77,56.38,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 20:55:00+00:00,-50,93.18,0.9603,49.774,59.72,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:00:00+00:00,-45,93.97,0.9718,49.768,61.05,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:05:00+00:00,-40,93.99,0.969,49.766,55.09,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:10:00+00:00,-35,91.74,0.9726,49.766,58.07,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:15:00+00:00,-30,95.08,0.9774,49.775,60.54,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:20:00+00:00,-25,93.88,0.968,49.768,59.41,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:25:00+00:00,-20,94.51,0.9726,49.772,59.88,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:30:00+00:00,-15,96.45,0.9636,49.763,58.38,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:35:00+00:00,-10,94.07,0.9694,49.771,59.65,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:40:00+00:00,-5,90.12,0.9729,49.762,58.57,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:45:00+00:00,0,93.91,0.9718,49.77,58.46,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:50:00+00:00,5,97.89,0.9639,49.768,61.64,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 21:55:00+00:00,10,94.82,0.9668,49.765,60.48,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:00:00+00:00,15,88.62,0.9755,49.768,55.14,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:05:00+00:00,20,92.58,0.9756,49.759,57.26,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:10:00+00:00,25,91.85,0.9665,49.761,56.83,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:15:00+00:00,30,97.45,0.9641,49.763,60.0,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:20:00+00:00,35,95.25,0.9607,49.757,60.78,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:25:00+00:00,40,92.91,0.9582,49.762,59.51,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:30:00+00:00,45,95.7,0.9633,49.761,59.9,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:35:00+00:00,50,97.04,0.9676,49.763,59.37,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:40:00+00:00,55,95.33,0.9694,49.756,59.97,0.979,CLOSED
IND-S00004,IN-C12365-FD011,2026-08-22 22:45:00+00:00,60,97.1,0.9594,49.769,58.78,0.979,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 14:50:00+00:00,-55,65.2,1.0179,49.973,54.05,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 14:55:00+00:00,-50,68.65,1.0053,49.972,53.19,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:00:00+00:00,-45,67.47,1.0039,49.969,53.08,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:05:00+00:00,-40,72.72,1.0014,49.97,57.43,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:10:00+00:00,-35,65.7,1.0117,49.969,54.15,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:15:00+00:00,-30,69.68,1.0111,49.972,54.98,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:20:00+00:00,-25,65.83,1.0155,49.974,54.76,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:25:00+00:00,-20,66.3,1.014,49.973,54.31,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:30:00+00:00,-15,68.13,1.011,49.966,52.06,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:35:00+00:00,-10,73.2,1.0,49.976,54.79,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:40:00+00:00,-5,69.52,1.0028,49.967,56.23,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:45:00+00:00,0,69.44,1.0042,49.972,54.83,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:50:00+00:00,5,66.54,1.0078,49.97,54.44,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 15:55:00+00:00,10,72.61,1.0055,49.979,54.19,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:00:00+00:00,15,65.25,1.0209,49.978,53.02,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:05:00+00:00,20,65.76,1.0085,49.97,54.21,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:10:00+00:00,25,68.94,1.0066,49.972,53.12,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:15:00+00:00,30,68.88,1.0127,49.972,54.25,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:20:00+00:00,35,66.98,1.0058,49.98,54.53,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:25:00+00:00,40,70.7,0.9984,49.977,56.63,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:30:00+00:00,45,65.72,1.005,49.981,53.95,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:35:00+00:00,50,69.34,1.0073,49.976,51.97,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:40:00+00:00,55,66.04,1.0061,49.971,55.74,0.99,CLOSED
IND-S00005,IN-C03285-FD021,2026-08-29 16:45:00+00:00,60,67.63,1.0125,49.974,56.28,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:00:00+00:00,-55,95.82,0.9615,49.746,61.21,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:05:00+00:00,-50,94.78,0.9688,49.744,60.55,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:10:00+00:00,-45,95.55,0.9601,49.751,60.13,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:15:00+00:00,-40,93.56,0.9668,49.742,61.27,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:20:00+00:00,-35,95.66,0.9606,49.743,63.76,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:25:00+00:00,-30,97.71,0.9663,49.745,63.09,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:30:00+00:00,-25,97.64,0.9607,49.737,62.99,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:35:00+00:00,-20,96.38,0.9623,49.74,59.82,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:40:00+00:00,-15,94.99,0.9635,49.732,59.78,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:45:00+00:00,-10,95.23,0.9625,49.742,60.29,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:50:00+00:00,-5,98.39,0.9556,49.737,62.6,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 11:55:00+00:00,0,96.51,0.9682,49.733,61.46,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:00:00+00:00,5,98.64,0.9648,49.74,63.4,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:05:00+00:00,10,100.29,0.96,49.732,62.53,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:10:00+00:00,15,97.97,0.9698,49.737,61.12,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:15:00+00:00,20,98.13,0.9601,49.736,61.03,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:20:00+00:00,25,100.73,0.9586,49.734,63.22,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:25:00+00:00,30,99.23,0.9686,49.738,60.74,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:30:00+00:00,35,99.46,0.962,49.733,62.28,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:35:00+00:00,40,99.06,0.9546,49.732,62.69,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:40:00+00:00,45,100.47,0.9571,49.74,63.42,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:45:00+00:00,50,99.71,0.9646,49.738,61.37,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:50:00+00:00,55,97.35,0.9624,49.736,60.64,0.99,CLOSED
IND-S00006,IN-C05532-FD011,2026-08-03 12:55:00+00:00,60,96.24,0.9639,49.733,62.31,0.99,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 03:45:00+00:00,-55,77.84,0.9903,49.885,57.58,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 03:50:00+00:00,-50,81.22,0.9849,49.889,58.78,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 03:55:00+00:00,-45,80.19,0.9879,49.887,60.42,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:00:00+00:00,-40,76.59,0.9944,49.883,57.59,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:05:00+00:00,-35,75.03,1.0037,49.886,57.89,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:10:00+00:00,-30,81.16,0.9872,49.89,60.82,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:15:00+00:00,-25,74.3,1.0033,49.878,56.42,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:20:00+00:00,-20,78.86,0.9962,49.886,57.25,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:25:00+00:00,-15,80.2,0.9901,49.883,58.99,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:30:00+00:00,-10,81.98,0.9916,49.878,59.94,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:35:00+00:00,-5,75.5,0.9915,49.89,56.36,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:40:00+00:00,0,80.91,0.9864,49.885,59.86,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:45:00+00:00,5,78.17,0.9952,49.885,57.74,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:50:00+00:00,10,77.4,0.9972,49.887,58.84,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 04:55:00+00:00,15,77.71,0.9929,49.884,58.09,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:00:00+00:00,20,80.44,0.9896,49.881,57.1,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:05:00+00:00,25,77.9,0.9944,49.888,58.7,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:10:00+00:00,30,79.12,0.9918,49.888,56.43,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:15:00+00:00,35,74.99,0.9923,49.88,54.88,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:20:00+00:00,40,74.89,1.003,49.882,57.22,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:25:00+00:00,45,75.83,0.9962,49.883,56.32,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:30:00+00:00,50,80.17,0.9894,49.885,57.89,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:35:00+00:00,55,77.21,0.9949,49.896,57.76,0.963,CLOSED
IND-S00007,IN-C03324-FD011,2026-08-10 05:40:00+00:00,60,77.23,0.9845,49.885,58.45,0.963,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:10:00+00:00,-55,91.48,0.9754,49.805,62.84,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:15:00+00:00,-50,84.42,0.9831,49.806,60.85,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:20:00+00:00,-45,89.17,0.9785,49.801,60.21,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:25:00+00:00,-40,90.49,0.9741,49.799,61.82,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:30:00+00:00,-35,82.5,0.9783,49.8,59.02,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:35:00+00:00,-30,86.08,0.9838,49.802,62.47,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:40:00+00:00,-25,80.41,0.987,49.799,58.77,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:45:00+00:00,-20,79.66,0.9933,49.796,59.84,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:50:00+00:00,-15,84.65,0.9812,49.799,60.12,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 20:55:00+00:00,-10,88.89,0.9754,49.795,61.43,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:00:00+00:00,-5,88.21,0.977,49.798,61.95,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:05:00+00:00,0,89.13,0.9758,49.801,60.58,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:10:00+00:00,5,88.77,0.9882,49.797,60.93,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:15:00+00:00,10,88.31,0.9774,49.806,60.79,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:20:00+00:00,15,86.26,0.9762,49.794,60.47,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:25:00+00:00,20,89.09,0.9795,49.797,61.44,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:30:00+00:00,25,88.47,0.9792,49.801,61.91,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:35:00+00:00,30,87.39,0.976,49.798,63.32,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:40:00+00:00,35,86.77,0.9795,49.808,61.88,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:45:00+00:00,40,88.19,0.9759,49.795,62.64,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:50:00+00:00,45,87.79,0.9851,49.799,61.49,0.985,CLOSED
IND-S00008,IN-C09502-SS,2026-08-31 21:55:00+00:00,50,84.55,0.9864,49.8,61.64,0.985,CLOSED
