scenario_id,step,node_id,loading_pct,temp_c,voltage_pu_proxy,alive
IND-S00000,0,IN-C07885-SS,85.35,47.9,0.9821,1
IND-S00000,0,IN-C07886-SS,84.66,46.62,0.9679,1
IND-S00000,0,IN-C07887-SS,84.66,50.7,0.9879,1
IND-S00000,0,IN-C07888-SS,84.45,52.28,0.9521,1
IND-S00000,0,IN-C07889-SS,84.66,51.48,0.9449,1
IND-S00000,0,IN-C07890-SS,84.66,51.88,0.9719,1
IND-S00000,0,IN-C07891-SS,84.66,45.18,0.9699,1
IND-S00000,0,IN-C08800-SS,2.65,46.69,1.023,1
IND-S00000,0,IN-C08882-SS,1.88,44.31,1.016,1
IND-S00000,0,IN-C07868-TR01,84.66,49.55,0.9589,1
IND-S00000,0,IN-C07868-FD011,84.66,51.55,0.9959,1
IND-S00000,0,IN-C07868-GEN12,0.0,52.22,0.975,1
IND-S00000,0,IN-MAD-HUB-GEN,57.0,50.15,1.0003,1
IND-S00001,0,IN-WR-HUB,66.39,48.77,1.013,1
IND-S00001,0,IN-SR-HUB,99.44,39.38,0.9126,1
IND-S00001,0,IN-ER-HUB,89.34,51.55,0.9737,1
IND-S00001,0,IN-AND-HUB,84.37,50.85,1.0002,1
IND-S00001,0,IN-KAR-HUB,84.17,49.02,0.9854,1
IND-S00001,0,IN-KER-HUB,86.13,44.32,0.9783,1
IND-S00001,0,IN-LAK-HUB,51.81,41.11,0.962,1
IND-S00001,0,IN-PUD-HUB,81.38,39.5,0.9265,1
IND-S00001,0,IN-TAM-HUB,85.29,45.3,0.9412,1
IND-S00001,0,IN-C12340-SS,82.89,41.5,0.9488,1
IND-S00001,0,IN-C12341-SS,82.89,47.82,0.9568,1
IND-S00001,0,IN-C12342-SS,83.71,47.1,0.9429,1
IND-S00001,0,IN-C12343-SS,83.7,42.18,0.9439,1
IND-S00001,0,IN-C12344-SS,83.7,42.55,0.9239,1
IND-S00001,0,IN-C12345-SS,83.68,49.25,0.9399,1
IND-S00001,0,IN-C12346-SS,83.68,42.05,0.985,1
IND-S00001,0,IN-C12347-SS,84.32,49.9,0.9303,1
IND-S00001,0,IN-C12348-SS,83.97,41.03,0.9436,1
IND-S00001,0,IN-C12349-SS,83.93,44.7,0.9567,1
IND-S00001,0,IN-C12350-SS,83.19,43.35,0.9695,1
IND-S00001,0,IN-C12351-SS,83.93,38.55,0.9257,1
IND-S00001,0,IN-C12352-SS,82.89,48.05,0.9828,1
IND-S00001,0,IN-C12353-SS,82.89,45.65,0.9798,1
IND-S00001,0,IN-C12354-SS,82.89,42.5,0.9998,1
IND-S00001,0,IN-C12355-SS,82.89,43.95,0.9998,1
IND-S00001,0,IN-C12356-SS,82.89,45.38,0.9318,1
IND-S00001,0,IN-C12357-SS,82.89,44.45,0.9588,1
IND-S00001,0,IN-C12358-SS,82.89,44.42,0.9778,1
IND-S00001,0,IN-C12359-SS,82.89,42.53,0.9388,1
IND-S00001,0,IN-C12360-SS,82.89,48.88,0.9978,1
IND-S00001,0,IN-C12361-SS,82.89,48.53,1.0038,1
IND-S00001,0,IN-C12362-SS,82.89,43.58,0.9888,1
IND-S00001,0,IN-C12363-SS,82.89,47.98,0.9278,1
IND-S00001,0,IN-C12364-SS,83.77,49.8,0.9929,1
IND-S00001,0,IN-C12365-SS,82.89,43.05,0.9858,1
IND-S00001,0,IN-C12366-SS,82.89,37.25,0.9408,1
IND-S00001,0,IN-C12367-SS,82.89,45.35,0.9308,1
IND-S00001,0,IN-C12368-SS,82.89,44.75,0.9468,1
IND-S00001,0,IN-C12369-SS,82.89,37.83,0.9288,1
IND-S00001,0,IN-C12370-SS,82.89,41.15,0.9718,1
IND-S00001,0,IN-C12371-SS,82.89,42.5,0.9898,1
IND-S00001,0,IN-C12372-SS,78.22,37.92,1.009,1
IND-S00001,0,IN-C12373-SS,82.89,43.35,1.0018,1
IND-S00001,0,IN-C12374-SS,82.89,41.32,0.9248,1
IND-S00001,0,IN-C12375-SS,82.89,46.0,0.9918,1
IND-S00001,0,IN-C12376-SS,82.89,44.32,0.9428,1
IND-S00001,0,IN-C12377-SS,82.89,47.25,0.9498,1
IND-S00001,0,IN-C12378-SS,82.89,40.8,0.9928,1
IND-S00001,0,IN-C12379-SS,82.89,42.62,0.9638,1
IND-S00001,0,IN-C12380-SS,82.89,48.22,0.9788,1
IND-S00001,0,IN-C12381-SS,82.89,43.97,0.9638,1
IND-S00001,0,IN-C12382-SS,82.89,37.75,0.9488,1
IND-S00001,0,IN-C12383-SS,82.89,45.25,0.9728,1
IND-S00001,0,IN-C12384-SS,82.89,51.1,0.9478,1
IND-S00001,0,IN-C12385-SS,82.89,39.8,0.9838,1
IND-S00001,0,IN-C12386-SS,82.89,37.48,0.9528,1
IND-S00001,0,IN-C12387-SS,82.89,39.2,0.9478,1
IND-S00001,0,IN-C12388-SS,82.89,43.05,0.9708,1
IND-S00001,0,IN-C12389-SS,82.89,42.6,0.9578,1
IND-S00001,0,IN-C12390-SS,85.29,37.35,0.9582,1
IND-S00001,0,IN-C12391-SS,82.89,41.0,1.0018,1
IND-S00001,0,IN-C12392-SS,83.19,46.08,0.9925,1
IND-S00001,0,IN-C12393-SS,84.51,45.42,0.945,1
IND-S00001,0,IN-C12394-SS,82.89,37.98,0.9678,1
IND-S00001,0,IN-C12395-SS,82.89,40.05,0.9938,1
IND-S00001,0,IN-C12396-SS,82.89,45.05,0.9748,1
IND-S00001,0,IN-C12397-SS,82.89,46.65,0.9248,1
IND-S00001,0,IN-C12398-SS,82.89,39.38,0.9728,1
IND-S00001,0,IN-C12399-SS,82.89,43.15,1.0028,1
IND-S00001,0,IN-C12400-SS,82.89,44.68,0.9978,1
IND-S00001,0,IN-C12401-SS,84.42,49.72,0.9341,1
IND-S00001,0,IN-C12434-SS,82.89,45.95,0.9878,1
IND-S00001,0,IN-C12462-SS,82.89,46.35,0.9238,1
IND-S00001,0,IN-C12469-SS,84.08,41.7,0.9425,1
IND-S00001,0,IN-C12474-SS,84.53,46.02,0.928,1
IND-S00001,0,IN-C12475-SS,82.89,45.5,0.9498,1
IND-S00001,0,IN-C12480-SS,82.89,39.0,0.9788,1
IND-S00001,0,IN-C12501-SS,82.89,42.47,0.9658,1
IND-S00001,0,IN-C12514-SS,82.89,43.25,0.9398,1
IND-S00001,0,IN-C12527-SS,82.89,49.12,0.9938,1
IND-S00001,0,IN-C12536-SS,82.89,45.8,0.9368,1
IND-S00001,0,IN-C12544-SS,82.89,43.68,0.9488,1
IND-S00001,0,IN-C12562-SS,82.89,46.35,0.9768,1
IND-S00001,0,IN-C12573-SS,82.89,36.78,0.9458,1
IND-S00001,0,IN-C12578-SS,82.89,47.9,0.9478,1
IND-S00001,0,IN-C12584-SS,82.89,38.9,0.9998,1
IND-S00001,0,IN-C12585-SS,82.89,44.08,0.9788,1
IND-S00001,0,IN-C12601-SS,83.55,46.2,0.9541,1
IND-S00001,0,IN-C12603-SS,83.71,42.2,0.9759,1
IND-S00001,0,IN-C12645-SS,82.89,40.92,0.9988,1
IND-S00001,0,IN-C12647-SS,82.89,47.38,0.9608,1
IND-S00001,0,IN-C12651-SS,83.19,44.8,0.9605,1
IND-S00001,0,IN-C12654-SS,82.89,41.3,0.9958,1
IND-S00001,0,IN-C12660-SS,78.4,41.32,0.9548,1
IND-S00001,0,IN-C12668-SS,82.89,40.3,0.9418,1
IND-S00001,0,IN-C12678-SS,82.89,42.9,0.9948,1
IND-S00001,0,IN-C12686-SS,82.89,45.75,0.9868,1
IND-S00001,0,IN-C12699-SS,82.62,47.48,0.9871,1
IND-S00001,0,IN-C12708-SS,68.9,40.09,0.9742,1
IND-S00001,0,IN-C12713-SS,68.29,40.26,0.9829,1
IND-S00001,0,IN-C12721-SS,82.89,34.78,1.0008,1
IND-S00001,0,IN-C12722-SS,67.07,44.9,0.9612,1
IND-S00001,0,IN-C12735-SS,82.89,45.05,0.9768,1
IND-S00001,0,IN-C12750-SS,82.89,39.85,0.9728,1
IND-S00001,0,IN-C12759-SS,63.33,45.55,1.0083,1
IND-S00001,0,IN-C12787-SS,82.89,39.38,0.9488,1
IND-S00001,0,IN-C12825-SS,82.89,43.08,0.9838,1
IND-S00001,0,IN-C12827-SS,82.89,41.0,0.9598,1
IND-S00001,0,IN-C12831-SS,82.89,44.0,0.9388,1
IND-S00001,0,IN-C12840-SS,82.89,37.85,0.9938,1
IND-S00001,0,IN-C12848-SS,82.89,44.72,0.9978,1
IND-S00001,0,IN-C12869-SS,70.42,50.1,0.9875,1
IND-S00001,0,IN-C12877-SS,82.89,43.75,0.9788,1
IND-S00001,0,IN-C12930-SS,82.89,45.72,0.9798,1
IND-S00001,0,IN-C12965-SS,82.89,45.0,0.9668,1
IND-S00001,0,IN-C13046-SS,82.89,39.08,0.9548,1
IND-S00001,0,IN-C13081-SS,34.61,44.28,0.995,1
IND-S00001,0,IN-C13113-SS,82.89,43.1,0.9758,1
IND-S00001,0,IN-C13118-SS,82.89,40.22,0.9808,1
IND-S00001,0,IN-C13133-SS,82.89,45.5,0.9428,1
IND-S00001,0,IN-C13151-SS,47.19,36.83,0.979,1
IND-S00001,0,IN-C13174-SS,29.52,40.57,1.035,1
IND-S00001,0,IN-C13212-SS,82.89,44.95,0.9238,1
IND-S00001,0,IN-C13224-SS,59.98,40.65,0.987,1
IND-S00001,0,IN-C13268-SS,82.89,46.38,0.9278,1
IND-S00001,0,IN-C13273-SS,82.89,44.55,0.9388,1
IND-S00001,0,IN-C13340-SS,82.89,48.82,0.9808,1
IND-S00001,0,IN-C13370-SS,1.84,36.96,1.004,1
IND-S00001,0,IN-C13384-SS,82.89,39.28,0.9388,1
IND-S00001,0,IN-C13410-SS,28.43,45.11,1.0,1
IND-S00001,0,IN-C13451-SS,82.89,40.0,0.9998,1
IND-S00001,0,IN-C13463-SS,63.51,40.23,1.0251,1
IND-S00001,0,IN-C13587-SS,1.84,39.31,1.027,1
IND-S00001,0,IN-C13588-SS,17.38,43.23,0.973,1
IND-S00001,0,IN-C13596-SS,1.84,41.39,0.99,1
IND-S00001,0,IN-C13633-SS,82.89,44.95,0.9608,1
IND-S00001,0,IN-C13658-SS,82.89,47.68,0.9298,1
IND-S00001,0,IN-C13790-SS,82.89,43.6,0.9618,1
IND-S00001,0,IN-C13849-SS,82.89,40.28,0.9948,1
IND-S00001,0,IN-C13877-SS,5.51,41.22,1.029,1
IND-S00001,0,IN-C13929-SS,82.89,42.25,0.9508,1
IND-S00001,0,IN-C13943-SS,82.89,45.15,0.9598,1
IND-S00001,0,IN-C14000-SS,1.84,37.74,1.036,1
IND-S00001,0,IN-C14006-SS,5.51,38.97,1.033,1
IND-S00001,0,IN-C14026-SS,1.84,38.86,1.037,1
IND-S00001,0,IN-C14050-SS,1.84,46.54,0.968,1
IND-S00001,0,IN-C14166-SS,82.89,40.42,0.9408,1
IND-S00001,0,IN-C14168-SS,84.62,39.95,0.9969,1
IND-S00001,0,IN-C14208-SS,12.86,43.27,0.973,1
IND-S00001,0,IN-C14227-SS,82.89,42.9,0.9678,1
IND-S00001,0,IN-C14232-SS,82.89,38.55,0.9448,1
IND-S00001,0,IN-C14244-SS,82.61,42.88,0.9731,1
IND-S00001,0,IN-C14260-SS,82.89,41.78,0.9428,1
IND-S00001,0,IN-C14310-SS,84.84,48.6,0.9967,1
IND-S00001,0,IN-C14370-SS,9.19,43.07,0.96,1
IND-S00001,0,IN-C14460-SS,82.89,51.28,0.9978,1
IND-S00001,0,IN-C14504-SS,9.19,36.69,1.029,1
IND-S00001,0,IN-C14508-SS,9.19,36.89,0.967,1
IND-S00001,0,IN-C14533-SS,82.89,45.45,0.9248,1
IND-S00001,0,IN-C14546-SS,1.84,42.14,0.968,1
IND-S00001,0,IN-C14552-SS,48.96,45.22,1.003,1
IND-S00001,0,IN-C14557-SS,82.89,41.2,0.9988,1
IND-S00001,0,IN-C14572-SS,82.89,44.25,0.9678,1
IND-S00001,0,IN-C14595-SS,1.84,36.79,1.03,1
IND-S00001,0,IN-C14648-SS,82.89,44.32,0.9358,1
IND-S00001,0,IN-C14691-SS,82.89,34.17,1.0028,1
IND-S00001,0,IN-C14710-SS,82.89,48.85,0.9928,1
IND-S00001,0,IN-C14724-SS,9.19,46.07,1.029,1
IND-S00001,0,IN-C14768-SS,1.84,43.94,0.973,1
IND-S00001,0,IN-C14843-SS,1.84,39.91,1.03,1
IND-S00001,0,IN-C12340-TR01,82.89,42.55,0.9468,1
IND-S00001,0,IN-C12340-TR02,82.89,46.32,0.9368,1
IND-S00001,0,IN-C12340-TR03,82.89,42.5,0.9728,1
IND-S00001,0,IN-C12341-TR01,82.89,43.82,0.9628,1
IND-S00001,0,IN-C12341-TR02,82.89,45.68,0.9448,1
IND-S00001,0,IN-C12341-TR03,82.89,38.17,0.9758,1
IND-S00001,0,IN-C12342-TR01,82.89,46.2,0.9358,1
IND-S00001,0,IN-C12342-TR02,82.89,40.92,0.9498,1
IND-S00001,0,IN-C12342-TR03,82.89,45.45,0.9818,1
IND-S00001,0,IN-C12343-TR01,82.89,36.8,0.9968,1
IND-S00001,0,IN-C12343-TR02,82.89,42.5,0.9908,1
IND-S00001,0,IN-C12343-TR03,82.89,41.3,0.9938,1
IND-S00001,0,IN-C12344-TR01,82.89,46.55,0.9758,1
IND-S00001,0,IN-C12344-TR02,82.89,41.32,0.9438,1
IND-S00001,0,IN-C12344-TR03,82.89,40.98,0.9978,1
IND-S00001,0,IN-C12345-TR01,82.89,43.72,0.9788,1
IND-S00001,0,IN-C12345-TR02,82.89,37.8,0.9478,1
IND-S00001,0,IN-C12345-TR03,82.89,44.05,0.9718,1
IND-S00001,0,IN-C12346-TR01,82.89,42.45,0.9488,1
IND-S00001,0,IN-C12346-TR02,82.89,46.15,0.9268,1
IND-S00001,0,IN-C12347-TR01,82.89,38.8,0.9488,1
IND-S00001,0,IN-C12347-TR02,82.89,42.7,0.9378,1
IND-S00001,0,IN-C12348-TR01,82.89,46.15,0.9928,1
IND-S00001,0,IN-C12348-TR02,82.89,46.78,0.9528,1
IND-S00001,0,IN-C12349-TR01,82.89,40.28,0.9538,1
IND-S00001,0,IN-C12349-TR02,82.89,41.5,0.9738,1
IND-S00001,0,IN-C12350-TR01,82.89,47.45,0.9648,1
IND-S00001,0,IN-C12350-TR02,82.89,44.28,0.9848,1
IND-S00001,0,IN-C12351-TR01,82.89,37.88,0.9468,1
IND-S00001,0,IN-C12351-TR02,82.89,44.75,0.9868,1
IND-S00001,0,IN-C12352-TR01,82.89,43.28,0.9938,1
IND-S00001,0,IN-C12352-TR02,82.89,50.35,0.9928,1
IND-S00001,0,IN-C12353-TR01,82.89,42.9,0.9468,1
IND-S00001,0,IN-C12353-TR02,82.89,43.9,0.9918,1
IND-S00001,0,IN-C12354-TR01,82.89,44.68,0.9378,1
IND-S00001,0,IN-C12354-TR02,82.89,45.7,0.9468,1
IND-S00001,0,IN-C12355-TR01,82.89,42.6,0.9358,1
IND-S00001,0,IN-C12355-TR02,82.89,42.85,0.9748,1
IND-S00001,0,IN-C12356-TR01,82.89,49.78,0.9398,1
IND-S00001,0,IN-C12357-TR01,82.89,46.6,0.9278,1
IND-S00001,0,IN-C12358-TR01,82.89,49.35,0.9778,1
IND-S00001,0,IN-C12359-TR01,82.89,44.55,0.9888,1
IND-S00001,0,IN-C12360-TR01,82.89,43.42,0.9268,1
IND-S00001,0,IN-C12361-TR01,82.89,44.62,0.9728,1
IND-S00001,0,IN-C12362-TR01,82.89,42.6,0.9988,1
IND-S00001,0,IN-C12363-TR01,82.89,49.7,0.9958,1
IND-S00001,0,IN-C12364-TR01,82.89,48.78,0.9708,1
IND-S00001,0,IN-C12365-TR01,82.89,40.95,0.9978,1
IND-S00001,0,IN-C12366-TR01,82.89,40.55,0.9598,1
IND-S00001,0,IN-C12367-TR01,82.89,43.65,0.9328,1
IND-S00001,0,IN-C12368-TR01,82.89,48.22,0.9778,1
IND-S00001,0,IN-C12369-TR01,82.89,45.15,0.9828,1
IND-S00001,0,IN-C12370-TR01,82.89,38.33,0.9838,1
IND-S00001,0,IN-C12371-TR01,82.89,36.45,0.9308,1
IND-S00001,0,IN-C12372-TR01,82.89,45.2,0.9938,1
IND-S00001,0,IN-C12373-TR01,82.89,48.0,0.9938,1
IND-S00001,0,IN-C12374-TR01,82.89,38.38,0.9458,1
IND-S00001,0,IN-C12375-TR01,82.89,41.38,0.9898,1
IND-S00001,0,IN-C12376-TR01,82.89,37.95,0.9418,1
IND-S00001,0,IN-C12377-TR01,82.89,48.4,0.9418,1
IND-S00001,0,IN-C12378-TR01,82.89,38.83,0.9448,1
IND-S00001,0,IN-C12379-TR01,82.89,35.88,0.9738,1
IND-S00001,0,IN-C12380-TR01,82.89,44.15,0.9838,1
IND-S00001,0,IN-C12381-TR01,82.89,48.1,0.9818,1
IND-S00001,0,IN-C12382-TR01,82.89,44.0,0.9718,1
IND-S00001,0,IN-C12383-TR01,82.89,40.33,0.9938,1
IND-S00001,0,IN-C12384-TR01,82.89,51.52,0.9588,1
IND-S00001,0,IN-C12385-TR01,82.89,34.45,0.9308,1
IND-S00001,0,IN-C12386-TR01,82.89,40.12,0.9988,1
IND-S00001,0,IN-C12387-TR01,82.89,44.98,0.9918,1
IND-S00001,0,IN-C12388-TR01,82.89,44.62,0.9288,1
IND-S00001,0,IN-C12389-TR01,82.89,43.08,0.9718,1
IND-S00001,0,IN-C12390-TR01,82.89,49.82,1.0008,1
IND-S00001,0,IN-C12391-TR01,82.89,45.85,0.9968,1
IND-S00001,0,IN-C12392-TR01,82.89,44.1,1.0038,1
IND-S00001,0,IN-C12393-TR01,82.89,44.75,0.9828,1
IND-S00001,0,IN-C12340-GEN01,76.4,39.58,0.972,1
IND-S00001,0,IN-C12341-GEN02,76.4,40.78,0.981,1
IND-S00001,0,IN-C12342-GEN03,76.4,47.68,1.01,1
IND-S00001,0,IN-C12343-GEN04,76.4,42.5,0.959,1
IND-S00001,0,IN-C12344-GEN05,76.4,40.8,0.955,1
IND-S00001,0,IN-C12345-GEN06,76.4,37.8,1.003,1
IND-S00001,0,IN-C12346-GEN07,76.4,44.02,0.975,1
IND-S00001,0,IN-C12347-GEN08,76.4,46.3,0.947,1
IND-S00001,0,IN-C12348-GEN09,76.4,41.0,0.942,1
IND-S00001,0,IN-C12349-GEN10,76.4,45.45,1.01,1
IND-S00001,0,IN-C12350-GEN11,76.4,47.8,0.934,1
IND-S00001,0,IN-C12351-GEN12,76.4,43.18,0.959,1
IND-S00001,0,IN-TAM-HUB-GEN,20.39,42.55,1.004,1
IND-S00001,0,IN-TEL-HUB,84.42,51.2,0.9651,1
IND-S00001,1,IN-WR-HUB,65.58,48.74,1.0139,1
IND-S00001,1,IN-SR-HUB,99.47,39.38,0.9126,1
IND-S00001,1,IN-ER-HUB,89.02,51.55,0.9741,1
IND-S00001,1,IN-AND-HUB,84.29,50.85,1.0003,1
IND-S00001,1,IN-KAR-HUB,84.11,49.02,0.9855,1
IND-S00001,1,IN-KER-HUB,85.98,44.32,0.9784,1
IND-S00001,1,IN-LAK-HUB,51.77,40.98,0.9621,1
IND-S00001,1,IN-PUD-HUB,81.45,39.5,0.9264,1
IND-S00001,1,IN-TAM-HUB,85.17,45.3,0.9413,1
IND-S00001,1,IN-C12340-SS,82.89,41.5,0.9488,1
IND-S00001,1,IN-C12341-SS,82.89,47.82,0.9568,1
IND-S00001,1,IN-C12342-SS,83.67,47.1,0.943,1
IND-S00001,1,IN-C12343-SS,83.66,42.18,0.944,1
IND-S00001,1,IN-C12344-SS,83.66,42.55,0.924,1
IND-S00001,1,IN-C12345-SS,83.64,49.25,0.94,1
IND-S00001,1,IN-C12346-SS,83.64,42.05,0.985,1
IND-S00001,1,IN-C12347-SS,84.25,49.9,0.9303,1
IND-S00001,1,IN-C12348-SS,83.92,41.03,0.9437,1
IND-S00001,1,IN-C12349-SS,83.88,44.7,0.9567,1
IND-S00001,1,IN-C12350-SS,83.18,43.35,0.9695,1
IND-S00001,1,IN-C12351-SS,83.88,38.55,0.9257,1
IND-S00001,1,IN-C12352-SS,82.89,48.05,0.9828,1
IND-S00001,1,IN-C12353-SS,82.89,45.65,0.9798,1
IND-S00001,1,IN-C12354-SS,82.89,42.5,0.9998,1
IND-S00001,1,IN-C12355-SS,82.89,43.95,0.9998,1
IND-S00001,1,IN-C12356-SS,82.89,45.38,0.9318,1
IND-S00001,1,IN-C12357-SS,82.89,44.45,0.9588,1
IND-S00001,1,IN-C12358-SS,82.89,44.42,0.9778,1
IND-S00001,1,IN-C12359-SS,82.89,42.53,0.9388,1
IND-S00001,1,IN-C12360-SS,82.89,48.88,0.9978,1
IND-S00001,1,IN-C12361-SS,82.89,48.53,1.0038,1
IND-S00001,1,IN-C12362-SS,82.89,43.58,0.9888,1
IND-S00001,1,IN-C12363-SS,82.89,47.98,0.9278,1
IND-S00001,1,IN-C12364-SS,83.73,49.8,0.9929,1
IND-S00001,1,IN-C12365-SS,82.89,43.05,0.9858,1
IND-S00001,1,IN-C12366-SS,82.89,37.25,0.9408,1
IND-S00001,1,IN-C12367-SS,82.89,45.35,0.9308,1
IND-S00001,1,IN-C12368-SS,82.89,44.75,0.9468,1
IND-S00001,1,IN-C12369-SS,82.89,37.83,0.9288,1
IND-S00001,1,IN-C12370-SS,82.89,41.15,0.9718,1
IND-S00001,1,IN-C12371-SS,82.89,42.5,0.9898,1
IND-S00001,1,IN-C12372-SS,78.45,37.92,1.0087,1
IND-S00001,1,IN-C12373-SS,82.89,43.35,1.0018,1
IND-S00001,1,IN-C12374-SS,82.89,41.32,0.9248,1
IND-S00001,1,IN-C12375-SS,82.89,46.0,0.9918,1
IND-S00001,1,IN-C12376-SS,82.89,44.32,0.9428,1
IND-S00001,1,IN-C12377-SS,82.89,47.25,0.9498,1
IND-S00001,1,IN-C12378-SS,82.89,40.8,0.9928,1
IND-S00001,1,IN-C12379-SS,82.89,42.62,0.9638,1
IND-S00001,1,IN-C12380-SS,82.89,48.22,0.9788,1
IND-S00001,1,IN-C12381-SS,82.89,43.97,0.9638,1
IND-S00001,1,IN-C12382-SS,82.89,37.75,0.9488,1
IND-S00001,1,IN-C12383-SS,82.89,45.25,0.9728,1
IND-S00001,1,IN-C12384-SS,82.89,51.1,0.9478,1
IND-S00001,1,IN-C12385-SS,82.89,39.8,0.9838,1
IND-S00001,1,IN-C12386-SS,82.89,37.48,0.9528,1
IND-S00001,1,IN-C12387-SS,82.89,39.2,0.9478,1
IND-S00001,1,IN-C12388-SS,82.89,43.05,0.9708,1
IND-S00001,1,IN-C12389-SS,82.89,42.6,0.9578,1
IND-S00001,1,IN-C12390-SS,85.17,37.35,0.9583,1
IND-S00001,1,IN-C12391-SS,82.89,41.0,1.0018,1
IND-S00001,1,IN-C12392-SS,83.18,46.08,0.9925,1
IND-S00001,1,IN-C12393-SS,84.43,45.42,0.9451,1
IND-S00001,1,IN-C12394-SS,82.89,37.98,0.9678,1
IND-S00001,1,IN-C12395-SS,82.89,40.05,0.9938,1
IND-S00001,1,IN-C12396-SS,82.89,45.05,0.9748,1
IND-S00001,1,IN-C12397-SS,82.89,46.65,0.9248,1
IND-S00001,1,IN-C12398-SS,82.89,39.38,0.9728,1
IND-S00001,1,IN-C12399-SS,82.89,43.15,1.0028,1
IND-S00001,1,IN-C12400-SS,82.89,44.68,0.9978,1
IND-S00001,1,IN-C12401-SS,84.35,49.72,0.9342,1
IND-S00001,1,IN-C12434-SS,82.89,45.95,0.9878,1
IND-S00001,1,IN-C12462-SS,82.89,46.35,0.9238,1
IND-S00001,1,IN-C12469-SS,84.02,41.7,0.9426,1
IND-S00001,1,IN-C12474-SS,84.45,46.02,0.9281,1
IND-S00001,1,IN-C12475-SS,82.89,45.5,0.9498,1
IND-S00001,1,IN-C12480-SS,82.89,39.0,0.9788,1
IND-S00001,1,IN-C12501-SS,82.89,42.47,0.9658,1
IND-S00001,1,IN-C12514-SS,82.89,43.25,0.9398,1
IND-S00001,1,IN-C12527-SS,82.89,49.12,0.9938,1
IND-S00001,1,IN-C12536-SS,82.89,45.8,0.9368,1
IND-S00001,1,IN-C12544-SS,82.89,43.68,0.9488,1
IND-S00001,1,IN-C12562-SS,82.89,46.35,0.9768,1
IND-S00001,1,IN-C12573-SS,82.89,36.78,0.9458,1
IND-S00001,1,IN-C12578-SS,82.89,47.9,0.9478,1
IND-S00001,1,IN-C12584-SS,82.89,38.9,0.9998,1
IND-S00001,1,IN-C12585-SS,82.89,44.08,0.9788,1
IND-S00001,1,IN-C12601-SS,83.51,46.2,0.9541,1
IND-S00001,1,IN-C12603-SS,83.67,42.2,0.976,1
IND-S00001,1,IN-C12645-SS,82.89,40.92,0.9988,1
IND-S00001,1,IN-C12647-SS,82.89,47.38,0.9608,1
IND-S00001,1,IN-C12651-SS,83.18,44.8,0.9605,1
IND-S00001,1,IN-C12654-SS,82.89,41.3,0.9958,1
IND-S00001,1,IN-C12660-SS,78.4,41.32,0.9548,1
IND-S00001,1,IN-C12668-SS,82.89,40.3,0.9418,1
IND-S00001,1,IN-C12678-SS,82.89,42.9,0.9948,1
IND-S00001,1,IN-C12686-SS,82.89,45.75,0.9868,1
IND-S00001,1,IN-C12699-SS,82.63,47.48,0.9871,1
IND-S00001,1,IN-C12708-SS,68.9,40.08,0.9742,1
IND-S00001,1,IN-C12713-SS,68.29,40.25,0.9829,1
IND-S00001,1,IN-C12721-SS,82.89,34.78,1.0008,1
IND-S00001,1,IN-C12722-SS,67.07,44.88,0.9612,1
IND-S00001,1,IN-C12735-SS,82.89,45.05,0.9768,1
IND-S00001,1,IN-C12750-SS,82.89,39.85,0.9728,1
