asset_id,asset_class,city,state,region,lat,lon,voltage_kv,capacity_mva,age_years,base_load_pct,voltage_pu,ambient_temp_c,transformer_bank_id,breaker_state,protection_relay,power_factor_nominal,health_index,dga_hydrogen_ppm,dga_acetylene_ppm,last_inspection_date,maintenance_priority
IN-C00001-GEN01,generator,Port Blair,Andaman and Nicobar,SR,11.54627,92.70415,220,315,2,34.0,0.989,34.7,,CLOSED,50/51 Overcurrent,0.987,99.0,31.5,5.7,2024-10-15,ROUTINE
IN-AND-HUB-GEN,generator,Andaman and Nicobar Hub Generation,Andaman and Nicobar,SR,11.35847,92.86971,400,100,16,32.1,1.03,34.2,,CLOSED,50/51 Overcurrent,0.947,74.2,35.1,3.4,2025-04-06,MEDIUM
IN-AND-HUB,substation,Andhra Pradesh State Hub,Andhra Pradesh,SR,15.88588,80.51024,400,5000,32,59.4,1.038,36.0,,CLOSED,50/51 Overcurrent,0.949,62.5,27.5,2.8,2025-11-09,MEDIUM
IN-C00017-SS,substation,Rasapūdipalem,Andhra Pradesh,SR,17.73308,83.31622,220,2000,31,64.1,0.973,37.2,,CLOSED,50/51 Overcurrent,0.949,71.3,22.9,4.8,2025-11-09,MEDIUM
IN-C00018-SS,substation,Vijayawada,Andhra Pradesh,SR,16.50745,80.6466,220,1200,28,64.7,1.034,37.8,,CLOSED,50/51 Overcurrent,0.984,73.7,21.1,5.0,2026-04-20,MEDIUM
IN-C00019-SS,substation,Visakhapatnam,Andhra Pradesh,SR,17.68009,83.20161,220,1200,13,55.7,0.992,38.1,,CLOSED,50/51 Overcurrent,0.925,81.3,9.9,7.3,2025-07-29,ROUTINE
IN-C00020-SS,substation,Guntur,Andhra Pradesh,SR,16.29974,80.45729,220,800,24,45.8,1.001,33.9,,CLOSED,50/51 Overcurrent,0.978,70.7,25.8,3.8,2026-04-07,MEDIUM
IN-C00021-SS,substation,Nellore,Andhra Pradesh,SR,14.44992,79.98697,220,500,15,32.3,0.962,34.9,,CLOSED,50/51 Overcurrent,0.939,87.6,44.4,2.6,2024-12-10,ROUTINE
IN-C00022-SS,substation,Kurnool,Andhra Pradesh,SR,15.82887,78.03602,220,500,38,37.9,0.966,36.6,,CLOSED,50/51 Overcurrent,0.918,49.1,17.8,3.4,2026-07-13,HIGH
IN-C00023-SS,substation,Kākināda,Andhra Pradesh,SR,16.96036,82.23809,220,500,15,32.4,0.963,35.6,,CLOSED,50/51 Overcurrent,0.984,77.2,15.2,7.1,2025-11-02,MEDIUM
IN-C00024-SS,substation,Rajamahendravaram,Andhra Pradesh,SR,17.00517,81.77784,220,500,33,38.6,1.014,34.9,,CLOSED,50/51 Overcurrent,0.967,51.0,8.5,6.4,2025-03-25,HIGH
IN-C00025-SS,substation,Kadapa,Andhra Pradesh,SR,14.47995,78.82346,220,315,9,56.0,1.031,35.1,,CLOSED,50/51 Overcurrent,0.943,96.7,18.8,11.3,2024-12-02,ROUTINE
IN-C00026-SS,substation,Tirupati,Andhra Pradesh,SR,13.63551,79.41989,220,315,16,58.2,1.025,32.0,,CLOSED,50/51 Overcurrent,0.988,74.3,17.9,5.8,2025-12-30,MEDIUM
IN-C00027-SS,substation,Anantapur,Andhra Pradesh,SR,14.67784,77.60813,220,315,7,53.7,0.988,34.3,,CLOSED,50/51 Overcurrent,0.984,95.2,34.7,7.9,2025-09-29,ROUTINE
IN-C00028-SS,substation,Gajuwaka,Andhra Pradesh,SR,17.7,83.21667,220,315,4,54.2,1.039,34.7,,CLOSED,50/51 Overcurrent,0.958,91.1,104.6,2.5,2025-08-30,ROUTINE
IN-C00029-SS,substation,Vizianagaram,Andhra Pradesh,SR,18.11692,83.41148,220,200,26,56.2,1.024,34.9,,CLOSED,50/51 Overcurrent,0.947,81.9,16.2,2.0,2026-02-26,ROUTINE
IN-C00030-SS,substation,Eluru,Andhra Pradesh,SR,16.71311,81.10437,220,200,13,36.8,0.996,36.0,,CLOSED,50/51 Overcurrent,0.956,89.1,16.0,3.5,2024-09-29,ROUTINE
IN-C00031-SS,substation,Nandyāl,Andhra Pradesh,SR,15.47799,78.4836,220,200,18,46.7,1.03,33.0,,CLOSED,50/51 Overcurrent,0.933,75.4,28.6,2.9,2025-09-21,MEDIUM
IN-C00032-SS,substation,Ongole,Andhra Pradesh,SR,15.50357,80.04454,220,200,36,33.5,1.012,35.8,,CLOSED,50/51 Overcurrent,0.951,60.2,48.2,1.6,2026-04-25,MEDIUM
IN-C00033-SS,substation,Machilīpatnam,Andhra Pradesh,SR,16.18747,81.13888,220,200,1,64.9,1.034,38.2,,CLOSED,50/51 Overcurrent,0.918,99.0,16.6,2.8,2025-03-09,ROUTINE
IN-C00034-SS,substation,Adoni,Andhra Pradesh,SR,15.62788,77.27495,220,160,11,44.6,0.999,37.8,,CLOSED,50/51 Overcurrent,0.985,90.4,12.8,2.9,2025-07-14,ROUTINE
IN-C00035-SS,substation,Madanapalle,Andhra Pradesh,SR,13.5503,78.50288,220,160,4,35.9,0.96,33.1,,CLOSED,50/51 Overcurrent,0.956,93.0,12.9,1.6,2026-01-17,ROUTINE
IN-C00036-SS,substation,Proddatūr,Andhra Pradesh,SR,14.7502,78.54813,220,160,30,40.3,1.016,36.3,,CLOSED,50/51 Overcurrent,0.924,73.3,13.1,4.6,2025-07-28,MEDIUM
IN-C00037-SS,substation,Thenali,Andhra Pradesh,SR,16.24253,80.63982,220,160,36,53.8,0.999,34.2,,CLOSED,50/51 Overcurrent,0.987,63.4,41.2,6.2,2025-10-15,MEDIUM
IN-C00038-SS,substation,Chittoor,Andhra Pradesh,SR,13.21055,79.0956,220,160,14,64.9,1.006,33.7,,CLOSED,50/51 Overcurrent,0.968,86.6,59.7,11.7,2025-09-26,ROUTINE
IN-C00039-SS,substation,Hindupur,Andhra Pradesh,SR,13.82807,77.49143,220,160,21,32.1,1.007,34.0,,CLOSED,50/51 Overcurrent,0.917,70.8,13.9,1.1,2025-02-12,MEDIUM
IN-C00040-SS,substation,Bhimavaram,Andhra Pradesh,SR,16.54078,81.52322,220,160,34,35.7,1.037,33.8,,CLOSED,50/51 Overcurrent,0.981,60.5,20.1,2.0,2024-12-23,MEDIUM
IN-C00041-SS,substation,Srikakulam,Andhra Pradesh,SR,18.2989,83.89751,220,160,12,32.5,0.965,39.5,,CLOSED,50/51 Overcurrent,0.91,91.8,38.3,1.7,2026-08-17,ROUTINE
IN-C00042-SS,substation,Guntakal,Andhra Pradesh,SR,15.17112,77.36244,220,160,26,34.3,1.031,33.7,,CLOSED,50/51 Overcurrent,0.944,76.0,14.7,3.4,2025-05-10,MEDIUM
IN-C00043-SS,substation,Dharmavaram,Andhra Pradesh,SR,14.41435,77.72035,220,160,3,52.3,0.994,35.1,,CLOSED,50/51 Overcurrent,0.941,95.2,41.4,4.1,2025-03-28,ROUTINE
IN-C00044-SS,substation,Gudivāda,Andhra Pradesh,SR,16.43547,80.99555,220,160,34,41.4,0.981,37.3,,CLOSED,50/51 Overcurrent,0.92,66.8,25.7,3.9,2025-07-30,MEDIUM
IN-C00045-SS,substation,Narasaraopet,Andhra Pradesh,SR,16.23488,80.04927,220,160,21,38.6,0.992,37.1,,CLOSED,50/51 Overcurrent,0.958,76.6,18.3,0.7,2026-07-28,MEDIUM
IN-C00046-SS,substation,Tadepalligudem,Andhra Pradesh,SR,16.81467,81.52717,220,100,20,46.5,1.034,39.1,,CLOSED,50/51 Overcurrent,0.966,78.2,46.9,2.5,2025-02-13,ROUTINE
IN-C00047-SS,substation,Tadpatri,Andhra Pradesh,SR,14.90832,78.01031,220,100,1,46.5,1.04,38.0,,CLOSED,50/51 Overcurrent,0.922,92.3,46.2,1.4,2025-05-20,ROUTINE
IN-C00048-SS,substation,Mangalagiri,Andhra Pradesh,SR,16.43083,80.56815,220,100,5,49.4,1.0,34.0,,CLOSED,50/51 Overcurrent,0.915,95.6,15.5,4.6,2024-12-04,ROUTINE
IN-C00049-SS,substation,Amaravati,Andhra Pradesh,SR,16.514,80.516,220,100,23,61.7,1.03,35.5,,CLOSED,50/51 Overcurrent,0.918,64.1,12.8,1.7,2025-08-11,MEDIUM
IN-C00050-SS,substation,Chilakalūrupet,Andhra Pradesh,SR,16.08987,80.16705,220,100,11,45.8,1.003,34.8,,CLOSED,50/51 Overcurrent,0.976,83.9,21.7,2.7,2025-05-14,ROUTINE
IN-C00051-SS,substation,Emmiganūr,Andhra Pradesh,SR,15.77203,77.48345,132,100,34,30.3,1.025,34.5,,CLOSED,50/51 Overcurrent,0.958,59.0,70.4,2.1,2024-10-27,HIGH
IN-C00052-SS,substation,Chīrāla,Andhra Pradesh,SR,15.82385,80.35219,132,100,7,63.8,0.971,33.5,,CLOSED,50/51 Overcurrent,0.98,97.7,24.5,0.9,2025-03-21,ROUTINE
IN-C00053-SS,substation,Rayachoti,Andhra Pradesh,SR,14.05723,78.75056,132,100,7,56.7,0.972,32.9,,CLOSED,50/51 Overcurrent,0.951,82.8,19.5,6.8,2025-07-31,ROUTINE
IN-C00054-SS,substation,Kāvali,Andhra Pradesh,SR,14.9163,79.99449,132,100,14,55.8,0.976,35.8,,CLOSED,50/51 Overcurrent,0.944,83.9,33.6,2.6,2025-05-11,ROUTINE
IN-C00055-SS,substation,Kadiri,Andhra Pradesh,SR,14.11168,78.15982,132,100,17,48.2,0.98,36.7,,CLOSED,50/51 Overcurrent,0.915,77.3,26.8,2.2,2025-02-15,MEDIUM
IN-C00056-SS,substation,Anakapalle,Andhra Pradesh,SR,17.69134,83.00395,132,100,4,33.3,0.994,35.7,,CLOSED,50/51 Overcurrent,0.921,89.4,7.2,6.2,2026-02-25,ROUTINE
IN-C00057-SS,substation,Palakollu,Andhra Pradesh,SR,16.5167,81.73,132,100,1,42.0,0.97,39.2,,CLOSED,50/51 Overcurrent,0.913,99.0,18.3,3.3,2024-12-16,ROUTINE
IN-C00058-SS,substation,Srikalahasti,Andhra Pradesh,SR,13.75514,79.70143,132,100,11,56.7,1.004,33.5,,CLOSED,50/51 Overcurrent,0.986,92.2,18.2,7.9,2026-01-30,ROUTINE
IN-C00059-SS,substation,Tanuku,Andhra Pradesh,SR,16.75438,81.68143,132,100,1,34.0,1.036,37.6,,CLOSED,50/51 Overcurrent,0.964,99.0,20.3,2.0,2025-04-20,ROUTINE
IN-C00060-SS,substation,Gūdūr,Andhra Pradesh,SR,14.15093,79.8521,132,100,10,49.6,1.027,34.8,,CLOSED,50/51 Overcurrent,0.958,89.9,57.9,4.5,2026-02-14,ROUTINE
IN-C00061-SS,substation,Mārkāpur,Andhra Pradesh,SR,15.73534,79.26848,132,63,10,45.5,0.963,34.9,,CLOSED,50/51 Overcurrent,0.975,85.6,10.1,2.3,2026-08-04,ROUTINE
IN-C00062-SS,substation,Bāpatla,Andhra Pradesh,SR,15.90422,80.46743,132,63,3,62.4,0.977,34.3,,CLOSED,50/51 Overcurrent,0.952,93.5,13.2,7.8,2025-09-25,ROUTINE
IN-C00063-SS,substation,Badvel,Andhra Pradesh,SR,14.7451,79.06288,132,63,7,42.7,1.005,37.1,,CLOSED,50/51 Overcurrent,0.986,94.1,37.1,6.8,2026-07-17,ROUTINE
IN-C00064-SS,substation,Attili,Andhra Pradesh,SR,16.7,81.6,132,63,10,63.3,0.979,34.4,,CLOSED,50/51 Overcurrent,0.984,86.4,34.9,2.7,2025-07-06,ROUTINE
IN-C00065-SS,substation,Palāsa,Andhra Pradesh,SR,18.77257,84.41012,132,63,12,61.7,0.962,39.0,,CLOSED,50/51 Overcurrent,0.971,86.9,56.0,4.7,2026-08-24,ROUTINE
IN-C00066-SS,substation,Pulivendla,Andhra Pradesh,SR,14.42139,78.22502,132,63,22,58.2,0.993,35.6,,CLOSED,50/51 Overcurrent,0.93,68.7,10.6,2.4,2025-05-01,MEDIUM
IN-C00067-SS,substation,Tādepalle,Andhra Pradesh,SR,16.48333,80.6,132,63,16,39.6,1.023,33.9,,CLOSED,50/51 Overcurrent,0.923,82.5,24.5,2.7,2024-10-07,ROUTINE
IN-C00068-SS,substation,Chinnachowk,Andhra Pradesh,SR,14.47516,78.8354,132,63,3,60.9,0.978,36.5,,CLOSED,50/51 Overcurrent,0.983,90.1,31.3,3.4,2025-07-05,ROUTINE
IN-C00069-SS,substation,Pidugurālla,Andhra Pradesh,SR,16.47926,79.88632,132,63,30,42.6,1.026,38.5,,CLOSED,50/51 Overcurrent,0.954,70.9,84.4,3.3,2026-05-23,MEDIUM
IN-C00070-SS,substation,Vinukonda,Andhra Pradesh,SR,16.0531,79.73964,132,63,15,30.9,0.975,34.9,,CLOSED,50/51 Overcurrent,0.94,85.6,21.8,4.1,2025-04-12,ROUTINE
IN-C00071-SS,substation,Nagari,Andhra Pradesh,SR,13.32139,79.58557,132,63,5,64.8,0.982,34.4,,CLOSED,50/51 Overcurrent,0.956,94.9,132.9,2.3,2026-06-29,ROUTINE
IN-C00072-SS,substation,Rāyadrug,Andhra Pradesh,SR,14.69971,76.85241,132,63,26,54.5,1.027,33.8,,CLOSED,50/51 Overcurrent,0.945,67.6,20.5,2.8,2026-08-24,MEDIUM
IN-C00073-SS,substation,Ponnur,Andhra Pradesh,SR,16.07114,80.54944,132,63,2,34.2,1.038,34.1,,CLOSED,50/51 Overcurrent,0.917,99.0,48.6,2.5,2026-05-25,ROUTINE
IN-C00074-SS,substation,Narasapur,Andhra Pradesh,SR,16.43425,81.69845,132,63,17,31.4,1.008,35.3,,CLOSED,50/51 Overcurrent,0.942,74.3,11.8,7.4,2026-05-26,MEDIUM
IN-C00075-SS,substation,Dhone,Andhra Pradesh,SR,15.3952,77.8715,132,63,21,45.7,1.039,33.1,,CLOSED,50/51 Overcurrent,0.958,81.7,7.2,6.5,2026-05-10,ROUTINE
IN-C00076-SS,substation,Nūzvīd,Andhra Pradesh,SR,16.78854,80.84593,132,63,37,36.8,0.964,36.1,,CLOSED,50/51 Overcurrent,0.925,52.2,7.4,4.6,2026-06-08,HIGH
IN-C00077-SS,substation,Kāsībugga,Andhra Pradesh,SR,18.75927,84.41613,132,63,34,63.3,1.003,38.9,,CLOSED,50/51 Overcurrent,0.927,66.5,5.3,1.0,2025-09-14,MEDIUM
IN-C00078-SS,substation,Mācherla,Andhra Pradesh,SR,16.47635,79.43533,132,63,13,43.1,0.966,37.3,,CLOSED,50/51 Overcurrent,0.966,91.7,5.8,1.7,2026-06-10,ROUTINE
IN-C00079-SS,substation,Kandukūr,Andhra Pradesh,SR,15.21542,79.9039,132,63,22,52.4,1.013,33.0,,CLOSED,50/51 Overcurrent,0.965,69.3,59.0,4.4,2025-04-28,MEDIUM
IN-C00080-SS,substation,Ponnūru,Andhra Pradesh,SR,16.06547,80.55203,132,63,20,48.3,1.013,34.9,,CLOSED,50/51 Overcurrent,0.926,74.6,28.3,8.5,2026-06-17,MEDIUM
IN-C00081-SS,substation,Sāmalkot,Andhra Pradesh,SR,17.05675,82.17639,132,63,19,50.0,0.975,37.7,,CLOSED,50/51 Overcurrent,0.918,76.7,18.4,4.2,2026-02-28,MEDIUM
IN-C00082-SS,substation,Bobbili,Andhra Pradesh,SR,18.57366,83.35925,132,63,25,54.4,1.032,38.2,,CLOSED,50/51 Overcurrent,0.929,72.3,55.0,1.3,2025-07-05,MEDIUM
IN-C00083-SS,substation,Sattenapalle,Andhra Pradesh,SR,16.39381,80.15221,132,63,20,44.6,1.027,35.0,,CLOSED,50/51 Overcurrent,0.969,73.5,25.6,0.7,2025-03-11,MEDIUM
IN-C00084-SS,substation,Mandapeta,Andhra Pradesh,SR,16.86254,81.92921,132,63,14,45.5,1.006,37.5,,CLOSED,50/51 Overcurrent,0.961,75.8,25.0,6.8,2026-07-01,MEDIUM
IN-C00085-SS,substation,Yanam,Andhra Pradesh,SR,16.73308,82.21364,132,63,30,45.9,1.014,36.5,,CLOSED,50/51 Overcurrent,0.959,64.0,190.9,4.0,2025-01-23,MEDIUM
IN-C00086-SS,substation,Bhīmunipatnam,Andhra Pradesh,SR,17.89017,83.45203,132,63,11,53.7,0.983,38.1,,CLOSED,50/51 Overcurrent,0.938,86.2,14.0,10.8,2026-01-28,ROUTINE
IN-C00087-SS,substation,Pithāpuram,Andhra Pradesh,SR,17.1168,82.25284,132,63,22,33.4,1.036,35.1,,CLOSED,50/51 Overcurrent,0.961,78.9,56.2,20.4,2026-01-09,ROUTINE
IN-C00088-SS,substation,Punganūru,Andhra Pradesh,SR,13.36672,78.57186,132,63,20,38.1,0.976,30.7,,CLOSED,50/51 Overcurrent,0.975,77.2,17.0,2.2,2025-10-09,MEDIUM
IN-C00089-SS,substation,Puttūr,Andhra Pradesh,SR,13.44189,79.55314,132,63,16,65.4,1.009,35.3,,CLOSED,50/51 Overcurrent,0.921,90.7,11.8,8.9,2025-06-23,ROUTINE
IN-C00090-SS,substation,Rāzampeta,Andhra Pradesh,SR,14.19544,79.15896,132,63,30,44.9,1.01,32.5,,CLOSED,50/51 Overcurrent,0.93,64.1,13.6,7.1,2026-05-28,MEDIUM
IN-C00091-SS,substation,Palmaner,Andhra Pradesh,SR,13.2,78.74725,132,63,25,47.8,0.98,34.3,,CLOSED,50/51 Overcurrent,0.94,78.9,13.6,2.3,2026-07-19,ROUTINE
IN-C00092-SS,substation,Pārvatipuram,Andhra Pradesh,SR,18.78392,83.42569,132,63,1,62.1,1.029,39.9,,CLOSED,50/51 Overcurrent,0.915,99.0,28.7,3.0,2026-03-10,ROUTINE
IN-C00093-SS,substation,Jaggaiahpet,Andhra Pradesh,SR,16.89155,80.09551,132,63,28,37.9,1.024,37.7,,CLOSED,50/51 Overcurrent,0.949,69.9,44.9,2.5,2025-09-10,MEDIUM
IN-C00094-SS,substation,Tuni,Andhra Pradesh,SR,17.35905,82.54607,132,63,30,31.8,0.98,39.0,,CLOSED,50/51 Overcurrent,0.979,63.5,18.8,3.3,2025-07-14,MEDIUM
IN-C00095-SS,substation,Amalāpuram,Andhra Pradesh,SR,16.57868,82.00609,132,63,30,34.8,0.997,36.5,,CLOSED,50/51 Overcurrent,0.928,62.3,91.1,6.7,2025-10-06,MEDIUM
IN-C00096-SS,substation,Venkatagiri,Andhra Pradesh,SR,13.96005,79.58032,132,63,36,51.4,1.036,36.5,,CLOSED,50/51 Overcurrent,0.964,58.1,35.2,4.4,2024-12-06,HIGH
IN-C00097-SS,substation,Repalle,Andhra Pradesh,SR,16.0184,80.82958,132,63,33,45.4,1.033,35.6,,CLOSED,50/51 Overcurrent,0.953,61.9,7.6,7.9,2025-03-25,MEDIUM
IN-C00098-SS,substation,Sālūr,Andhra Pradesh,SR,18.51716,83.20548,132,63,11,56.8,0.998,36.0,,CLOSED,50/51 Overcurrent,0.985,85.6,24.3,1.9,2025-09-04,ROUTINE
IN-C00099-SS,substation,Peddāpuram,Andhra Pradesh,SR,17.07701,82.13836,132,63,16,60.2,0.982,38.4,,CLOSED,50/51 Overcurrent,0.976,72.2,56.0,3.5,2025-09-05,MEDIUM
IN-C00100-SS,substation,Kānūru,Andhra Pradesh,SR,16.49853,80.69141,132,63,32,52.6,0.982,33.8,,CLOSED,50/51 Overcurrent,0.919,66.2,18.7,1.0,2026-01-04,MEDIUM
IN-C00101-SS,substation,Gooty,Andhra Pradesh,SR,15.11836,77.63776,132,63,19,38.4,0.987,37.6,,CLOSED,50/51 Overcurrent,0.974,74.3,14.6,4.8,2025-08-13,MEDIUM
IN-C00102-SS,substation,Jammalamadugu,Andhra Pradesh,SR,14.84677,78.38314,132,40,6,35.0,0.979,36.1,,CLOSED,50/51 Overcurrent,0.923,94.9,6.0,2.6,2025-11-25,ROUTINE
IN-C00103-SS,substation,Nāyudupet,Andhra Pradesh,SR,13.90742,79.89465,132,40,14,32.3,0.993,34.4,,CLOSED,50/51 Overcurrent,0.969,90.6,17.7,2.1,2025-07-07,ROUTINE
IN-C00104-SS,substation,Nandikotkūr,Andhra Pradesh,SR,15.85668,78.26569,132,40,27,32.2,1.027,35.2,,CLOSED,50/51 Overcurrent,0.956,69.8,19.2,1.7,2024-10-15,MEDIUM
IN-C00105-SS,substation,Dowleswaram,Andhra Pradesh,SR,16.94761,81.77987,132,40,38,64.1,0.962,38.9,,CLOSED,50/51 Overcurrent,0.986,51.9,15.8,3.3,2025-09-19,HIGH
IN-C00106-SS,substation,Akkarampalle,Andhra Pradesh,SR,13.65,79.42,132,40,37,43.7,0.96,33.0,,CLOSED,50/51 Overcurrent,0.982,56.3,15.6,1.3,2026-01-10,HIGH
IN-C00107-SS,substation,Nidadavole,Andhra Pradesh,SR,16.90572,81.67222,132,40,25,60.7,1.036,36.1,,CLOSED,50/51 Overcurrent,0.954,72.9,36.6,10.3,2026-02-05,MEDIUM
IN-C00108-SS,substation,Polavaram,Andhra Pradesh,SR,17.24754,81.64372,132,40,35,58.8,1.032,36.7,,CLOSED,50/51 Overcurrent,0.914,60.0,5.9,6.9,2025-07-12,MEDIUM
IN-C00109-SS,substation,Kanuru,Andhra Pradesh,SR,16.28584,81.25464,132,40,18,45.7,0.962,35.2,,CLOSED,50/51 Overcurrent,0.917,63.1,12.4,2.6,2026-05-25,MEDIUM
IN-C00110-SS,substation,Rāmachandrapuram,Andhra Pradesh,SR,16.83636,82.02871,132,40,26,56.1,1.027,39.0,,CLOSED,50/51 Overcurrent,0.976,74.7,14.2,2.0,2025-04-11,MEDIUM
IN-C00111-SS,substation,Rāzām,Andhra Pradesh,SR,18.44909,83.65957,132,40,35,31.0,0.992,37.8,,CLOSED,50/51 Overcurrent,0.961,60.9,85.8,1.7,2025-10-15,MEDIUM
IN-C00112-SS,substation,Pīleru,Andhra Pradesh,SR,13.65584,78.93854,132,40,2,33.0,0.994,36.1,,CLOSED,50/51 Overcurrent,0.937,99.0,12.2,6.4,2026-04-10,ROUTINE
IN-C00113-SS,substation,Jaggayyapeta,Andhra Pradesh,SR,16.8938,80.09807,132,40,12,31.8,0.99,34.8,,CLOSED,50/51 Overcurrent,0.918,85.7,39.6,5.2,2026-04-08,ROUTINE
IN-C00114-SS,substation,Akivīdu,Andhra Pradesh,SR,16.58225,81.38112,132,40,21,42.2,1.03,35.0,,CLOSED,50/51 Overcurrent,0.937,67.0,57.6,3.9,2025-03-21,MEDIUM
